date,S001_PI,S003_Real_Consumption,S004_M_T_sales,S005_Retail_sales,S006_IP_total,S007_IP_products,S008_IP_final_prod,S009_IP_cons_gds,S010_IP_cons_dble,S011_IP_cons_nondble,S012_IP_bus_eqpt,S013_IP_matls,S014_IP_dble_matls,S015_IP_nondble_matls,S016_IP_mfg,S017_IP_res_util,S018_IP_fuels,S019_NAPM_prodn,S020_Cap_util,S021_Help_wanted_indx,S022_Help_wanted_emp,S023_Emp_CPS_total,S024_Emp_CPS_nonag,S025_U_all,S033_Emp_total,S034_Emp_gds_prod,S035_Emp_mining,S036_Emp_const,S037_Emp_mfg,S038_Emp_dble_gds,S039_Emp_nondbles,S040_Emp_services,S041_Emp_TTU,S042_Emp_wholesale,S043_Emp_retail,S044_Emp_FIRE,S045_Emp_Govt,S046_Avg_hrs,S047_Overtime_mfg,S048_Avg_hrs_mfg,S049_NAPM_empl,S050_Starts_nonfarm,S055_BP_total,S060_PMI,S061_NAPM_new_ordrs,S063_NAPM_Invent,S064_Orders_cons_gds,S065_Orders_dble_gds,S066_Orders_cap_gds,S068_M_T_invent,S069_M_T_invent_sales,S070_M1,S071_M2,S072_Currency,S073_M2_real,S075_Reserves_tot,S076_Reserves_nonbor,S077_C_I_loan_plus,S078_C_I_loans,S079_Cons_credit,S080_Inst_cred_PI,S081_S_P_500,S085_Fed_Funds,S086_Comm_paper,S087_3_mo_T-bill,S088_6_mo_T-bill,S089_1_yr_T-bond,S090_5_yr_T-bond,S091_10_yr_T-bond,S092_Aaa_bond,S093_Baa_bond,S094_CP-FF_spread,S095_3_mo-FF_spread,S096_6_mo-FF_spread,S097_1_yr-FF_spread,S098_5_yr-FF_spread,S099_10_yr-FF_spread,S100_Aaa-FF_spread,S101_Baa-FF_spread,S102_Ex_rate_avg,S103_Ex_rate_Switz,S104_Ex_rate_Japan,S105_Ex_rate_UK,S106_EX_rate_Canada,S107_PPI_fin_gds,S108_PPI_cons_gds,S109_PPI_int_mat_ls,S110_PPI_crude_mat_ls,S112_PPI_nonferrous,S113_NAPM_com_price,S114_CPI-U_all,S115_CPI-U_apparel,S116_CPI-U_transp,S117_CPI-U_medical,S118_CPI-U_comm.,S119_CPI-U_dbles,S120_CPI-U_services,S121_CPI-U_ex_food,S122_CPI-U_ex_shelter,S123_CPI-U_ex_med,S124_PCE_defl,S125_PCE_defl_dlbes,S126_PCE_defl_nondble,S128_AHE_goods,S129_AHE_const,S130_AHE_mfg,S131_Consumer_expect
2000-01-31,274141287532.7747,358098177246.46625,96.40804,96.40804,79.15593,79.15593,103.908659054921,103.908659054921,103.908659054921,88.3147191198533,58.2,79.1,79.1,79.1,77.51316,117.598,117.598,9.6,84.94065934065934,426000.0,0.10703517587939698,36124828.733358614,101.5,8.2,36124828.733358614,,395.7,,,122.4,106.4,22877681.35334796,8076.251410206681,108.1,94.4,1146.0404321783758,8570.33958610369,387.0835164835165,,1.0033166029141891,-6.1,136.0538,30787.0,-5.1,10.45545,8.3,,,,27.2,-0.21192702076973052,559719.0,1309164.0,126130.0,16677.248407643314,,,,,,,86.16582,3.0,3.3431429,3.65,,,,5.53952380952381,,,1.3431429000000001,1.65,,,,3.5395238095238097,,,89.18,,,,,86.10916980049146,81.2459187208256,82.6253291003729,55.54945307306829,127.8,48.0,78.5,93.2,74.7,73.8,92.1,106.1,78.8,83.9,80.6,78.8,81.50234889149824,117.9,76.6,62.73892279011739,61.64972522720973,71.8809246766244,-13.4
2000-02-29,275484198789.1777,359004950932.8763,97.40812,97.40812,80.89562,80.89562,121.410117509792,121.410117509792,121.410117509792,90.6151025170862,68.8,81.0,81.0,81.0,79.4184,108.4009,108.4009,10.8,85.25934065934065,432000.0,0.10933940774487472,36116456.97528267,101.6,8.1,36116456.97528267,,392.4,,,122.4,106.5,22903175.847185228,8107.48200795848,108.1,94.5,1147.9525181317804,8586.592311852137,387.8164835164835,,1.001713578172331,-5.5,118.1321,28578.0,-3.1,24.40014,6.9,,,,27.7,-0.34574514514491583,564439.0,1309193.0,125411.0,16656.399491094147,,,,,,,95.00121,3.25,3.5367619,3.65,,,,5.508571428571431,,,1.3126239689655175,1.4258620689655173,,,,3.284433497536948,,,88.47,,,,,86.2846473793919,81.4100518899586,82.8935931558936,58.10831453976022,129.9,41.9,78.6,93.0,74.7,73.9,92.0,105.5,78.9,83.9,80.7,79.0,81.60983468272354,117.7,77.1,60.47740909886445,60.50262164597193,72.35406013701326,-13.4
2000-03-31,276927000000.0002,359976800000.00006,96.50804,96.50804,80.79897,80.79897,130.31085923827,130.31085923827,130.31085923827,91.4152358726454,78.6,80.8,80.8,80.8,79.4184,110.0082,110.0082,9.7,85.6,433000.0,0.1096757852077001,36107510.000000015,101.7,8.1,36107510.000000015,,389.4,,,122.3,106.4,22930459.99999999,8140.9999999999945,108.0,94.4,1150.0000000000005,8603.999999999995,388.6,,1.0,-3.7,131.6365,34039.0,-1.5,11.98094,5.4,,,,30.8,-0.24200598196476553,560219.0,1299777.0,126334.0,16536.603053435116,,,,,,,99.83437,3.5,3.7470435,3.65,,,,5.33304347826087,,,1.3760757580645162,1.279032258064516,,,,2.962075736325386,,,87.66,,,,,86.24038749067343,81.4100518899586,83.2512785632544,58.54025008766239,128.9,44.4,78.6,93.2,75.6,73.9,91.8,105.1,78.7,83.7,80.6,78.9,81.724890046,117.7,76.5,58.149999999999984,59.300000000000004,72.86327000000001,-11.5
2000-04-30,277628379232.04517,361056799092.225,97.40812,97.40812,81.95876,81.95876,107.608967413951,107.608967413951,107.608967413951,92.3153858976496,65.9,80.9,80.9,80.9,80.42116,96.43575,96.43575,9.6,85.86373626373626,442000.0,0.11249681852888775,36125560.16540333,101.6,8.0,36125560.16540333,,387.5,,,122.4,106.4,22955355.5870369,8157.778007303774,108.0,94.6,1152.6312371188367,8614.536327346592,374.22637362637363,,1.0016583014570946,-2.8,122.4232,28024.0,-1.2,3.80753,3.2,,,,25.6,-0.6832578682704011,571350.0,1301210.0,126737.0,16554.834605597967,,,,,,,92.57018,3.75,3.9252778,4.14,,,,5.22555555555556,,,1.4002778,1.6149999999999998,,,,2.70055555555556,,,87.04,,,,,86.23860234130449,81.5741850590916,83.8772280261361,56.52975295296871,127.5,40.1,78.6,93.3,74.9,74.1,91.7,104.9,78.9,83.8,80.6,78.9,81.72720058552076,117.7,76.9,61.40611308578793,61.826334174567904,73.0528034802546,-11.9
2000-05-31,278355004030.0779,362176202281.2325,97.70815,97.70815,83.89175,83.89175,128.810734227852,128.810734227852,128.810734227852,94.1156859476579,77.4,83.4,83.4,83.4,82.62723000000001,92.41759,92.41759,11.3,86.13626373626374,454000.0,0.11688980432543769,36144221.4825051,101.8,8.0,36144221.4825051,,386.2,,,122.5,106.4,22981109.422914214,8175.151608721204,108.3,95.0,1155.3565070202076,8625.437420714517,359.3736263736264,,1.0033718796294255,-2.7,125.1998,31913.0,0.1,22.54879,4.1,,,,24.9,-0.6956941730229576,561615.0,1293404.0,126686.0,16497.5,,,,,,,90.46495,3.75,4.3620455,4.4,,,,5.37818181818182,,,1.6120454999999998,1.6500000000000004,,,,2.6281818181818197,,,86.18,,,,,86.41305992507628,81.820384812791,84.234913433497,59.75996008290233,126.8,40.0,78.4,93.2,74.8,74.1,91.6,104.6,78.5,83.5,80.3,78.8,81.72958821165192,117.3,77.2,64.9624247414424,64.55000208700133,73.24917270146975,-7.7
2000-06-30,279059999999.9996,363262799999.99994,96.40804,96.40804,81.47552,81.47552,107.108925743812,107.108925743812,107.108925743812,93.3155525920986,72.4,80.8,80.8,80.8,80.32088,85.2742,85.2742,10.1,86.4,455000.0,0.11741935483870967,36162290.00000002,101.9,8.0,36162290.00000002,,382.9,,,122.6,106.3,23006060.00000002,8191.9999999999945,108.0,94.5,1157.9999999999995,8635.999999999995,345.0,,1.00503018108652,-2.1,124.5688,30013.0,-0.5,0.23127,5.3,,,,28.3,-0.44260587228843457,560966.0,1283243.0,126769.0,16264.169835234472,,,,,,,90.39555,4.25,4.5017273,4.4,,,,5.19136363636364,,,1.385060633333333,1.2833333333333337,,,,2.0746969696969733,,,87.76,,,,,86.54412816049067,81.984517981924,84.3243347853372,61.88611795039117,126.5,49.3,78.9,93.1,76.5,74.2,91.5,104.5,78.8,83.7,80.8,79.2,81.731898884,117.2,77.2,68.60000000000002,67.29999999999998,73.43970999999998,-11.7
2000-07-31,279868411118.09265,363019593093.06415,96.50804,96.50804,83.50516,83.50516,101.808484040337,101.808484040337,101.808484040337,92.4154025670945,70.2,82.8,82.8,82.8,81.92529,91.61396,91.61396,12.3,86.60217391304349,459000.0,0.1187888198757764,36196624.11324974,102.1,7.9,36196624.11324974,,380.7,,,122.9,106.3,23044158.21956751,8200.415404756868,107.9,94.5,1158.6735275457825,8630.942738947697,353.5923913043478,,1.0060471524800985,-1.3,124.9474,30789.0,0.4,5.35861,5.3,,,,25.1,-0.6357622661792993,556530.0,1273751.0,126611.0,16082.714646464647,,,,,,,89.34293,,4.5829048,4.72,,,,5.26619047619048,,,1.3329047999999997,1.4699999999999998,,,,2.01619047619048,,,87.45,,,,,86.67517581510883,82.148651151057,84.6820201926981,60.2693187948607,127.4,43.3,79.2,92.8,76.6,74.3,91.4,104.3,79.7,84.2,81.1,79.6,81.89603780608981,117.2,76.9,66.02976961585811,65.60736896588668,73.48166445806724,-9.9
2000-08-31,280679164128.7388,362776549014.80237,96.90807,96.90807,83.9884,83.9884,100.208350695891,100.208350695891,100.208350695891,94.015669278213,66.3,83.5,83.5,83.5,82.7275,88.75661,88.75661,12.5,86.80434782608695,457000.0,0.11842446229593159,36230990.82485904,102.1,7.9,36230990.82485904,,377.3,,,123.2,106.1,23082319.53009158,8208.83945441576,107.6,94.6,1159.3474468353966,8625.888439438877,362.1847826086956,,1.0070641238736768,-1.1,124.695,30014.0,1.7,8.68072,4.2,,,,25.8,-0.6583007827826124,547822.0,1266675.0,125610.0,16033.860759493671,,,,,,,88.97086,,4.777087,4.72,,,,5.2104347826087,,,1.5270869999999999,1.4699999999999998,,,,1.9604347826086999,,,86.16,,,,,86.6726891328302,82.31278432019,84.8608628963786,61.59264158911451,128.3,40.7,79.0,92.5,76.3,74.3,91.2,104.1,79.5,84.0,80.8,79.3,82.0605063618492,117.0,76.2,63.5558378356166,63.95730850855856,73.52364288377478,-8.0
2000-09-30,281465999999.9995,362541499999.99963,95.80798,95.80798,84.08505,84.08505,130.31085923827,130.31085923827,130.31085923827,93.9156526087681,78.5,83.4,83.4,83.4,82.82777,93.22122,93.22122,8.5,87.0,459000.0,0.11943793911007025,36264280.00000004,102.0,7.9,36264280.00000004,,372.5,,,123.1,106.0,23119309.999999993,8216.999999999995,107.3,94.5,1160.0,8621.0,370.5,,1.00804828973843,0.2,123.5591,27651.0,0.6,11.0554,3.4,,,,29.9,-0.42007101349796827,545737.0,1263737.0,125934.0,15956.275252525253,,,,,,,87.19337,,4.8528095,4.77,,,,5.263333333333329,,,1.3528095000000002,1.2699999999999996,,,,1.7633333333333292,,,85.19,,,,,86.80363137608248,82.476917489323,85.2185483037395,64.70729543117402,129.8,45.9,79.2,93.2,77.1,74.3,91.4,103.9,79.0,83.8,80.7,79.6,82.21998395900005,116.9,75.9,61.250000000000014,62.4,73.56429000000003,-11.7
2000-10-31,281947038522.8477,361661696656.6293,96.50804,96.50804,83.7951,83.7951,129.310775897991,129.310775897991,129.310775897991,93.3155525920986,75.5,83.4,83.4,83.4,82.52695,101.704,101.704,9.9,87.2358695652174,463000.0,0.12136304062909567,36312617.01781329,102.0,7.8,36312617.01781329,,368.7,,,123.4,106.0,23164241.42350442,8206.20344010515,107.3,94.2,1159.325701386513,8626.051435150312,370.7358695652174,,1.008387280202955,1.4,111.5692,25855.0,1.5,7.58183,3.0,,,,26.8,-0.6409987150241901,548949.0,1263024.0,124812.0,15967.433628318586,,,,,,,82.56457,,5.0412727,4.77,,,,5.20714285714286,,,1.3315952806451619,1.060322580645161,,,,1.4974654377880214,,,84.74,,,,,86.84680652492275,82.5589840738894,85.39739100742,63.98191345272524,129.4,46.5,79.1,93.4,76.6,74.4,91.5,103.8,78.9,83.7,80.5,79.4,82.41338111130288,117.0,75.8,63.16188848104839,63.29703635081379,73.76637215142384,-13.9
