date,value
1991-03-31,205247000000.00006
1991-04-30,208182351719.7901
1991-05-31,211259657908.93265
1991-06-30,214280999999.9997
1991-07-31,214656396068.4464
1991-08-31,215032449788.33313
1991-09-30,215396999999.99982
1991-10-31,216448302347.4941
1991-11-30,217470577008.40805
1991-12-31,218531999999.99976
1992-01-31,220746306313.74124
1992-02-29,222838061906.62384
1992-03-31,225096000000.00037
1992-04-30,226567733493.85654
1992-05-31,228098634536.5961
1992-06-30,229590000000.0
1992-07-31,231974125529.99396
1992-08-31,234383008473.3899
1992-09-30,236737999999.99988
1992-10-31,236152631421.43454
1992-11-30,235587523861.69806
1992-12-31,235005000000.0001
1993-01-31,234533589558.5739
1993-02-28,234108612324.3231
1993-03-31,233639000000.00027
1993-04-30,234744987283.54266
1993-05-31,235893341241.46515
1993-06-30,237010000000.00027
1993-07-31,237453963900.5106
1993-08-31,237898759428.14536
1993-09-30,238330000000.0003
1993-10-31,238849482999.389
1993-11-30,239353286563.93372
1993-12-31,239875000000.00043
1994-01-31,240746185803.9622
1994-02-28,241535782512.2519
1994-03-31,242412999999.99957
1994-04-30,242124188780.12967
1994-05-31,241826112000.60803
1994-06-30,241538000000.00043
1994-07-31,242262004058.9052
1994-08-31,242988178301.70453
1994-09-30,243693000000.00037
1994-10-31,244808350543.96912
1994-11-30,245892582259.7235
1994-12-31,247018000000.00027
1995-01-31,247813636696.42245
1995-02-28,248534478776.28146
1995-03-31,249335000000.00024
1995-04-30,250232699017.0258
1995-05-31,251163716919.84113
1995-06-30,252068000000.00003
1995-07-31,252740483323.41315
1995-08-31,253414760741.35645
1995-09-30,254068999999.9997
1995-10-31,254689529448.94354
1995-11-30,255291484795.939
1995-12-31,255914999999.99963
1996-01-31,255447812467.00388
1996-02-29,255011538211.60388
1996-03-31,254546000000.0003
1996-04-30,254350022465.02234
1996-05-31,254147670857.3504
1996-06-30,253952000000.0004
1996-07-31,254585271141.69376
1996-08-31,255220121449.28812
1996-09-30,255836000000.0001
1996-10-31,256002013553.35202
1996-11-30,256162774400.73053
1996-12-31,256329000000.0002
1997-01-31,256175290080.12808
1997-02-28,256036534540.40955
1997-03-31,255883000000.00037
1997-04-30,255761622793.81064
1997-05-31,255636260166.0124
1997-06-30,255515000000.00003
1997-07-31,255601568966.2633
1997-08-31,255688167262.25735
1997-09-30,255772000000.0003
1997-10-31,256376441375.57007
1997-11-30,256962744652.08224
1997-12-31,257570000000.00024
1998-01-31,257838744192.0303
1998-02-28,258081721885.98868
1998-03-31,258351000000.0003
1998-04-30,259172517076.91418
1998-05-31,260024162519.5183
1998-06-30,260851000000.00034
1998-07-31,261482299972.87473
1998-08-31,262115127789.82776
1998-09-30,262728999999.99963
1998-10-31,263476633156.2809
1998-11-30,264202174713.19385
1998-12-31,264953999999.99966
1999-01-31,264979830936.8031
1999-02-28,265003164270.06543
1999-03-31,265028999999.99957
1999-04-30,266277733861.9219
1999-05-31,267574273603.91357
1999-06-30,268835000000.00034
1999-07-31,269396562500.10718
1999-08-31,269959298033.64172
1999-09-30,270505000000.0002
1999-10-31,271246995759.66653
1999-11-30,271966993987.88107
1999-12-31,272712999999.99988
2000-01-31,274141287532.7747
2000-02-29,275484198789.1777
2000-03-31,276927000000.0002
2000-04-30,277628379232.04517
2000-05-31,278355004030.0779
2000-06-30,279059999999.9996
2000-07-31,279868411118.09265
2000-08-31,280679164128.7388
2000-09-30,281465999999.9995
2000-10-31,281947038522.8477
2000-11-30,282413342424.75934
2000-12-31,282895999999.9998
2001-01-31,283137603595.26514
2001-02-28,283356003544.77795
2001-03-31,283597999999.99976
2001-04-30,283741003599.3077
2001-05-31,283888849740.42035
2001-06-30,284032000000.0
2001-07-31,284054237417.46185
2001-08-31,284076476575.9334
2001-09-30,284097999999.9997
2001-10-31,284953690067.5565
2001-11-30,285784231082.227
2001-12-31,286644999999.9998
2002-01-31,286173752003.4747
2002-02-28,285748774590.64435
2002-03-31,285278999999.9997
2002-04-30,285291197271.99677
2002-05-31,285303801667.5931
2002-06-30,285316000000.0001
2002-07-31,285890718957.29474
2002-08-31,286466595584.9604
2002-09-30,287025000000.00006
2002-10-31,287166789770.5499
2002-11-30,287304072368.26404
2002-12-31,287446000000.0004
2003-01-31,287185375189.29285
2003-02-28,286950175250.68054
2003-03-31,286689999999.99963
2003-04-30,286481164060.65216
2003-05-31,286265526736.8201
2003-06-30,286057000000.00024
2003-07-31,286781335297.2551
2003-08-31,287507504710.1682
2003-09-30,288212000000.00006
2003-10-31,288057929850.31903
2003-11-30,287908908125.1626
2003-12-31,287755000000.0001
2004-01-31,287996671659.3325
2004-02-29,288222935344.15686
2004-03-31,288465000000.0004
2004-04-30,288358476496.30707
2004-05-31,288248443534.3605
2004-06-30,288141999999.9995
2004-07-31,288067513665.70355
2004-08-31,287993046586.5467
2004-09-30,287921000000.0002
2004-10-31,287869436567.2072
2004-11-30,287819545263.3839
2004-12-31,287768000000.00024
2005-01-31,287797963697.5846
2005-02-28,287825030364.1578
2005-03-31,287854999999.99994
2005-04-30,287712180718.77014
2005-05-31,287564675236.57544
2005-06-30,287422000000.0002
2005-07-31,287393018864.1502
2005-08-31,287364040650.50696
2005-09-30,287335999999.99994
2005-10-31,287610025413.1929
2005-11-30,287875460116.7047
2005-12-31,288150000000.0001
2006-01-31,288539410116.7694
2006-02-28,288891587690.79913
2006-03-31,289282000000.00037
2006-04-30,289972958103.33466
2006-05-31,290688681997.5875
2006-06-30,291382999999.9997
2006-07-31,292479435873.36896
2006-08-31,293579997490.6014
2006-09-30,294648999999.9998
2006-10-31,294905541048.725
2006-11-30,295154019247.8732
2006-12-31,295410999999.9997
2007-01-31,296225881388.3507
2007-02-28,296963835167.6433
2007-03-31,297783000000.0004
2007-04-30,298516983320.6149
2007-05-31,299277333407.35065
2007-06-30,300015000000.00024
2007-07-31,300660253231.6099
2007-08-31,301306894232.93976
2007-09-30,301933999999.9999
2007-10-31,302812288364.8268
2007-11-30,303664677310.6344
2007-12-31,304547999999.9998
2008-01-31,305994930829.6203
2008-02-29,307354734161.81213
2008-03-31,308815000000.00037
2008-04-30,309783775023.7606
2008-05-31,310788035421.2081
2008-06-30,311762999999.9999
2008-07-31,312410989227.4615
2008-08-31,313060325279.3973
2008-09-30,313690000000.0
2008-10-31,314613280332.77765
2008-11-30,315509364750.9267
2008-12-31,316437999999.99976
2009-01-31,315469705224.1767
2009-02-28,314597663377.76984
2009-03-31,313634999999.9997
2009-04-30,313353864754.96265
2009-05-31,313063623075.82294
2009-06-30,312783000000.0004
2009-07-31,313405486874.83124
2009-08-31,314029212595.4732
2009-09-30,314633999999.9996
2009-10-31,315047248365.8105
2009-11-30,315447682922.16797
2009-12-31,315861999999.9995
2010-01-31,316888367618.19775
2010-02-28,317818275624.8842
2010-03-31,318851000000.00055
2010-04-30,319773667463.7106
2010-05-31,320729895527.24646
2010-06-30,321658000000.00055
2010-07-31,322775901446.2109
2010-08-31,323897688086.147
2010-09-30,324986999999.99963
2010-10-31,326035645673.8547
2010-11-30,327053685687.07684
2010-12-31,328109000000.0004
2011-01-31,329714887262.3282
2011-02-28,331172120687.7882
2011-03-31,332793000000.0003
2011-04-30,334108039462.9062
2011-05-31,335472372931.1637
2011-06-30,336797999999.9998
2011-07-31,337480995093.0829
2011-08-31,338165375236.84076
2011-09-30,338828999999.9998
2011-10-31,339701191413.6417
2011-11-30,340547385231.67395
2011-12-31,341424000000.0003
2012-01-31,342898336095.34766
2012-02-29,344283316811.3521
2012-03-31,345769999999.9999
2012-04-30,347291534345.59595
2012-05-31,348870820730.77966
2012-06-30,350405999999.9996
2012-07-31,351073942189.7308
2012-08-31,351743157607.5711
2012-09-30,352391999999.99994
2012-10-31,353250527457.1961
2012-11-30,354083351926.9305
2012-12-31,354946000000.00055
2013-01-31,355375715867.27136
2013-02-28,355764293464.6115
2013-03-31,356195000000.0003
2013-04-30,357295604822.7037
2013-05-31,358436469274.6487
2013-06-30,359543999999.99976
2013-07-31,360649910775.7498
2013-08-31,361759223189.8081
2013-09-30,362835999999.9994
2013-10-31,363763999832.6742
2013-11-30,364664323993.0766
2013-12-31,365596999999.99994
2014-01-31,367441244580.0148
2014-02-28,369115008915.29694
2014-03-31,370976999999.99994
2014-04-30,371902015693.797
2014-05-31,372860288405.0267
2014-06-30,373789999999.9998
2014-07-31,374862534573.8735
2014-08-31,375938146625.5065
2014-09-30,376982000000.00055
2014-10-31,378003621504.5969
2014-11-30,378994923471.2749
2014-12-31,380021999999.9994
2015-01-31,381266042951.13495
2015-02-28,382393194687.64105
2015-03-31,383645000000.00024
2015-04-30,385519736401.6888
2015-05-31,387466588855.41296
2015-06-30,389360000000.00055
2015-07-31,390421595377.9525
2015-08-31,391486085210.2565
2015-09-30,392518999999.9994
2015-10-31,393839872056.6786
2015-11-30,395122367309.7394
2015-12-31,396451999999.9999
2016-01-31,397671672962.33704
