date,value
1991-03-31,314211999999.9997
1991-04-30,315173390880.8673
1991-05-31,316169918498.1835
1991-06-30,317137300000.0001
1991-07-31,315249382212.48883
1991-08-31,313372703196.2366
1991-09-30,311567199999.99976
1991-10-31,313659792162.62695
1991-11-30,315698262206.90424
1991-12-31,317818600000.00055
1992-01-31,319008803511.72516
1992-02-29,320126254519.2003
1992-03-31,321325099999.99976
1992-04-30,321153248333.6045
1992-05-31,320975764834.335
1992-06-30,320804099999.99976
1992-07-31,320993056781.2517
1992-08-31,321182124859.91394
1992-09-30,321365199999.9995
1992-10-31,324521471600.21234
1992-11-30,327605440205.1164
1992-12-31,330822999999.99976
1993-01-31,327629230061.55927
1993-02-28,324771044271.9262
1993-03-31,321635699999.9996
1993-04-30,321688537328.72614
1993-05-31,321743145020.5343
1993-06-30,321796000000.0001
1993-07-31,322805636719.29913
1993-08-31,323818441179.355
1993-09-30,324801599999.99945
1993-10-31,325999040584.16003
1993-11-30,327162057158.21954
1993-12-31,328368199999.9996
1994-01-31,328116123673.8893
1994-02-28,327888608160.89526
1994-03-31,327636899999.99963
1994-04-30,326802455549.9171
1994-05-31,325942428873.8239
1994-06-30,325112299999.99994
1994-07-31,326457105588.3629
1994-08-31,327807473876.3534
1994-09-30,329119599999.9997
1994-10-31,330075574160.9922
1994-11-30,331003354209.99915
1994-12-31,331964799999.9996
1995-01-31,331529430191.3414
1995-02-28,331136683739.2372
1995-03-31,330702399999.99963
1995-04-30,332096852973.192
1995-05-31,333543965169.4062
1995-06-30,334950399999.99963
1995-07-31,334882860514.8911
1995-08-31,334815334648.463
1995-09-30,334749999999.9996
1995-10-31,334979413756.118
1995-11-30,335201576765.39954
1995-12-31,335431300000.0002
1996-01-31,336112539350.5004
1996-02-29,336751080260.85425
1996-03-31,337434999999.9996
1996-04-30,337975766799.1817
1996-05-31,338535469609.5243
1996-06-30,339078000000.00055
1996-07-31,339266962678.36426
1996-08-31,339456030662.5673
1996-09-30,339639100000.00037
1996-10-31,339814565145.8333
1996-11-30,339984456435.3183
1996-12-31,340160100000.00024
1997-01-31,340511741748.4117
1997-02-28,340829666085.1974
