date,value
1955-01-31,23.94956
1955-02-28,25.36325
1955-03-31,23.61693
1955-04-30,25.61273
1955-05-31,25.36325
1955-06-30,24.36536
1955-07-31,26.19484
1955-08-31,25.11378
1955-09-30,25.52957
1955-10-31,27.19274
1955-11-30,25.77905
1955-12-31,26.02852
1956-01-31,26.8601
1956-02-29,27.35905
1956-03-31,28.35695
1956-04-30,25.44641
1956-05-31,27.19274
1956-06-30,28.52327
1956-07-31,27.35905
1956-08-31,28.68958
1956-09-30,28.44011
1956-10-31,28.19063
1956-11-30,29.10537
1956-12-31,29.27169
1957-01-31,29.27169
1957-02-28,29.52117
1957-03-31,28.19063
1957-04-30,31.68328
1957-05-31,28.8559
1957-06-30,30.8517
1957-07-31,30.18643
1957-08-31,30.76854
1957-09-30,30.60222
1957-10-31,30.18643
1957-11-30,30.35275
1957-12-31,30.10327
1958-01-31,31.18433
1958-02-28,30.93485
1958-03-31,31.01801
1958-04-30,30.8517
1958-05-31,31.10117
1958-06-30,30.43591
1958-07-31,31.68328
1958-08-31,31.4338
1958-09-30,30.8517
1958-10-31,31.4338
1958-11-30,30.8517
1958-12-31,31.4338
1959-01-31,33.09697
1959-02-28,32.51486
1959-03-31,32.93065
1959-04-30,32.59802
1959-05-31,32.68118
1959-06-30,33.59592
1959-07-31,33.09697
1959-08-31,33.34644
1959-09-30,33.26328
1959-10-31,33.26328
1959-11-30,33.18013
1959-12-31,33.84539
1960-01-31,35.50856
1960-02-29,35.00961
1960-03-31,34.17802
1960-04-30,37.50435
1960-05-31,37.00541
1960-06-30,36.92225
1960-07-31,37.17172
1960-08-31,37.00541
1960-09-30,37.33804
1960-10-31,38.83488
1960-11-30,38.0033
1960-12-31,37.92014
1961-01-31,37.4212
1961-02-28,38.41909
1961-03-31,38.66857
1961-04-30,37.50435
1961-05-31,38.16962
1961-06-30,38.16962
1961-07-31,38.33593
1961-08-31,39.58331
1961-09-30,38.91804
1961-10-31,39.50015
1961-11-30,39.91594
1961-12-31,40.33173
1962-01-31,41.66227
1962-02-28,42.577
1962-03-31,41.57911
1962-04-30,44.07385
1962-05-31,41.41279
1962-06-30,44.15701
1962-07-31,42.41069
1962-08-31,43.07595
1962-09-30,43.40858
1962-10-31,43.24227
1962-11-30,43.74122
1962-12-31,44.40649
1963-01-31,43.90754
1963-02-28,42.32753
1963-03-31,44.07385
1963-04-30,43.5749
1963-05-31,43.74122
1963-06-30,43.32543
1963-07-31,44.07385
1963-08-31,44.5728
1963-09-30,43.90754
1963-10-31,44.82228
1963-11-30,45.07175
1963-12-31,46.23597
1964-01-31,46.06965
1964-02-29,45.65386
