date,value
1958-01-31,23.80216
1958-02-28,23.90221
1958-03-31,24.29053
1958-04-30,23.52717
1958-05-31,23.81468
1958-06-30,24.10568
1958-07-31,23.69374
1958-08-31,24.59775
1958-09-30,23.90009
1958-10-31,23.89166
1958-11-30,24.44781
1958-12-31,24.54702
1959-01-31,24.33066
1959-02-28,24.39656
1959-03-31,24.65619
1959-04-30,24.59815
1959-05-31,25.61408
1959-06-30,25.48321
1959-07-31,25.11666
1959-08-31,26.60287
1959-09-30,26.22966
1959-10-31,27.21662
1959-11-30,26.9539
1959-12-31,27.06555
1960-01-31,27.50897
1960-02-29,27.34925
1960-03-31,27.73731
1960-04-30,28.36171
1960-05-31,28.00785
1960-06-30,28.1541
1960-07-31,29.19126
1960-08-31,28.62957
1960-09-30,29.12148
1960-10-31,29.74496
1960-11-30,29.51247
1960-12-31,29.92662
1961-01-31,30.32841
1961-02-28,30.50789
1961-03-31,30.80043
1961-04-30,30.79017
1961-05-31,30.13836
1961-06-30,30.13999
1961-07-31,30.70228
1961-08-31,30.47017
1961-09-30,30.72169
1961-10-31,30.48497
1961-11-30,30.57376
1961-12-31,31.25683
1962-01-31,32.62008
1962-02-28,32.55783
1962-03-31,32.55783
1962-04-30,32.05981
1962-05-31,33.05584
1962-06-30,33.05584
1962-07-31,33.1181
1962-08-31,34.5499
1962-09-30,33.74062
1962-10-31,33.18035
1962-11-30,33.86512
1962-12-31,32.99359
1963-01-31,33.1181
1963-02-28,32.74458
1963-03-31,33.55386
1963-04-30,33.86512
1963-05-31,34.11413
1963-06-30,33.80287
1963-07-31,34.36314
1963-08-31,35.60818
1963-09-30,34.61215
1963-10-31,35.17242
1963-11-30,35.42142
1963-12-31,34.36314
1964-01-31,35.98169
1964-02-29,36.85322
1964-03-31,36.2307
1964-04-30,36.29295
1964-05-31,36.2307
1964-06-30,36.85322
1964-07-31,37.60025
1964-08-31,37.28899
1964-09-30,37.35124
1964-10-31,37.84925
1964-11-30,37.787
1964-12-31,38.22277
1965-01-31,39.0943
1965-02-28,38.78304
1965-03-31,38.72078
1965-04-30,38.90754
1965-05-31,38.90754
1965-06-30,38.59628
1965-07-31,38.78304
1965-08-31,39.15655
1965-09-30,39.46781
1965-10-31,39.28105
1965-11-30,39.03204
1965-12-31,39.96582
1966-01-31,39.65456
1966-02-28,39.71682
1966-03-31,40.52609
1966-04-30,39.84132
1966-05-31,39.65456
1966-06-30,40.15258
1966-07-31,39.71682
1966-08-31,39.2188
1966-09-30,39.46781
1966-10-31,38.96979
1966-11-30,38.47178
1966-12-31,38.53403
1967-01-31,37.84925
1967-02-28,37.41349
1967-03-31,37.16448
1967-04-30,37.41349
1967-05-31,36.85322
1967-06-30,37.6625
1967-07-31,38.65853
1967-08-31,37.84925
1967-09-30,38.84529
1967-10-31,39.28105
1967-11-30,39.65456
1967-12-31,41.95789
1968-01-31,38.65853
1968-02-29,39.53006
1968-03-31,40.02808
1968-04-30,40.15258
1968-05-31,41.21087
1968-06-30,41.89564
1968-07-31,41.33537
1968-08-31,44.13671
1968-09-30,43.45194
1968-10-31,43.57644
1968-11-30,45.07049
1968-12-31,44.82148
1969-01-31,45.3195
1969-02-28,45.56851
1969-03-31,46.06652
1969-04-30,46.37778
1969-05-31,46.93805
1969-06-30,47.43607
1969-07-31,47.31157
1969-08-31,48.61886
1969-09-30,48.1831
1969-10-31,48.80562
1969-11-30,49.55264
1969-12-31,49.17913
1970-01-31,49.30363
1970-02-28,49.98841
1970-03-31,50.17516
1970-04-30,50.67318
1970-05-31,51.04669
1970-06-30,50.54868
1970-07-31,51.1712
1970-08-31,50.36192
1970-09-30,50.11291
1970-10-31,50.48642
1970-11-30,50.05066
1970-12-31,50.92219
1971-01-31,51.85597
1971-02-28,51.2957
1971-03-31,51.04669
1971-04-30,51.4202
1971-05-31,50.67318
1971-06-30,51.23345
1971-07-31,52.04272
1971-08-31,49.8639
1971-09-30,51.04669
1971-10-31,51.1712
1971-11-30,50.42417
1971-12-31,49.55264
1972-01-31,51.48246
1972-02-29,51.85597
1972-03-31,52.41624
1972-04-30,52.41624
1972-05-31,52.10498
1972-06-30,52.41624
1972-07-31,52.66525
1972-08-31,52.41624
1972-09-30,52.47849
1972-10-31,53.16326
1972-11-30,54.09704
1972-12-31,54.78181
1973-01-31,55.27983
1973-02-28,55.77785
1973-03-31,56.15136
1973-04-30,55.8401
1973-05-31,56.21361
1973-06-30,55.8401
1973-07-31,53.84803
1973-08-31,56.83613
1973-09-30,56.58712
1973-10-31,56.21361
1973-11-30,56.52487
1973-12-31,55.9646
1974-01-31,56.15136
1974-02-28,55.9646
1974-03-31,55.65334
1974-04-30,55.77785
1974-05-31,56.40037
1974-06-30,55.7156
1974-07-31,55.65334
1974-08-31,54.2838
1974-09-30,54.4083
1974-10-31,54.22155
1974-11-30,53.84803
1974-12-31,51.1712
1975-01-31,51.48246
1975-02-28,51.23345
1975-03-31,51.79372
1975-04-30,51.10894
1975-05-31,50.92219
1975-06-30,50.79768
1975-07-31,49.55264
1975-08-31,51.48246
1975-09-30,51.4202
1975-10-31,52.41624
1975-11-30,53.16326
1975-12-31,53.10101
1976-01-31,53.78578
1976-02-29,54.84407
1976-03-31,54.78181
1976-04-30,55.09307
1976-05-31,55.40434
1976-06-30,56.02686
1976-07-31,53.97254
1976-08-31,55.7156
1976-09-30,56.27586
1976-10-31,56.27586
1976-11-30,56.33812
