date,value
1950-01-31,10.99687
1950-02-28,11.12128
1950-03-31,11.23864
1950-04-30,11.68565
1950-05-31,11.79819
1950-06-30,12.26809
1950-07-31,12.89302
1950-08-31,13.29042
1950-09-30,13.64272
1950-10-31,13.77639
1950-11-30,13.83784
1950-12-31,14.19237
1951-01-31,14.34694
1951-02-28,14.90034
1951-03-31,14.04708
1951-04-30,15.77211
1951-05-31,14.33686
1951-06-30,15.74256
1951-07-31,14.88316
1951-08-31,14.7976
1951-09-30,14.60241
1951-10-31,14.82563
1951-11-30,15.04045
1951-12-31,14.97646
1952-01-31,15.94385
1952-02-29,16.1444
1952-03-31,15.14164
1952-04-30,15.24192
1952-05-31,15.643020000000002
1952-06-30,14.84081
1952-07-31,15.54274
1952-08-31,16.04412
1952-09-30,16.1444
1952-10-31,16.445220000000003
1952-11-30,16.1444
1952-12-31,16.04412
1953-01-31,16.445220000000003
1953-02-28,16.244670000000003
1953-03-31,16.74605
1953-04-30,17.046879999999998
1953-05-31,15.94385
1953-06-30,17.849079999999997
1953-07-31,17.54826
1953-08-31,17.74881
1953-09-30,17.849079999999997
1953-10-31,18.04964
1953-11-30,18.14991
1953-12-31,18.35046
1954-01-31,17.447979999999998
1954-02-28,18.14991
1954-03-31,18.85184
1954-04-30,18.65129
1954-05-31,18.85184
1954-06-30,19.05239
1954-07-31,19.55377
1954-08-31,19.55377
1954-09-30,19.95488
1954-10-31,19.4535
1954-11-30,20.65681
1954-12-31,21.45901
1955-01-31,20.55653
1955-02-28,21.25846
1955-03-31,21.96039
1955-04-30,21.45901
1955-05-31,21.96039
1955-06-30,22.26122
1955-07-31,22.06067
1955-08-31,23.1637
1955-09-30,23.06343
1955-10-31,22.16094
1955-11-30,23.36425
1955-12-31,24.16646
1956-01-31,23.96591
1956-02-29,23.76535
1956-03-31,23.1637
1956-04-30,24.06618
1956-05-31,23.66508
1956-06-30,25.26949
1956-07-31,23.96591
1956-08-31,24.66784
1956-09-30,23.66508
1956-10-31,24.16646
1956-11-30,24.66784
1956-12-31,23.1637
1957-01-31,25.47004
1957-02-28,25.57032
1957-03-31,24.66784
1957-04-30,25.57032
1957-05-31,26.573079999999997
1957-06-30,23.5648
1957-07-31,25.47004
1957-08-31,25.87115
1957-09-30,24.66784
1957-10-31,25.77087
1957-11-30,25.77087
1957-12-31,24.76811
1958-01-31,26.573079999999997
1958-02-28,25.97142
1958-03-31,25.57032
1958-04-30,26.17197
1958-05-31,25.47004
