date,value
1991-01-31,108.8474
1991-02-28,102.5076
1991-03-31,98.2216
1991-04-30,91.52467
1991-05-31,88.13155
1991-06-30,82.50614
1991-07-31,79.38091
1991-08-31,76.88072
1991-09-30,83.66694
1991-10-31,95.45353
1991-11-30,101.2575
1991-12-31,105.9007
1992-01-31,110.1868
1992-02-29,102.4183
1992-03-31,102.9541
1992-04-30,92.3283
1992-05-31,84.02411
1992-06-30,79.82737
1992-07-31,80.80959
1992-08-31,77.68435
1992-09-30,85.72066
1992-10-31,98.48947
1992-11-30,99.2931
1992-12-31,102.1505
1993-01-31,105.1864
1993-02-28,99.56098
1993-03-31,102.1505
1993-04-30,88.48872
1993-05-31,80.80959
1993-06-30,79.64878
1993-07-31,77.32718
1993-08-31,76.97001
1993-09-30,84.38128
1993-10-31,93.13193
1993-11-30,104.1149
1993-12-31,105.2757
1994-01-31,106.1686
1994-02-28,98.57877
1994-03-31,101.5254
1994-04-30,91.07821
1994-05-31,84.91703
1994-06-30,81.61321
1994-07-31,81.7918
1994-08-31,79.64878
1994-09-30,84.64915
1994-10-31,95.27495
1994-11-30,96.16787
1994-12-31,103.4006
1995-01-31,110.0082
1995-02-28,95.45353
1995-03-31,104.0256
1995-04-30,90.63174
1995-05-31,87.14934
1995-06-30,82.86331
1995-07-31,80.631
1995-08-31,80.98817
1995-09-30,86.70288
1995-10-31,92.95335
1995-11-30,105.2757
1995-12-31,111.8833
1996-01-31,114.83
1996-02-29,108.4009
1996-03-31,110.0975
1996-04-30,94.82848
1996-05-31,92.06042
1996-06-30,85.2742
1996-07-31,87.41722
1996-08-31,85.63137
1996-09-30,91.79254
1996-10-31,101.5254
1996-11-30,105.6329
1996-12-31,114.0263
1997-01-31,120.9019
1997-02-28,102.4183
1997-03-31,102.8648
1997-04-30,98.2216
1997-05-31,89.47094
1997-06-30,86.52429
1997-07-31,86.88146
1997-08-31,82.50614
1997-09-30,88.48872
1997-10-31,102.329
1997-11-30,108.7581
1997-12-31,110.0082
1998-01-31,112.0619
1998-02-28,99.65027
1998-03-31,106.8829
1998-04-30,96.79292
1998-05-31,89.38165
1998-06-30,85.2742
1998-07-31,90.18528
1998-08-31,89.11378
1998-09-30,92.41759
1998-10-31,101.0789
1998-11-30,108.4009
1998-12-31,110.6332
1999-01-31,111.9726
1999-02-28,103.7577
1999-03-31,106.7937
1999-04-30,97.68584
1999-05-31,90.81033
1999-06-30,87.95297
1999-07-31,88.48872
1999-08-31,86.97076
1999-09-30,90.18528
1999-10-31,100.8111
1999-11-30,109.5617
1999-12-31,112.9548
2000-01-31,117.598
2000-02-29,108.4009
2000-03-31,110.0082
2000-04-30,96.43575
2000-05-31,92.41759
2000-06-30,85.2742
2000-07-31,91.61396
2000-08-31,88.75661
2000-09-30,93.22122
2000-10-31,101.704
2000-11-30,107.1508
2000-12-31,110.0082
2001-01-31,115.0086
2001-02-28,100.8111
2001-03-31,104.9185
2001-04-30,97.95372
2001-05-31,92.59618
2001-06-30,83.48836
2001-07-31,88.31014
2001-08-31,87.77439
2001-09-30,90.72104
2001-10-31,98.66805
2001-11-30,107.3294
2001-12-31,112.4191
2002-01-31,114.6514
2002-02-28,99.38239
2002-03-31,102.5969
2002-04-30,99.20381
2002-05-31,93.22122
2002-06-30,85.72066
2002-07-31,89.38165
2002-08-31,87.6851
2002-09-30,91.61396
2002-10-31,104.4721
2002-11-30,104.8292
2002-12-31,110.0975
2003-01-31,116.7944
2003-02-28,109.4724
2003-03-31,112.687
2003-04-30,102.5969
2003-05-31,96.79292
2003-06-30,91.07821
2003-07-31,93.57839
2003-08-31,90.09599
2003-09-30,92.50688
2003-10-31,103.7577
2003-11-30,105.9007
2003-12-31,110.6332
2004-01-31,122.0627
2004-02-29,112.3298
2004-03-31,116.3479
2004-04-30,102.329
2004-05-31,96.07858
2004-06-30,90.81033
2004-07-31,91.88184
2004-08-31,90.63174
2004-09-30,97.06079
2004-10-31,105.6329
2004-11-30,114.4728
2004-12-31,121.7055
2005-01-31,115.8122
2005-02-28,112.5084
2005-03-31,115.455
2005-04-30,105.365
2005-05-31,96.79292
2005-06-30,93.57839
2005-07-31,95.72141
2005-08-31,91.61396
2005-09-30,94.47131
2005-10-31,103.4006
2005-11-30,112.687
2005-12-31,121.5269
2006-01-31,131.2598
2006-02-28,115.9015
2006-03-31,122.8663
2006-04-30,104.1149
2006-05-31,96.07858
2006-06-30,94.82848
2006-07-31,96.9715
2006-08-31,94.11414
2006-09-30,94.11414
2006-10-31,102.6862
2006-11-30,109.5617
2006-12-31,114.2942
2007-01-31,109.2938
2007-02-28,101.7933
2007-03-31,108.4009
2007-04-30,96.88221
2007-05-31,96.9715
2007-06-30,94.11414
2007-07-31,93.31052
2007-08-31,94.47131
2007-09-30,95.8107
2007-10-31,109.026
2007-11-30,114.83
2007-12-31,116.8837
2008-01-31,112.687
2008-02-29,106.5258
2008-03-31,109.026
2008-04-30,107.508
2008-05-31,96.61433
2008-06-30,91.79254
2008-07-31,92.77476
2008-08-31,87.32793
2008-09-30,95.45353
2008-10-31,103.6684
2008-11-30,101.7933
2008-12-31,106.5258
2009-01-31,114.0263
2009-02-28,99.38239
2009-03-31,98.31088
2009-04-30,85.72066
2009-05-31,83.22047
2009-06-30,87.41722
2009-07-31,90.36387
2009-08-31,87.32793
2009-09-30,90.89962
2009-10-31,100.2753
2009-11-30,102.7755
2009-12-31,113.1334
2010-01-31,115.6336
2010-02-28,105.365
2010-03-31,105.8114
2010-04-30,96.79292
2010-05-31,94.91778
2010-06-30,85.2742
2010-07-31,91.79254
2010-08-31,88.13155
2010-09-30,92.3283
2010-10-31,103.222
2010-11-30,107.1508
2010-12-31,117.3302
2011-01-31,112.7762
2011-02-28,104.2042
2011-03-31,107.6866
2011-04-30,90.45316
2011-05-31,86.16712
2011-06-30,81.07746
2011-07-31,85.98854
2011-08-31,85.36349
2011-09-30,86.16712
2011-10-31,95.72141
2011-11-30,100.3646
2011-12-31,104.4721
2012-01-31,107.8652
2012-02-29,110.1868
2012-03-31,105.2757
2012-04-30,94.82848
2012-05-31,90.81033
2012-06-30,89.02448
2012-07-31,89.38165
2012-08-31,90.98891
2012-09-30,91.52467
2012-10-31,100.6325
2012-11-30,102.5076
2012-12-31,103.222
2013-01-31,110.6332
2013-02-28,102.329
2013-03-31,111.2583
2013-04-30,96.9715
2013-05-31,87.95297
2013-06-30,87.86368
