date,value
1959-12-31,22.54
1960-01-31,23.51
1960-02-29,22.27
1960-03-31,19.82
1960-04-30,18.34
1960-05-31,18.7
1960-06-30,17.46
1960-07-31,18.27
1960-08-31,25.47
1960-09-30,20.19
1960-10-31,19.28
1960-11-30,18.64
1960-12-31,14.42
1961-01-31,13.34
1961-02-28,13.18
1961-03-31,11.77
1961-04-30,10.35
1961-05-31,9.77
1961-06-30,6.34
1961-07-31,14.23
1961-08-31,16.46
1961-09-30,11.6
1961-10-31,10.5
1961-11-30,10.96
1961-12-31,12.99
1962-01-31,10.16
1962-02-28,10.97
1962-03-31,12.61
1962-04-30,15.27
1962-05-31,13.88
1962-06-30,11.07
1962-07-31,9.01
1962-08-31,7.45
1962-09-30,11.24
1962-10-31,14.93
1962-11-30,10.63
1962-12-31,7.39
1963-01-31,12.03
1963-02-28,7.71
1963-03-31,8.4
1963-04-30,6.1
1963-05-31,7.77
1963-06-30,10.74
1963-07-31,9.66
1963-08-31,9.41
1963-09-30,8.99
1963-10-31,11.48
1963-11-30,10.39
1963-12-31,13.09
1964-01-31,13.94
1964-02-29,14.33
1964-03-31,13.13
1964-04-30,16.16
1964-05-31,11.62
1964-06-30,11.27
1964-07-31,12.1
1964-08-31,14.45
1964-09-30,13.77
1964-10-31,14.78
1964-11-30,17.2
1964-12-31,18.99
1965-01-31,17.11
1965-02-28,16.85
1965-03-31,14.98
1965-04-30,14.2
1965-05-31,12.36
1965-06-30,11.78
1965-07-31,12.83
1965-08-31,12.4
1965-09-30,12.43
1965-10-31,9.8
1965-11-30,8.48
1965-12-31,8.01
1966-01-31,7.48
1966-02-28,5.35
1966-03-31,5.89
1966-04-30,3.27
1966-05-31,3.29
1966-06-30,-0.61
1966-07-31,-3.06
1966-08-31,-6.61
1966-09-30,-14.99
1966-10-31,-19.47
1966-11-30,-31.5
1966-12-31,-26.31
1967-01-31,-16.1
1967-02-28,-14.04
1967-03-31,-12.11
1967-04-30,-9.83
1967-05-31,-5.68
1967-06-30,-2.81
1967-07-31,3.4
1967-08-31,4.65
1967-09-30,9.55
1967-10-31,13.48
1967-11-30,13.27
1967-12-31,13.17
1968-01-31,12.85
1968-02-29,11.51
1968-03-31,16.76
1968-04-30,19.17
1968-05-31,21.4
1968-06-30,25.1
1968-07-31,21.93
1968-08-31,26.37
1968-09-30,26.24
1968-10-31,28.58
1968-11-30,28.99
1968-12-31,25.34
1969-01-31,24.33
1969-02-28,23.99
1969-03-31,23.48
1969-04-30,23.01
1969-05-31,20.57
1969-06-30,19.87
1969-07-31,18.66
1969-08-31,23.16
1969-09-30,21.18
1969-10-31,23.19
1969-11-30,20.78
1969-12-31,21.58
1970-01-31,16.43
1970-02-28,14.42
1970-03-31,9.94
1970-04-30,8.92
1970-05-31,0.64
1970-06-30,2.75
1970-07-31,6.24
1970-08-31,2.86
1970-09-30,4.13
1970-10-31,-1.01
1970-11-30,-1.14
1970-12-31,0.26
1971-01-31,-0.6
1971-02-28,4.97
1971-03-31,-2.82
1971-04-30,-6.2
1971-05-31,-2.38
1971-06-30,1.66
1971-07-31,-6.67
1971-08-31,-12.62
1971-09-30,-19.0
1971-10-31,-17.35
1971-11-30,-4.83
1971-12-31,-2.56
1972-01-31,0.47
1972-02-29,1.59
1972-03-31,4.41
1972-04-30,6.76
1972-05-31,6.62
1972-06-30,11.9
1972-07-31,8.04
1972-08-31,13.8
1972-09-30,13.52
1972-10-31,16.78
1972-11-30,18.17
1972-12-31,18.92
1973-01-31,18.01
1973-02-28,16.54
1973-03-31,13.98
1973-04-30,10.73
1973-05-31,11.05
1973-06-30,8.03
1973-07-31,5.92
1973-08-31,4.76
1973-09-30,0.69
1973-10-31,-16.93
1973-11-30,-17.21
1973-12-31,-12.74
1974-01-31,-7.95
1974-02-28,-10.21
1974-03-31,-8.91
1974-04-30,-11.19
1974-05-31,-11.44
1974-06-30,-15.5
1974-07-31,-16.01
1974-08-31,-21.57
1974-09-30,-25.89
1974-10-31,-24.08
1974-11-30,-26.91
1974-12-31,-28.57
1975-01-31,-22.68
1975-02-28,-19.52
1975-03-31,-17.22
1975-04-30,-14.0
1975-05-31,-13.9
1975-06-30,-10.17
1975-07-31,-1.73
1975-08-31,0.98
1975-09-30,7.32
1975-10-31,9.42
1975-11-30,15.35
1975-12-31,14.55
1976-01-31,12.67
1976-02-29,11.33
1976-03-31,9.85
1976-04-30,8.37
1976-05-31,6.17
1976-06-30,10.15
1976-07-31,5.68
1976-08-31,3.78
1976-09-30,0.13
1976-10-31,0.26
1976-11-30,-2.41
1976-12-31,-2.21
1977-01-31,-6.0
1977-02-28,-9.93
1977-03-31,-5.18
1977-04-30,-4.26
1977-05-31,-4.96
1977-06-30,-8.01
1977-07-31,-7.65
1977-08-31,-6.39
1977-09-30,-3.71
1977-10-31,-5.59
1977-11-30,-4.97
1977-12-31,-3.76
1978-01-31,-2.76
1978-02-28,-5.57
1978-03-31,-4.69
1978-04-30,-2.06
1978-05-31,0.56
1978-06-30,5.03
1978-07-31,2.87
1978-08-31,7.74
1978-09-30,5.49
1978-10-31,10.33
1978-11-30,12.76
1978-12-31,5.75
1979-01-31,7.37
1979-02-28,5.23
1979-03-31,5.22
1979-04-30,5.98
1979-05-31,9.06
1979-06-30,6.02
1979-07-31,9.27
1979-08-31,0.26
1979-09-30,4.39
1979-10-31,0.66
1979-11-30,-2.28
1979-12-31,-1.95
1980-01-31,-3.8
1980-02-29,-2.43
1980-03-31,-5.34
1980-04-30,-8.13
1980-05-31,-17.29
1980-06-30,-13.61
1980-07-31,-14.49
1980-08-31,-7.83
1980-09-30,-15.65
1980-10-31,-16.63
1980-11-30,-15.29
1980-12-31,-24.0
1981-01-31,-18.1
1981-02-28,-17.8
1981-03-31,-14.1
1981-04-30,-15.3
1981-05-31,-14.9
1981-06-30,-13.1
1981-07-31,-10.8
1981-08-31,-11.0
1981-09-30,-6.8
1981-10-31,-11.8
1981-11-30,-12.7
1981-12-31,-15.0
1982-01-31,-15.2
1982-02-28,-11.5
1982-03-31,-14.4
1982-04-30,-18.1
1982-05-31,-17.1
1982-06-30,-21.3
1982-07-31,-28.0
1982-08-31,-29.8
1982-09-30,-25.3
1982-10-31,-23.3
1982-11-30,-16.8
1982-12-31,-7.3
1983-01-31,0.7
1983-02-28,5.3
1983-03-31,2.9
1983-04-30,2.6
1983-05-31,0.9
1983-06-30,1.4
1983-07-31,3.0
1983-08-31,4.2
1983-09-30,6.1
1983-10-31,6.5
1983-11-30,9.9
1983-12-31,5.1
1984-01-31,6.6
1984-02-29,4.3
1984-03-31,2.6
1984-04-30,1.8
1984-05-31,6.5
1984-06-30,6.6
1984-07-31,9.0
1984-08-31,3.1
1984-09-30,3.9
1984-10-31,3.7
1984-11-30,2.1
1984-12-31,4.8
1985-01-31,5.8
1985-02-28,5.4
1985-03-31,4.5
1985-04-30,6.5
1985-05-31,7.8
1985-06-30,4.4
1985-07-31,1.6
1985-08-31,3.8
1985-09-30,3.7
1985-10-31,6.9
1985-11-30,5.6
1985-12-31,9.4
1986-01-31,7.9
1986-02-28,3.8
1986-03-31,3.9
1986-04-30,2.7
1986-05-31,3.8
1986-06-30,2.3
1986-07-31,3.4
1986-08-31,3.6
1986-09-30,3.3
1986-10-31,0.7
1986-11-30,1.4
1986-12-31,2.7
1987-01-31,-1.8
1987-02-28,-3.8
1987-03-31,-1.8
1987-04-30,-1.1
1987-05-31,-2.3
1987-06-30,-0.9
1987-07-31,1.3
1987-08-31,3.3
1987-09-30,5.0
1987-10-31,5.5
1987-11-30,3.3
1987-12-31,-3.0
1988-01-31,0.4
1988-02-29,4.4
1988-03-31,4.4
1988-04-30,7.0
1988-05-31,6.7
1988-06-30,7.9
1988-07-31,6.2
1988-08-31,7.2
1988-09-30,8.8
1988-10-31,10.4
1988-11-30,10.2
1988-12-31,8.1
1989-01-31,9.5
1989-02-28,8.6
1989-03-31,9.7
1989-04-30,9.2
1989-05-31,13.6
1989-06-30,12.7
1989-07-31,11.0
1989-08-31,11.1
1989-09-30,11.7
1989-10-31,13.4
1989-11-30,15.1
1989-12-31,13.1
1990-01-31,11.6
1990-02-28,9.8
1990-03-31,10.9
1990-04-30,13.4
1990-05-31,9.6
1990-06-30,10.6
1990-07-31,12.8
1990-08-31,9.9
1990-09-30,16.6
1990-10-31,13.5
1990-11-30,14.1
1990-12-31,14.1
1991-01-31,4.8
1991-02-28,5.5
1991-03-31,3.3
1991-04-30,3.9
1991-05-31,6.5
1991-06-30,5.6
1991-07-31,4.6
1991-08-31,3.5
1991-09-30,0.9
1991-10-31,4.4
1991-11-30,6.2
1991-12-31,2.9
1992-01-31,2.1
1992-02-29,0.4
1992-03-31,-0.6
1992-04-30,-1.7
1992-05-31,-1.7
1992-06-30,0.4
1992-07-31,0.2
1992-08-31,-8.3
1992-09-30,-15.0
1992-10-31,-24.6
1992-11-30,-26.0
1992-12-31,-24.8
1993-01-31,-19.6
1993-02-28,-20.0
1993-03-31,-18.6
1993-04-30,-18.7
1993-05-31,-16.1
1993-06-30,-12.0
1993-07-31,-12.2
1993-08-31,-9.3
1993-09-30,-9.1
1993-10-31,-4.3
1993-11-30,-1.9
1993-12-31,-2.1
1994-01-31,-0.6
1994-02-28,3.1
1994-03-31,4.8
1994-04-30,8.7
1994-05-31,10.0
1994-06-30,10.1
1994-07-31,9.3
1994-08-31,11.3
1994-09-30,12.8
1994-10-31,16.8
1994-11-30,16.9
1994-12-31,19.1
1995-01-31,16.8
1995-02-28,14.3
1995-03-31,12.0
1995-04-30,6.0
1995-05-31,5.7
1995-06-30,4.3
1995-07-31,2.1
1995-08-31,0.8
1995-09-30,1.3
1995-10-31,2.3
1995-11-30,0.6
1995-12-31,0.0
1996-01-31,-5.1
1996-02-29,-6.3
1996-03-31,-9.4
1996-04-30,-9.0
1996-05-31,-7.8
1996-06-30,-6.7
1996-07-31,-3.1
1996-08-31,-2.5
1996-09-30,-0.5
1996-10-31,2.0
1996-11-30,2.9
1996-12-31,4.3
1997-01-31,6.7
1997-02-28,5.3
1997-03-31,4.9
1997-04-30,4.7
1997-05-31,3.8
1997-06-30,5.7
1997-07-31,8.9
1997-08-31,11.2
1997-09-30,11.0
1997-10-31,9.8
1997-11-30,9.6
1997-12-31,13.0
1998-01-31,13.3
1998-02-28,9.8
1998-03-31,9.5
1998-04-30,9.6
1998-05-31,7.2
1998-06-30,5.2
1998-07-31,4.9
1998-08-31,5.6
1998-09-30,0.7
1998-10-31,-4.8
1998-11-30,-5.4
1998-12-31,-2.9
1999-01-31,-7.4
1999-02-28,-8.9
1999-03-31,-7.8
1999-04-30,-7.2
1999-05-31,-5.7
1999-06-30,-2.8
1999-07-31,-2.3
1999-08-31,0.8
1999-09-30,0.4
1999-10-31,3.6
1999-11-30,4.7
1999-12-31,8.9
2000-01-31,9.6
2000-02-29,10.8
2000-03-31,9.7
2000-04-30,9.6
2000-05-31,11.3
2000-06-30,10.1
2000-07-31,12.3
2000-08-31,12.5
2000-09-30,8.5
2000-10-31,9.9
2000-11-30,7.7
2000-12-31,7.1
2001-01-31,6.4
2001-02-28,0.4
2001-03-31,-1.7
2001-04-30,-7.5
2001-05-31,-9.1
2001-06-30,-10.6
2001-07-31,-6.2
2001-08-31,-8.9
2001-09-30,-17.6
2001-10-31,-19.6
2001-11-30,-17.3
2001-12-31,-8.1
2002-01-31,-13.8
2002-02-28,-8.1
2002-03-31,0.9
2002-04-30,2.1
2002-05-31,2.5
2002-06-30,2.9
2002-07-31,0.5
2002-08-31,-1.3
2002-09-30,-1.1
2002-10-31,-2.1
2002-11-30,-2.9
2002-12-31,-6.0
2003-01-31,-6.9
2003-02-28,-6.1
2003-03-31,-7.7
2003-04-30,-6.2
2003-05-31,-8.6
2003-06-30,-7.3
2003-07-31,-8.5
2003-08-31,-1.3
2003-09-30,5.4
2003-10-31,6.7
2003-11-30,7.1
2003-12-31,6.0
2004-01-31,8.8
2004-02-29,10.5
2004-03-31,8.3
2004-04-30,7.6
2004-05-31,6.4
2004-06-30,5.5
2004-07-31,5.1
2004-08-31,6.1
2004-09-30,6.9
2004-10-31,6.8
2004-11-30,4.3
2004-12-31,4.2
2005-01-31,3.0
2005-02-28,3.3
2005-03-31,0.8
2005-04-30,0.8
2005-05-31,-0.3
2005-06-30,1.1
2005-07-31,3.2
2005-08-31,4.9
2005-09-30,5.3
2005-10-31,7.9
2005-11-30,5.4
2005-12-31,7.1
2006-01-31,10.3
2006-02-28,10.8
2006-03-31,12.2
2006-04-30,13.0
2006-05-31,13.4
2006-06-30,9.7
2006-07-31,11.0
2006-08-31,11.5
2006-09-30,14.8
2006-10-31,14.9
2006-11-30,18.4
2006-12-31,13.2
2007-01-31,14.7
2007-02-28,10.8
2007-03-31,13.8
2007-04-30,13.7
2007-05-31,14.8
2007-06-30,16.1
2007-07-31,13.9
2007-08-31,12.2
2007-09-30,13.8
2007-10-31,13.7
2007-11-30,14.2
2007-12-31,13.2
2008-01-31,10.8
2008-02-29,9.7
2008-03-31,10.1
2008-04-30,8.1
2008-05-31,5.3
2008-06-30,1.6
2008-07-31,-2.0
2008-08-31,-7.2
2008-09-30,-8.3
2008-10-31,-20.6
2008-11-30,-34.9
2008-12-31,-42.8
2009-01-31,-41.4
2009-02-28,-38.7
2009-03-31,-36.1
2009-04-30,-28.0
2009-05-31,-22.6
2009-06-30,-15.0
2009-07-31,-9.6
2009-08-31,-1.8
2009-09-30,-1.1
2009-10-31,6.0
2009-11-30,5.4
2009-12-31,6.9
2010-01-31,6.6
2010-02-28,10.3
2010-03-31,13.3
2010-04-30,14.5
2010-05-31,17.9
2010-06-30,17.0
2010-07-31,19.1
2010-08-31,18.5
2010-09-30,20.3
2010-10-31,20.4
2010-11-30,21.4
2010-12-31,22.2
2011-01-31,18.5
2011-02-28,20.8
2011-03-31,17.9
2011-04-30,17.7
2011-05-31,16.0
2011-06-30,13.1
2011-07-31,11.2
2011-08-31,7.0
2011-09-30,4.8
2011-10-31,2.7
2011-11-30,1.2
2011-12-31,2.5
2012-01-31,4.2
2012-02-29,5.4
2012-03-31,1.9
2012-04-30,3.4
2012-05-31,0.9
2012-06-30,-0.4
2012-07-31,-5.4
2012-08-31,-6.2
2012-09-30,-9.1
2012-10-31,-10.2
2012-11-30,-6.4
2012-12-31,-3.1
2013-01-31,-0.5
2013-02-28,2.4
2013-03-31,3.4
2013-04-30,3.9
2013-05-31,1.7
2013-06-30,5.0
2013-07-31,4.3
2013-08-31,7.2
2013-09-30,8.8
2013-10-31,13.7
2013-11-30,13.1
2013-12-31,11.2
2014-01-31,10.7
2014-02-28,10.2
2014-03-31,10.4
2014-04-30,8.5
2014-05-31,9.7
2014-06-30,4.8
2014-07-31,8.1
2014-08-31,2.7
2014-09-30,2.1
2014-10-31,1.5
2014-11-30,3.1
2014-12-31,2.5
2015-01-31,4.6
2015-02-28,6.9
2015-03-31,9.9
2015-04-30,8.0
2015-05-31,8.7
2015-06-30,7.8
2015-07-31,7.6
2015-08-31,5.2
2015-09-30,9.3
2015-10-31,6.2
2015-11-30,7.0
2015-12-31,6.4
2016-01-31,3.0
2016-02-29,2.2
2016-03-31,2.6
2016-04-30,6.2
2016-05-31,4.2
2016-06-30,7.3
2016-07-31,5.9
2016-08-31,7.0
2016-09-30,7.9
2016-10-31,11.9
2016-11-30,11.4
2016-12-31,14.0
2017-01-31,12.0
2017-02-28,11.9
2017-03-31,15.4
2017-04-30,15.7
2017-05-31,18.0
2017-06-30,17.4
2017-07-31,20.5
2017-08-31,18.0
2017-09-30,20.3
2017-10-31,22.6
2017-11-30,21.5
2017-12-31,22.8
2018-01-31,21.4
2018-02-28,15.5
2018-03-31,15.0
2018-04-30,17.0
2018-05-31,12.2
2018-06-30,15.5
2018-07-31,14.5
2018-08-31,14.8
2018-09-30,16.1
2018-10-31,16.8
2018-11-30,16.0
2018-12-31,11.2
2019-01-31,9.8
2019-02-28,6.7
2019-03-31,1.1
2019-04-30,-1.0
2019-05-31,3.6
2019-06-30,-2.8
2019-07-31,-5.0
2019-08-31,-2.5
2019-09-30,-6.4
2019-10-31,-5.2
2019-11-30,-4.6
2019-12-31,-4.1
2020-01-31,2.3
2020-02-29,-0.3
2020-03-31,-22.5
2020-04-30,-51.4
2020-05-31,-18.7
2020-06-30,4.7
2020-07-31,13.5
2020-08-31,14.9
2020-09-30,20.6
2020-10-31,19.1
2020-11-30,8.7
2020-12-31,8.2
2021-01-31,11.5
2021-02-28,20.3
2021-03-31,25.0
2021-04-30,24.8
2021-05-31,22.2
2021-06-30,26.3
2021-07-31,24.9
2021-08-31,28.6
2021-09-30,31.0
2021-10-31,25.3
2021-11-30,23.4
2021-12-31,26.3
2022-01-31,26.1
2022-02-28,25.1
2022-03-31,2.8
2022-04-30,4.7
2022-05-31,9.9
2022-06-30,13.6
2022-07-31,3.8
2022-08-31,7.6
2022-09-30,0.4
2022-10-31,1.7
2022-11-30,5.4
2022-12-31,5.9
2023-01-31,12.4
2023-02-28,7.8
2023-03-31,2.8
2023-04-30,2.2
2023-05-31,-0.1
2023-06-30,-3.0
2023-07-31,-8.2
2023-08-31,-6.8
2023-09-30,-4.7
2023-10-31,-6.8
2023-11-30,-7.3
2023-12-31,-4.8
