date,value
1955-01-31,151580.9
1955-02-28,142832.6
1955-03-31,171368.9
1955-04-30,178244.7
1955-05-31,176760.8
1955-06-30,177045.0
1955-07-31,184704.4
1955-08-31,186200.8
1955-09-30,187583.7
1955-10-31,184647.9
1955-11-30,189105.5
1955-12-31,186301.5
1956-01-31,191790.8
1956-02-29,157762.5
1956-03-31,217643.5
1956-04-30,204006.0
1956-05-31,205038.9
1956-06-30,202137.5
1956-07-31,190644.3
1956-08-31,191273.3
1956-09-30,185790.0
1956-10-31,184560.7
1956-11-30,180187.1
1956-12-31,184655.6
1957-01-31,186269.3
1957-02-28,191101.0
1957-03-31,192523.1
1957-04-30,188958.9
1957-05-31,187309.8
1957-06-30,186234.7
1957-07-31,191734.4
1957-08-31,190134.6
1957-09-30,197016.5
1957-10-31,205069.7
1957-11-30,195558.8
1957-12-31,180559.1
1958-01-31,193434.1
1958-02-28,189962.1
1958-03-31,174830.7
1958-04-30,182637.9
1958-05-31,185391.8
1958-06-30,192964.6
1958-07-31,196994.6
1958-08-31,200490.0
1958-09-30,206080.7
1958-10-31,197780.9
1958-11-30,192693.3
1958-12-31,165058.7
1959-01-31,188005.0
1959-02-28,210755.3
1959-03-31,219643.3
1959-04-30,231219.2
1959-05-31,242415.5
1959-06-30,254269.2
1959-07-31,263488.0
1959-08-31,271604.6
1959-09-30,280595.4
1959-10-31,286657.7
1959-11-30,305249.3
1959-12-31,320984.1
1960-01-31,339954.7
1960-02-29,349051.3
1960-03-31,363804.5
1960-04-30,378908.8
1960-05-31,397797.4
1960-06-30,402904.1
1960-07-31,413807.8
1960-08-31,421745.9
1960-09-30,427396.6
1960-10-31,445907.0
1960-11-30,464416.7
1960-12-31,487506.6
1961-01-31,481417.6
1961-02-28,492392.1
1961-03-31,469110.6
1961-04-30,471335.5
1961-05-31,457836.7
1961-06-30,458002.8
1961-07-31,456837.0
1961-08-31,470918.2
1961-09-30,477246.9
1961-10-31,486717.1
1961-11-30,500147.8
1961-12-31,542361.1
1962-01-31,533151.6
1962-02-28,526250.0
1962-03-31,501231.6
1962-04-30,499506.2
1962-05-31,502957.0
1962-06-30,496918.0
1962-07-31,491741.8
1962-08-31,485702.9
1962-09-30,478801.2
1962-10-31,477938.5
1962-11-30,470174.2
1962-12-31,471036.9
1963-01-31,459821.7
1963-02-28,454645.5
1963-03-31,476213.1
1963-04-30,475350.4
1963-05-31,472762.3
1963-06-30,473625.0
1963-07-31,477938.5
1963-08-31,483977.5
1963-09-30,492604.5
1963-10-31,494329.9
1963-11-30,497780.8
1963-12-31,491741.8
1964-01-31,507270.5
1964-02-29,629774.6
1964-03-31,520211.1
