date,value
1962-03-31,34013149.99999996
1962-04-30,34011880.72107585
1962-05-31,34010569.18261503
1962-06-30,34009300.00000005
1962-07-31,34021675.35156012
1962-08-31,34034055.20628028
1962-09-30,34046040.00000002
1962-10-31,34028212.55630516
1962-11-30,34010969.07959563
1962-12-31,33993160.00000006
1963-01-31,33997650.99091723
1963-02-28,34001707.87978361
1963-03-31,34006200.00000003
1963-04-30,34042121.847692214
1963-05-31,34079280.95453456
1963-06-30,34115280.00000003
1963-07-31,34087401.39564262
1963-08-31,34059545.573351935
1963-09-30,34032610.00000004
1963-10-31,34038866.15103442
1963-11-30,34044921.58574988
1963-12-31,34051180.000000045
1964-01-31,34022398.001260936
1964-02-29,33995494.93054352
1964-03-31,33966759.99999996
1964-04-30,34002938.391784474
1964-05-31,34040363.21257635
1964-06-30,34076620.000000045
1964-07-31,34053543.323549666
1964-08-31,34030482.27461739
1964-09-30,34008180.00000002
1964-10-31,34017544.85386693
1964-11-30,34026610.07103284
1964-12-31,34035979.99999996
1965-01-31,34075282.68553394
1965-02-28,34110820.89274193
1965-03-31,34150209.99999999
1965-04-30,34174815.049176425
1965-05-31,34200258.890857354
1965-06-30,34224900.00000006
1965-07-31,34215230.02953121
1965-08-31,34205562.79123469
1965-09-30,34196209.99999995
1965-10-31,34180686.21964725
1965-11-30,34165669.91631487
1965-12-31,34150160.00000006
1966-01-31,34186173.40343509
1966-02-28,34218734.28084985
1966-03-31,34254819.999999985
1966-04-30,34257015.4613356
1966-05-31,34259284.25254129
1966-06-30,34261479.99999996
1966-07-31,34179528.15512444
1966-08-31,34097772.335198045
1966-09-30,34018840.00000001
1966-10-31,33903129.831822895
1966-11-30,33791526.99584259
1966-12-31,33676589.99999998
1967-01-31,33515532.965282105
1967-02-28,33370724.243151955
1967-03-31,33211129.999999963
1967-04-30,33112568.08784716
1967-05-31,33011028.062150724
1967-06-30,32913060.000000007
1967-07-31,32900065.27891047
1967-08-31,32887075.68839148
1967-09-30,32874510.000000052
1967-10-31,32838855.66343826
1967-11-30,32804388.28544467
1967-12-31,32768810.000000022
1968-01-31,32784176.981119547
1968-02-29,32798559.068011753
1968-03-31,32813940.0
1968-04-30,32820621.034531776
1968-05-31,32827526.19926991
1968-06-30,32834210.00000003
1968-07-31,32895450.59551344
1968-08-31,32956805.41367886
