date,value
2005-03-31,10877069.999999981
2005-04-30,10875889.650001463
2005-05-31,10874670.089566791
2005-06-30,10873490.000000015
2005-07-31,10900337.446294425
2005-08-31,10927251.180907762
2005-09-30,10953359.999999989
2005-10-31,10923364.25301422
2005-11-30,10894414.32441126
2005-12-31,10864580.000000013
2006-01-31,10892113.880507965
2006-02-28,10917043.163182097
2006-03-31,10944710.000000015
2006-04-30,10999756.611588458
2006-05-31,11056928.981071047
2006-06-30,11112540.00000001
2006-07-31,11078370.42594619
2006-08-31,11044305.91876196
2006-09-30,11011439.999999985
2006-10-31,11057604.432730202
2006-11-30,11102463.957836432
2006-12-31,11149010.000000002
2007-01-31,11194817.455929885
2007-02-28,11236353.678868571
2007-03-31,11282519.999999983
2007-04-30,11315353.52972597
2007-05-31,11349381.893886765
2007-06-30,11382409.999999983
2007-07-31,11412563.081964333
2007-08-31,11442796.042298159
2007-09-30,11472130.000000019
2007-10-31,11455426.735942215
2007-11-30,11439285.442832695
2007-12-31,11422630.0
2008-01-31,11331648.916762516
2008-02-29,11247193.7359239
2008-03-31,11157610.000000019
2008-04-30,11149834.16228417
2008-05-31,11141804.8229473
2008-06-30,11134040.00000001
2008-07-31,11258423.484071609
2008-08-31,11384196.51327775
2008-09-30,11507250.00000001
2008-10-31,11483767.558052683
2008-11-30,11461088.241263436
2008-12-31,11437700.000000004
2009-01-31,11338033.941638663
2009-02-28,11248759.666313618
2009-03-31,11150739.999999981
2009-04-30,11128365.817635126
2009-05-31,11105292.992036318
2009-06-30,11083010.00000001
2009-07-31,11066751.98115071
2009-08-31,11050517.811704857
2009-09-30,11034830.000000007
2009-10-31,11037959.452815963
2009-11-30,11040988.80056214
2009-12-31,11044119.999999998
2010-01-31,10913861.661284983
2010-02-28,10797529.96683353
2010-03-31,10670180.000000019
2010-04-30,10687633.376661602
2010-05-31,10705698.525143476
2010-06-30,10723210.000000011
2010-07-31,10749687.689913075
2010-08-31,10776230.758389382
2010-09-30,10801979.999999985
2010-10-31,10810447.923735287
2010-11-30,10818649.009040233
2010-12-31,10827129.999999996
2011-01-31,10836487.746009024
2011-02-28,10844946.855117513
2011-03-31,10854320.000000007
2011-04-30,10885711.127072634
2011-05-31,10918244.002159342
2011-06-30,10949819.999999993
2011-07-31,10956740.152731935
2011-08-31,10963664.678915989
2011-09-30,10970370.000000007
2011-10-31,10990997.360699603
2011-11-30,11010996.250598388
2011-12-31,11031700.000000004
2012-01-31,11031148.105148964
2012-02-29,11030631.841413097
2012-03-31,11030079.99999999
2012-04-30,11027481.575523589
2012-05-31,11024797.179969653
2012-06-30,11022199.999999989
2012-07-31,11037668.52329171
2012-08-31,11053158.755063847
2012-09-30,11068170.000000019
2012-10-31,11046184.451649064
2012-11-30,11024949.696573203
2012-12-31,11003049.999999983
2013-01-31,10988869.058880398
2013-02-28,10976076.17674069
2013-03-31,10961930.000000017
2013-04-30,10962477.22497374
2013-05-31,10963042.719478786
2013-06-30,10963590.000000017
2013-07-31,10972078.206573103
2013-08-31,10980572.98486684
2013-09-30,10988800.000000015
2013-10-31,10995461.026665479
2013-11-30,11001911.025888683
2013-12-31,11008580.000000007
2014-01-31,11049393.735068621
2014-02-28,11086387.796591552
2014-03-31,11127489.999999983
2014-04-30,11151122.452282686
2014-05-31,11175595.381986804
2014-06-30,11199329.999999994
2014-07-31,11189057.035854919
2014-08-31,11178793.494933583
2014-09-30,11168869.999999996
2014-10-31,11193394.588676523
2014-11-30,11217179.333757905
2014-12-31,11241809.99999999
2015-01-31,11216473.474833602
2015-02-28,11193637.956154706
2015-03-31,11168409.999999996
2015-04-30,11143559.321096776
2015-05-31,11117938.375169538
2015-06-30,11093200.000000007
2015-07-31,11098757.043312205
2015-08-31,11104316.870377583
2015-09-30,11109700.00000001
2015-10-31,11128030.986772917
2015-11-30,11145799.449195143
2015-12-31,11164189.999999996
2016-01-31,11173421.292596506
2016-02-29,11182063.928054541
2016-03-31,11191309.999999996
2016-04-30,11221769.592889784
2016-05-31,11253331.601783505
2016-06-30,11283959.999999987
2016-07-31,11307585.86339579
2016-08-31,11331261.193594132
2016-09-30,11354220.000000006
2016-10-31,11358528.06549628
2016-11-30,11362698.717473373
2016-12-31,11367009.999999987
2017-01-31,11385646.354003986
2017-02-28,11402505.450763837
2017-03-31,11421200.0
2017-04-30,11422973.346425721
2017-05-31,11424806.093663458
2017-06-30,11426579.999999987
2017-07-31,11422946.472025761
2017-08-31,11419314.099473896
2017-09-30,11415799.999999996
2017-10-31,11412469.91390864
2017-11-30,11409248.174868166
2017-12-31,11405920.000000006
2018-01-31,11412405.82311165
2018-02-28,11418267.15584415
2018-03-31,11424760.000000017
2018-04-30,11429996.021465065
2018-05-31,11435409.09800303
2018-06-30,11440649.999999985
2018-07-31,11470984.494361896
2018-08-31,11501399.419603886
2018-09-30,11530910.000000007
2018-10-31,11500054.597147143
2018-11-30,11470273.145531237
2018-12-31,11439579.999999987
2019-01-31,11486113.209042318
2019-02-28,11528305.877375215
2019-03-31,11575199.999999983
2019-04-30,11543367.125848103
2019-05-31,11510565.122240068
2019-06-30,11478909.999999996
2019-07-31,11498360.382333305
2019-08-31,11517843.722270856
2019-09-30,11536730.000000019
2019-10-31,11527196.49013737
2019-11-30,11517978.01394273
2019-12-31,11508459.999999985
2020-01-31,11461244.758651312
2020-02-29,11417251.04245989
2020-03-31,11370409.999999983
2020-04-30,11368032.571580267
2020-05-31,11365576.417770501
2020-06-30,11363199.999999983
2020-07-31,11331608.228450302
2020-08-31,11300104.287795978
2020-09-30,11269699.999999993
2020-10-31,11268146.419730227
2020-11-30,11266643.15887006
2020-12-31,11265089.999999983
2021-01-31,11241555.574940467
2021-02-28,11220340.937705847
2021-03-31,11196900.000000007
2021-04-30,11197081.315696279
2021-05-31,11197268.678333586
2021-06-30,11197450.000000006
2021-07-31,11186869.841253811
2021-08-31,11176299.679405004
2021-09-30,11166079.999999981
2021-10-31,11175537.225840071
2021-11-30,11184697.006295737
2021-12-31,11194170.000000019
2022-01-31,11213365.549273577
2022-02-28,11230731.755325535
2022-03-31,11249989.99999999
2022-04-30,11248150.133663937
2022-05-31,11246249.254560266
2022-06-30,11244410.00000001
2022-07-31,11257623.629982281
2022-08-31,11270852.787681643
2022-09-30,11283669.999999987
2022-10-31,11278637.030750295
2022-11-30,11273768.552807227
2022-12-31,11268739.999999993
2023-01-31,11261712.608203184
2023-02-28,11255369.053430663
2023-03-31,11248350.000000013
2023-04-30,11258188.501328137
2023-05-31,11268363.993197858
2023-06-30,11278220.0
2023-07-31,11293225.240972836
2023-08-31,11308250.445845746
2023-09-30,11322809.99999999
2023-10-31,11282371.439415444
2023-11-30,11243374.863996869
2023-12-31,11203219.99999999
2024-01-31,11215209.00838479
2024-02-29,11226436.147098863
2024-03-31,11238449.99999999
2024-04-30,11237319.115079721
2024-05-31,11236150.653545298
2024-06-30,11235020.000000017
2024-07-31,11241930.165409008
2024-08-31,11248844.580956087
2024-09-30,11255540.000000002
2024-10-31,11257611.90734352
2024-11-30,11259617.342103867
2024-12-31,11261690.000000006
2025-01-31,11238145.186209857
2025-02-28,11216921.215698734
2025-03-31,11193469.99999999
2025-04-30,11196512.01656558
2025-05-31,11199656.302201193
2025-06-30,11202700.000000015
2025-07-31,11177534.420519548
2025-08-31,11152425.372624377
2025-09-30,11128180.000000007
