date,value
2000-01-31,395.7
2000-02-29,392.4
2000-03-31,389.4
2000-04-30,387.5
2000-05-31,386.2
2000-06-30,382.9
2000-07-31,380.7
2000-08-31,377.3
2000-09-30,372.5
2000-10-31,368.7
2000-11-30,364.2
2000-12-31,361.2
2001-01-31,357.4
2001-02-28,354.9
2001-03-31,351.3
2001-04-30,349.3
2001-05-31,347.2
2001-06-30,344.3
2001-07-31,343.4
2001-08-31,340.4
2001-09-30,338.4
2001-10-31,336.0
2001-11-30,334.6
2001-12-31,333.8
2002-01-31,326.7
2002-02-28,323.2
2002-03-31,322.0
2002-04-30,321.0
2002-05-31,319.6
2002-06-30,316.6
2002-07-31,313.9
2002-08-31,311.7
2002-09-30,312.7
2002-10-31,310.6
2002-11-30,309.0
2002-12-31,307.8
2003-01-31,306.0
2003-02-28,305.5
2003-03-31,303.7
2003-04-30,302.2
2003-05-31,301.0
2003-06-30,299.7
2003-07-31,297.6
2003-08-31,294.7
2003-09-30,295.7
2003-10-31,293.9
2003-11-30,292.5
2003-12-31,291.7
2004-01-31,291.6
2004-02-29,290.2
2004-03-31,288.9
2004-04-30,287.2
2004-05-31,286.0
2004-06-30,285.1
2004-07-31,283.4
2004-08-31,282.2
2004-09-30,282.2
2004-10-31,277.3
2004-11-30,276.0
2004-12-31,275.1
2005-01-31,275.3
2005-02-28,273.4
2005-03-31,272.2
2005-04-30,270.4
2005-05-31,269.9
2005-06-30,267.8
2005-07-31,266.4
2005-08-31,264.4
2005-09-30,265.3
2005-10-31,264.3
2005-11-30,262.1
2005-12-31,260.3
2006-01-31,259.6
2006-02-28,258.3
2006-03-31,255.8
2006-04-30,254.7
2006-05-31,253.1
2006-06-30,252.7
2006-07-31,252.1
2006-08-31,251.2
2006-09-30,249.3
2006-10-31,249.0
2006-11-30,248.5
2006-12-31,248.3
2007-01-31,249.7
2007-02-28,248.6
2007-03-31,247.7
2007-04-30,246.4
2007-05-31,245.8
2007-06-30,245.9
2007-07-31,245.7
2007-08-31,245.7
2007-09-30,243.6
2007-10-31,243.5
2007-11-30,242.6
2007-12-31,240.3
2008-01-31,240.5
2008-02-29,240.6
2008-03-31,239.4
2008-04-30,239.0
2008-05-31,237.9
2008-06-30,236.1
2008-07-31,236.0
2008-08-31,235.6
2008-09-30,233.5
2008-10-31,231.8
2008-11-30,230.9
2008-12-31,230.8
2009-01-31,245.0
2009-02-28,243.6
2009-03-31,242.7
2009-04-30,241.8
2009-05-31,240.4
2009-06-30,237.7
2009-07-31,238.1
2009-08-31,237.5
2009-09-30,234.7
2009-10-31,233.7
2009-11-30,232.3
2009-12-31,232.0
2010-01-31,230.8
2010-02-28,230.7
2010-03-31,229.4
2010-04-30,227.7
2010-05-31,225.6
2010-06-30,225.5
2010-07-31,224.9
2010-08-31,224.0
2010-09-30,222.2
2010-10-31,221.2
2010-11-30,220.9
2010-12-31,220.4
2011-01-31,219.1
2011-02-28,219.2
2011-03-31,217.9
2011-04-30,216.8
2011-05-31,216.2
2011-06-30,215.9
2011-07-31,215.2
2011-08-31,214.2
2011-09-30,212.9
2011-10-31,211.8
2011-11-30,210.4
2011-12-31,209.8
2012-01-31,203.0
2012-02-29,203.3
2012-03-31,201.6
2012-04-30,199.8
2012-05-31,198.9
2012-06-30,197.4
2012-07-31,190.7
2012-08-31,189.1
2012-09-30,189.0
2012-10-31,188.2
2012-11-30,186.8
2012-12-31,185.6
2013-01-31,186.5
2013-02-28,185.8
2013-03-31,184.5
2013-04-30,183.6
2013-05-31,182.7
2013-06-30,181.5
2013-07-31,180.2
2013-08-31,178.6
2013-09-30,178.8
2013-10-31,178.2
2013-11-30,177.7
2013-12-31,176.7
2014-01-31,177.4
2014-02-28,175.1
2014-03-31,174.9
2014-04-30,173.7
2014-05-31,172.4
2014-06-30,171.4
2014-07-31,170.7
2014-08-31,169.6
2014-09-30,168.8
2014-10-31,168.3
2014-11-30,167.8
2014-12-31,166.4
2015-01-31,167.9
2015-02-28,166.3
2015-03-31,165.2
2015-04-30,164.4
2015-05-31,163.0
2015-06-30,162.1
2015-07-31,161.1
2015-08-31,159.1
2015-09-30,157.7
2015-10-31,157.0
2015-11-30,156.4
2015-12-31,154.6
2016-01-31,153.7
2016-02-29,149.1
2016-03-31,148.2
2016-04-30,147.0
2016-05-31,145.7
2016-06-30,144.7
2016-07-31,143.2
2016-08-31,143.1
2016-09-30,141.7
2016-10-31,139.9
2016-11-30,138.8
2016-12-31,137.8
2017-01-31,141.2
2017-02-28,140.6
2017-03-31,139.5
2017-04-30,139.3
2017-05-31,137.7
2017-06-30,136.8
2017-07-31,136.4
2017-08-31,135.6
2017-09-30,134.3
2017-10-31,133.7
2017-11-30,132.9
