date,value
2005-03-31,2344554.000000001
2005-04-30,2367810.9622539775
2005-05-31,2392085.5453613973
2005-06-30,2415813.9999999995
2005-07-31,2403283.443313041
2005-08-31,2390817.8812204073
2005-09-30,2378815.999999999
2005-10-31,2400522.3900161376
2005-11-30,2421717.14257617
2005-12-31,2443815.000000001
2006-01-31,2419836.4703242974
2006-02-28,2398380.732042697
2006-03-31,2374848.0000000005
2006-04-30,2392132.3137582657
2006-05-31,2410124.938160346
2006-06-30,2427666.000000002
2006-07-31,2447110.7723512817
2006-08-31,2466711.290662588
2006-09-30,2485829.0000000023
2006-10-31,2487656.3411114784
2006-11-30,2489426.014711126
2006-12-31,2491256.000000002
2007-01-31,2501843.3724565874
2007-02-28,2511444.8287937474
2007-03-31,2522118.0000000005
2007-04-30,2530103.257552069
2007-05-31,2538381.251497926
2007-06-30,2546418.0
2007-07-31,2542767.996199562
2007-08-31,2539123.224269047
2007-09-30,2535601.0000000014
2007-10-31,2522242.9889514213
2007-11-30,2509382.889233162
2007-12-31,2496163.0
2008-01-31,2526907.220747602
2008-02-29,2556010.6600530916
2008-03-31,2587492.0000000005
2008-04-30,2572732.953121919
2008-05-31,2557570.3740100497
2008-06-30,2542982.0000000023
2008-07-31,2557172.375574728
2008-08-31,2571441.9364362312
2008-09-30,2585327.000000002
2008-10-31,2569417.8384287376
2008-11-30,2554115.0948649105
2008-12-31,2538398.0000000014
2009-01-31,2562364.8054466625
2009-02-28,2584206.6824804577
2009-03-31,2608606.0
2009-04-30,2595470.075571361
2009-05-31,2581965.774623223
2009-06-30,2568964.0000000023
2009-07-31,2560668.42182158
2009-08-31,2552399.6313355165
2009-09-30,2544422.9999999986
2009-10-31,2543540.883931423
2009-11-30,2542687.514399855
2009-12-31,2541806.0000000014
2010-01-31,2530931.7642057105
2010-02-28,2521149.8656845563
2010-03-31,2510364.0
2010-04-30,2509313.88313629
2010-05-31,2508229.223859976
2010-06-30,2507180.0
2010-07-31,2521228.63833192
2010-08-31,2535355.996276704
2010-09-30,2549102.999999998
2010-10-31,2550096.6406171126
2010-11-30,2551058.5970909363
2010-12-31,2552053.000000002
2011-01-31,2551508.322716492
2011-02-28,2551016.4560569352
2011-03-31,2550471.9999999986
2011-04-30,2564613.450351521
2011-05-31,2579308.6607314292
2011-06-30,2593609.9999999977
2011-07-31,2586094.6816180837
