date,value
2005-03-31,8031823.999999995
2005-04-30,8012586.092935071
2005-05-31,7992755.329385123
2005-06-30,7973610.9999999935
2005-07-31,8019758.111222023
2005-08-31,8066172.297910115
2005-09-30,8111345.000000005
2005-10-31,8056554.765366092
2005-11-30,8003884.363215137
2005-12-31,7949820.000000004
2006-01-31,7998401.913826603
2006-02-28,8042537.483058844
2006-03-31,8091686.000000003
2006-04-30,8139038.758956659
2006-05-31,8188261.081132532
2006-06-30,8236179.000000001
2006-07-31,8175509.709902556
2006-08-31,8115287.321549344
2006-09-30,8057429.9999999935
2006-10-31,8104059.59115769
2006-11-30,8149441.921648736
2006-12-31,8196604.000000006
2007-01-31,8226506.696324515
2007-02-28,8253609.33787558
2007-03-31,8283719.999999996
2007-04-30,8312336.627594134
2007-05-31,8342011.002500712
2007-06-30,8370828.999999995
2007-07-31,8399653.227786856
2007-08-31,8428576.709316403
2007-09-30,8456662.000000006
2007-10-31,8455323.063176189
2007-11-30,8454027.519708574
2007-12-31,8452689.000000006
2008-01-31,8274042.407903513
2008-02-29,8110341.109524639
2008-03-31,7938930.0000000065
2008-04-30,7948466.590240083
2008-05-31,7958333.101904545
2008-06-30,7967892.9999999935
2008-07-31,8072099.788910091
2008-08-31,8177669.429311145
2008-09-30,8281148.000000005
2008-10-31,8266830.299551154
2008-11-30,8252998.030526452
2008-12-31,8238729.000000004
2009-01-31,8141318.522588342
2009-02-28,8054325.181888064
2009-03-31,7959094.999999999
2009-04-30,7929604.82235632
2009-05-31,7899246.42566196
2009-06-30,7869978.000000001
2009-07-31,7842803.239294909
2009-08-31,7815722.31209475
2009-09-30,7789603.999999999
2009-10-31,7784047.057149694
2009-11-30,7778673.1450037705
2009-12-31,7773123.999999995
2010-01-31,7712733.8700420745
2010-02-28,7658591.31477614
2010-03-31,7599091.000000005
2010-04-30,7592897.297646502
2010-05-31,7586502.441944507
2010-06-30,7580319.0
2010-07-31,7577949.804143503
2010-08-31,7575581.348768905
2010-09-30,7573289.999999999
2010-10-31,7571540.798185213
2010-11-30,7569848.406910478
2010-12-31,7568100.000000004
2011-01-31,7593575.743672802
2011-02-28,7616659.794312596
2011-03-31,7642298.999999998
2011-04-30,7651860.459190943
2011-05-31,7661753.201202496
2011-06-30,7671339.000000004
2011-07-31,7684055.878424146
2011-08-31,7696793.837783019
