date,value
1962-03-31,12536969.999999987
1962-04-30,12553372.348838856
1962-05-31,12570343.987358574
1962-06-30,12586790.000000006
1962-07-31,12610034.804816965
1962-08-31,12633322.537254898
1962-09-30,12655899.999999996
1962-10-31,12667827.306845626
1962-11-30,12679380.564353125
1962-12-31,12691330.000000022
1963-01-31,12710024.339581816
1963-02-28,12726933.216850355
1963-03-31,12745680.000000002
1963-04-30,12767627.269796833
1963-05-31,12790345.818436354
1963-06-30,12812369.999999987
1963-07-31,12816880.285520203
1963-08-31,12821392.158777589
1963-09-30,12825759.999999987
1963-10-31,12843930.313824616
1963-11-30,12861538.997902676
1963-12-31,12879759.999999987
1964-01-31,12870596.769489922
1964-02-29,12862030.617043428
1964-03-31,12852879.999999985
1964-04-30,12874456.341284843
1964-05-31,12896789.946365202
1964-06-30,12918440.000000022
1964-07-31,12938377.753658844
1964-08-31,12958346.278372094
1964-09-30,12977699.999999996
1964-10-31,13003108.09199149
1964-11-30,13027743.93064784
1964-12-31,13053250.000000002
1965-01-31,13103157.321200196
1965-02-28,13148398.889995104
1965-03-31,13198669.999999989
1965-04-30,13224149.629635656
1965-05-31,13250530.25572332
1965-06-30,13276109.999999981
1965-07-31,13303539.747835834
1965-08-31,13331026.168226046
1965-09-30,13357680.000000007
1965-10-31,13379053.183522055
1965-11-30,13399769.470503394
1965-12-31,13421209.999999994
1966-01-31,13439706.510090163
1966-02-28,13456434.944470104
1966-03-31,13474979.999999976
1966-04-30,13481626.117358105
1966-05-31,13488497.215693057
1966-06-30,13495149.999999994
1966-07-31,13488323.233245976
1966-08-31,13481499.919935921
1966-09-30,13474899.99999999
1966-10-31,13456517.947766883
1966-11-30,13438752.74123277
1966-12-31,13420420.00000002
1967-01-31,13474332.762150912
1967-02-28,13523214.290702494
1967-03-31,13577539.99999998
1967-04-30,13531398.348671718
1967-05-31,13483883.370436015
1967-06-30,13438060.000000015
1967-07-31,13440327.340983272
1967-08-31,13442595.064524362
1967-09-30,13444790.0
1967-10-31,13458100.29212408
1967-11-30,13470993.766244724
1967-12-31,13484329.999999983
1968-01-31,13482503.826604756
1968-02-29,13480795.694746736
1968-03-31,13478970.000000002
1968-04-30,13486353.799042055
1968-05-31,13493987.974090248
1968-06-30,13501379.999999987
1968-07-31,13522921.493510835
1968-08-31,13544497.356541194
1968-09-30,13565409.999999983
1968-10-31,13614715.540488852
1968-11-30,13662601.203338908
1968-12-31,13712260.000000011
1969-01-31,13670973.8137591
1969-02-28,13633789.921008516
1969-03-31,13592740.0
1969-04-30,13602458.209093647
1969-05-31,13612507.657903537
1969-06-30,13622240.000000007
1969-07-31,13636125.526330186
1969-08-31,13650025.20656174
1969-09-30,13663490.000000007
1969-10-31,13694186.231767697
1969-11-30,13723957.921728974
1969-12-31,13754790.000000004
1970-01-31,13768021.772640144
1970-02-28,13779983.99135438
1970-03-31,13793239.999999978
1970-04-30,13819647.904741937
1970-05-31,13846989.18952471
1970-06-30,13873499.999999981
1970-07-31,13899330.913875826
1970-08-31,13925209.922040181
1970-09-30,13950300.000000019
1970-10-31,13967279.116320651
1970-11-30,13983730.195294576
1970-12-31,14000750.000000011
1971-01-31,14024588.245060528
1971-02-28,14046154.447484804
1971-03-31,14070069.99999999
1971-04-30,14091202.549425561
1971-05-31,14113072.862401431
1971-06-30,14134269.99999999
1971-07-31,14154082.66325449
1971-08-31,14173923.098840015
1971-09-30,14193149.999999993
1971-10-31,14222895.797135739
1971-11-30,14251741.40784472
1971-12-31,14281610.000000011
1972-01-31,14306948.996195542
1972-02-29,14330693.917181134
1972-03-31,14356120.000000002
1972-04-30,14376161.87020195
1972-05-31,14396901.197182493
1972-06-30,14416999.999999983
1972-07-31,14444850.403613826
1972-08-31,14472754.607947756
1972-09-30,14499809.999999983
1972-10-31,14523510.452458376
1972-11-30,14546483.258449325
1972-12-31,14570259.999999987
1973-01-31,14608058.945254289
1973-02-28,14642284.205711534
1973-03-31,14680270.00000001
1973-04-30,14705399.866013613
1973-05-31,14731412.587478667
1973-06-30,14756629.999999993
1973-07-31,14777021.828386342
1973-08-31,14797441.835744783
1973-09-30,14817230.000000011
1973-10-31,14830679.398590688
1973-11-30,14843706.568986941
1973-12-31,14857179.99999998
1974-01-31,14869601.115506113
1974-02-28,14880829.113018785
1974-03-31,14893270.000000019
1974-04-30,14898440.7021505
1974-05-31,14903785.64698716
1974-06-30,14908959.999999976
1974-07-31,14909718.11424528
1974-08-31,14910476.267040316
1974-09-30,14911210.000000002
1974-10-31,14913497.589477573
1974-11-30,14915711.719895244
1974-12-31,14918000.000000004
1975-01-31,14909994.468035128
1975-02-28,14902767.357584523
1975-03-31,14894769.999999978
1975-04-30,14894074.362574736
1975-05-31,14893355.571366532
1975-06-30,14892660.000000013
1975-07-31,14897022.329642206
1975-08-31,14901385.9370897
1975-09-30,14905610.00000001
1975-10-31,14906644.385895928
1975-11-30,14907645.472850913
1975-12-31,14908679.999999987
1976-01-31,14923416.448776148
1976-02-29,14937215.34553039
1976-03-31,14951979.999999994
1976-04-30,14963782.613455443
1976-05-31,14975988.435055925
1976-06-30,14987809.99999998
1976-07-31,14999395.860080268
1976-08-31,15010990.676249072
1976-09-30,15022220.000000024
1976-10-31,15038528.118837995
1976-11-30,15054327.02578166
1976-12-31,15070669.99999999
1977-01-31,15081632.964906508
1977-02-28,15091541.852133323
1977-03-31,15102520.000000019
1977-04-30,15113799.34548433
1977-05-31,15125463.51910528
1977-06-30,15136760.000000013
1977-07-31,15154476.981041158
1977-08-31,15172214.699110439
1977-09-30,15189399.999999976
1977-10-31,15209110.368519489
1977-11-30,15228209.271029508
1977-12-31,15247969.999999993
1978-01-31,15271090.179967748
1978-02-28,15292003.053628279
1978-03-31,15315189.999999983
1978-04-30,15337268.613592288
1978-05-31,15360116.619501643
1978-06-30,15382260.000000006
1978-07-31,15404712.848623494
1978-08-31,15427198.470741283
1978-09-30,15448989.99999998
1978-10-31,15476518.233175512
1978-11-30,15503205.161957765
1978-12-31,15530830.000000026
1979-01-31,15568120.401119115
1979-02-28,15601879.006199121
1979-03-31,15639340.000000011
1979-04-30,15668417.966578823
1979-05-31,15698521.997310977
1979-06-30,15727710.0
1979-07-31,15767861.891000437
1979-08-31,15808116.287346534
1979-09-30,15847170.000000002
1979-10-31,15871478.404629257
1979-11-30,15895038.169085603
1979-12-31,15919419.99999999
1980-01-31,16160388.573328743
1980-02-29,16389111.810524013
1980-03-31,16637189.999999972
1980-04-30,16661851.71617587
1980-05-31,16687373.895001495
1980-06-30,16712109.999999972
1980-07-31,16733476.481969202
1980-08-31,16754870.281048646
1980-09-30,16775600.000000026
1980-10-31,16807785.94504694
1980-11-30,16838992.429184552
1980-12-31,16871299.99999997
1981-01-31,16897600.632228773
1981-02-28,16921391.280584775
1981-03-31,16947770.00000002
1981-04-30,16965220.955723923
1981-05-31,16983272.487706073
1981-06-30,17000760.00000002
1981-07-31,17018287.54099141
1981-08-31,17035833.152627535
1981-09-30,17052830.000000022
1981-10-31,17066869.711381275
1981-11-30,17080467.53444792
1981-12-31,17094530.0
1982-01-31,17104864.275983986
1982-02-28,17114203.830457438
1982-03-31,17124549.999999985
1982-04-30,17138503.273151103
1982-05-31,17152933.59957731
1982-06-30,17166909.999999974
1982-07-31,17160802.21003944
1982-08-31,17154696.593160618
1982-09-30,17148789.999999993
1982-10-31,17144951.219822146
1982-11-30,17141237.089448478
1982-12-31,17137400.000000026
1983-01-31,17128005.54454775
1983-02-28,17119524.656467672
1983-03-31,17110139.99999999
1983-04-30,17098728.96803361
1983-05-31,17086945.563217454
1983-06-30,17075549.999999993
1983-07-31,17098385.80993759
1983-08-31,17121252.15910909
1983-09-30,17143409.999999985
1983-10-31,17153788.81668425
1983-11-30,17163838.81547693
1983-12-31,17174229.99999997
1984-01-31,17190100.747871365
1984-02-29,17204960.853671707
1984-03-31,17220860.000000004
1984-04-30,17245713.624494895
1984-05-31,17271433.38658587
1984-06-30,17296359.99999999
1984-07-31,17309292.983316977
1984-08-31,17322235.636995673
1984-09-30,17334769.999999985
1984-10-31,17366484.509895444
1984-11-30,17397231.215335842
1984-12-31,17429059.999999978
1985-01-31,17440684.50945876
1985-02-28,17451190.730199452
1985-03-31,17462830.00000002
1985-04-30,17485070.420956146
1985-05-31,17508081.946784608
1985-06-30,17530379.99999997
1985-07-31,17554194.56941459
1985-08-31,17578041.490307912
1985-09-30,17601149.999999993
1985-10-31,17621815.249964345
1985-11-30,17641836.980053943
1985-12-31,17662549.99999998
1986-01-31,17707244.18295118
1986-02-28,17747710.323189504
1986-03-31,17792620.000000015
1986-04-30,17821353.01970082
1986-05-31,17851092.553899746
