date,value
2005-03-31,665753.0
2005-04-30,672831.021978022
2005-05-31,680144.978021978
2005-06-30,687223.0
2005-07-31,680643.9239130435
2005-08-31,674064.8478260869
2005-09-30,667698.0
2005-10-31,645467.9673913043
2005-11-30,623955.0326086957
2005-12-31,601725.0
2006-01-31,640820.1333333333
2006-02-28,676131.8666666667
2006-03-31,715227.0
2006-04-30,690177.6593406594
2006-05-31,664293.3406593406
2006-06-30,639244.0
2006-07-31,645486.7934782609
2006-08-31,651729.5869565217
2006-09-30,657771.0
2006-10-31,633445.4347826086
2006-11-30,609904.5652173914
2006-12-31,585579.0
2007-01-31,628035.2222222222
2007-02-28,666382.7777777778
2007-03-31,708839.0
2007-04-30,692473.5054945055
2007-05-31,675562.4945054945
2007-06-30,659197.0
2007-07-31,657716.0760869565
2007-08-31,656235.1521739131
2007-09-30,654802.0
2007-10-31,629069.304347826
2007-11-30,604166.695652174
2007-12-31,578434.0
2008-01-31,605106.2637362637
2008-02-29,630057.7362637363
2008-03-31,656730.0
2008-04-30,669149.010989011
2008-05-31,681981.989010989
2008-06-30,694401.0
2008-07-31,697852.1086956522
2008-08-31,701303.2173913043
2008-09-30,704643.0
2008-10-31,662759.6413043478
2008-11-30,622227.3586956522
2008-12-31,580344.0
2009-01-31,611507.9555555555
2009-02-28,639656.0444444445
2009-03-31,670820.0
2009-04-30,649932.4175824176
2009-05-31,628348.5824175824
2009-06-30,607461.0
2009-07-31,619751.8260869565
2009-08-31,632042.6521739131
2009-09-30,643937.0
2009-10-31,615276.4891304348
2009-11-30,587540.5108695652
2009-12-31,558880.0
2010-01-31,606265.5666666667
2010-02-28,649065.4333333333
2010-03-31,696451.0
2010-04-30,680269.4615384615
2010-05-31,663548.5384615385
2010-06-30,647367.0
2010-07-31,654094.3369565217
2010-08-31,660821.6739130435
2010-09-30,667332.0
2010-10-31,644746.8152173914
2010-11-30,622890.1847826086
2010-12-31,600305.0
2011-01-31,643185.5777777778
2011-02-28,681916.4222222222
2011-03-31,724797.0
2011-04-30,690550.1868131869
2011-05-31,655161.8131868131
2011-06-30,620915.0
2011-07-31,645110.5
2011-08-31,669306.0
2011-09-30,692721.0
2011-10-31,664723.6195652174
2011-11-30,637629.3804347826
2011-12-31,609632.0
2012-01-31,649654.021978022
2012-02-29,687093.978021978
2012-03-31,727116.0
2012-04-30,706281.1648351648
2012-05-31,684751.8351648352
2012-06-30,663917.0
2012-07-31,661657.7065217391
2012-08-31,659398.4130434783
2012-09-30,657212.0
2012-10-31,625745.9891304348
2012-11-30,595295.0108695652
2012-12-31,563829.0
2013-01-31,602006.5333333333
2013-02-28,636489.4666666667
2013-03-31,674667.0
2013-04-30,673605.4615384615
2013-05-31,672508.5384615385
2013-06-30,671447.0
2013-07-31,675691.6413043478
2013-08-31,679936.2826086957
2013-09-30,684044.0
2013-10-31,649024.7826086957
2013-11-30,615135.2173913043
2013-12-31,580116.0
2014-01-31,623884.9
2014-02-28,663418.1
2014-03-31,707187.0
2014-04-30,687003.9230769231
2014-05-31,666148.0769230769
2014-06-30,645965.0
2014-07-31,666512.2717391305
2014-08-31,687059.5434782609
2014-09-30,706944.0
2014-10-31,671611.75
2014-11-30,637419.25
2014-12-31,602087.0
2015-01-31,649738.8222222222
2015-02-28,692779.1777777778
2015-03-31,740431.0
2015-04-30,727252.7582417582
2015-05-31,713635.2417582418
2015-06-30,700457.0
2015-07-31,705564.5869565217
2015-08-31,710672.1739130435
2015-09-30,715615.0
2015-10-31,681567.9021739131
2015-11-30,648619.0978260869
2015-12-31,614572.0
2016-01-31,649567.2527472527
2016-02-29,682304.7472527473
2016-03-31,717300.0
2016-04-30,721953.2967032967
2016-05-31,726761.7032967033
2016-06-30,731415.0
2016-07-31,726257.5434782609
2016-08-31,721100.0869565217
2016-09-30,716109.0
2016-10-31,684639.2826086957
2016-11-30,654184.7173913043
2016-12-31,622715.0
2017-01-31,677005.3
2017-02-28,726041.7
2017-03-31,780332.0
2017-04-30,748684.967032967
2017-05-31,715983.032967033
2017-06-30,684336.0
2017-07-31,691929.6521739131
2017-08-31,699523.304347826
2017-09-30,706872.0
2017-10-31,674574.7173913043
2017-11-30,643319.2826086957
2017-12-31,611022.0
2018-01-31,654048.2777777778
2018-02-28,692910.7222222222
2018-03-31,735937.0
2018-04-30,732133.2637362637
2018-05-31,728202.7362637363
2018-06-30,724399.0
2018-07-31,715834.9130434783
2018-08-31,707270.8260869565
2018-09-30,698983.0
2018-10-31,665940.7065217391
2018-11-30,633964.2934782609
2018-12-31,600922.0
2019-01-31,649531.7222222222
2019-02-28,693437.2777777778
2019-03-31,742047.0
2019-04-30,710434.5824175824
2019-05-31,677768.4175824176
2019-06-30,646156.0
2019-07-31,667997.1847826086
2019-08-31,689838.3695652174
2019-09-30,710975.0
2019-10-31,672052.4782608695
2019-11-30,634385.5217391305
2019-12-31,595463.0
2020-01-31,636950.8791208791
2020-02-29,675762.1208791209
2020-03-31,717250.0
2020-04-30,686148.901098901
2020-05-31,654011.098901099
2020-06-30,622910.0
2020-07-31,643854.8804347826
2020-08-31,664799.7608695652
2020-09-30,685069.0
2020-10-31,652947.945652174
2020-11-30,621863.054347826
2020-12-31,589742.0
2021-01-31,647259.7444444444
2021-02-28,699211.2555555556
2021-03-31,756729.0
2021-04-30,734094.8241758242
2021-05-31,710706.1758241758
2021-06-30,688072.0
2021-07-31,687131.554347826
2021-08-31,686191.1086956522
2021-09-30,685281.0
2021-10-31,657822.4130434783
2021-11-30,631249.5869565217
2021-12-31,603791.0
2022-01-31,652271.5555555555
2022-02-28,696060.4444444444
2022-03-31,744541.0
2022-04-30,717265.065934066
2022-05-31,689079.934065934
2022-06-30,661804.0
2022-07-31,675408.6195652174
2022-08-31,689013.2391304348
2022-09-30,702179.0
2022-10-31,666778.0108695652
2022-11-30,632518.9891304348
2022-12-31,597118.0
2023-01-31,656210.8888888889
2023-02-28,709585.1111111111
2023-03-31,768678.0
2023-04-30,742949.5384615385
2023-05-31,716363.4615384615
2023-06-30,690635.0
2023-07-31,687903.9673913043
2023-08-31,685172.9347826086
2023-09-30,682530.0
2023-10-31,645900.804347826
2023-11-30,610453.195652174
2023-12-31,573824.0
2024-01-31,611939.010989011
2024-02-29,647594.989010989
2024-03-31,685710.0
2024-04-30,678926.043956044
2024-05-31,671915.956043956
2024-06-30,665132.0
2024-07-31,668190.8913043478
2024-08-31,671249.7826086957
2024-09-30,674210.0
2024-10-31,636645.75
2024-11-30,600293.25
2024-12-31,562729.0
2025-01-31,608704.0666666667
2025-02-28,650229.9333333333
2025-03-31,696205.0
2025-04-30,672389.6153846154
2025-05-31,647780.3846153846
2025-06-30,623965.0
2025-07-31,643745.3586956522
2025-08-31,663525.7173913043
2025-09-30,682668.0
2025-10-31,644498.9130434783
2025-11-30,607561.0869565217
2025-12-31,569392.0
2026-01-31,604195.7
2026-02-28,635631.3
2026-03-31,670435.0
