date,value
1994-01-31,355.1536
1994-02-28,339.5036
1994-03-31,350.3576
1994-04-30,359.3185
1994-05-31,344.552
1994-06-30,361.3378
1994-07-31,352.2507
1994-08-31,363.4834
1994-09-30,354.6487
1994-10-31,382.4148
1994-11-30,356.1632
1994-12-31,352.377
1995-01-31,351.6197
1995-02-28,349.0955
1995-03-31,332.6883
1995-04-30,334.8338
1995-05-31,317.7955
1995-06-30,299.7476
1995-07-31,322.2129
1995-08-31,308.7085
1995-09-30,300.1262
1995-10-31,288.0101
1995-11-30,302.9028
1995-12-31,338.9987
1996-01-31,300.5049
1996-02-29,293.6895
1996-03-31,306.1843
1996-04-30,302.2718
1996-05-31,278.0396
1996-06-30,306.5629
1996-07-31,288.3887
1996-08-31,283.719
1996-09-30,277.0299
1996-10-31,269.0787
1996-11-30,277.7871
1996-12-31,273.8746
1997-01-31,273.1174
1997-02-28,310.0968
1997-03-31,274.2533
1997-04-30,260.1178
1997-05-31,274.127
1997-06-30,260.6226
1997-07-31,262.2634
1997-08-31,251.2831
1997-09-30,266.6807
1997-10-31,262.1371
1997-11-30,257.4674
1997-12-31,236.3904
1998-01-31,225.1578
1998-02-28,218.09
1998-03-31,229.0703
1998-04-30,245.8561
1998-05-31,266.4283
1998-06-30,255.0694
1998-07-31,225.4102
1998-08-31,246.8658
1998-09-30,239.7981
1998-10-31,234.7497
1998-11-30,223.1384
1998-12-31,246.361
1999-01-31,226.9247
1999-02-28,203.7021
1999-03-31,222.1287
1999-04-30,222.3811
1999-05-31,226.0412
1999-06-30,226.7985
1999-07-31,227.1771
1999-08-31,215.061
1999-09-30,218.3425
1999-10-31,223.6432
1999-11-30,211.9058
1999-12-31,203.8284
2000-01-31,136.0538
2000-02-29,118.1321
2000-03-31,131.6365
2000-04-30,122.4232
2000-05-31,125.1998
2000-06-30,124.5688
2000-07-31,124.9474
2000-08-31,124.695
2000-09-30,123.5591
2000-10-31,111.5692
2000-11-30,107.4043
2000-12-31,100.9676
2001-01-31,88.22044
2001-02-28,103.9966
2001-03-31,100.7152
2001-04-30,107.1519
2001-05-31,113.841
2001-06-30,112.5789
2001-07-31,112.4527
2001-08-31,106.016
2001-09-30,103.1132
2001-10-31,103.2394
2001-11-30,90.74464
2001-12-31,84.30795
2002-01-31,92.63778
2002-02-28,93.01641
2002-03-31,89.35633
2002-04-30,100.3366
2002-05-31,98.31721
2002-06-30,96.9289
2002-07-31,98.56963
2002-08-31,94.2785
2002-09-30,93.77367
2002-10-31,86.95835
2002-11-30,91.88052
2002-12-31,126.5881
2003-01-31,141.3546
2003-02-28,124.4426
2003-03-31,112.074
2003-04-30,103.2394
2003-05-31,97.43374
2003-06-30,95.66681
2003-07-31,87.96803
2003-08-31,94.40471
2003-09-30,90.49222
2003-10-31,94.40471
2003-11-30,94.78334
2003-12-31,120.7825
2004-01-31,131.1317
2004-02-29,125.4522
2004-03-31,113.2099
2004-04-30,97.55995
2004-05-31,88.72528
2004-06-30,81.65755
2004-07-31,76.35675
2004-08-31,81.15271
2004-09-30,77.61885
2004-10-31,80.26925
2004-11-30,82.54102
2004-12-31,75.85191
2005-01-31,90.87084
2005-02-28,85.31763
2005-03-31,79.25957
2005-04-30,75.22086
2005-05-31,83.42448
2005-06-30,78.88094
2005-07-31,79.89062
2005-08-31,80.52167
2005-09-30,84.30795
2005-10-31,80.90029
2005-11-30,86.70593
2005-12-31,92.13294
2006-01-31,117.8797
2006-02-28,106.7732
2006-03-31,100.4628
2006-04-30,96.42406
2006-05-31,88.47286
2006-06-30,81.65755
2006-07-31,84.939
2006-08-31,79.51199
2006-09-30,76.35675
2006-10-31,72.44426
2006-11-30,66.51241
2006-12-31,57.80396
2007-01-31,62.97855
2007-02-28,60.58056
2007-03-31,61.33782
2007-04-30,63.35717
2007-05-31,62.97855
2007-06-30,60.32814
2007-07-31,62.09508
2007-08-31,59.57089
2007-09-30,65.25031
2007-10-31,60.45435
2007-11-30,63.23096
2007-12-31,65.12411
2008-01-31,60.07573
2008-02-29,64.99789
2008-03-31,61.46403
2008-04-30,60.70677
2008-05-31,56.41565
2008-06-30,61.0854
2008-07-31,57.55154
2008-08-31,54.77493
2008-09-30,55.15355
2008-10-31,57.17291
2008-11-30,57.67775
2008-12-31,53.51283
2009-01-31,56.16323
2009-02-28,54.01767
2009-03-31,57.42533
2009-04-30,57.67775
2009-05-31,61.33782
2009-06-30,55.53218
2009-07-31,57.55154
2009-08-31,63.7358
2009-09-30,61.33782
2009-10-31,65.12411
2009-11-30,64.61927
2009-12-31,66.76483
2010-01-31,62.3475
2010-02-28,61.96887
2010-03-31,57.80396
2010-04-30,51.87211
2010-05-31,60.70677
2010-06-30,63.35717
2010-07-31,68.02692
2010-08-31,71.05595
2010-09-30,67.01725
2010-10-31,70.17249
2010-11-30,75.09466
2010-12-31,58.56121
2011-01-31,71.687
2011-02-28,75.22086
2011-03-31,82.41481
2011-04-30,72.44426
2011-05-31,78.50231
2011-06-30,76.73538
2011-07-31,71.18216
2011-08-31,78.88094
2011-09-30,77.74506
2011-10-31,78.12369
2011-11-30,79.13336
2011-12-31,88.59908
2012-01-31,62.22129
2012-02-29,72.9491
2012-03-31,79.76441
2012-04-30,73.32772
2012-05-31,87.84182
2012-06-30,91.88052
2012-07-31,83.42448
2012-08-31,83.6769
2012-09-30,85.19142
2012-10-31,82.2886
2012-11-30,81.65755
2012-12-31,81.90997
2013-01-31,79.89062
2013-02-28,86.70593
2013-03-31,86.83214
2013-04-30,95.66681
2013-05-31,90.61842
2013-06-30,88.72528
2013-07-31,98.06479
2013-08-31,94.65713
2013-09-30,97.43374
2013-10-31,90.11359
2013-11-30,90.11359
2013-12-31,87.5894
2014-01-31,98.19099
2014-02-28,90.74464
2014-03-31,92.8902
2014-04-30,93.26883
2014-05-31,94.90955
2014-06-30,92.00673
2014-07-31,96.29785
2014-08-31,100.2104
2014-09-30,90.2398
2014-10-31,96.55027
2014-11-30,91.62811
2014-12-31,88.59908
2015-01-31,88.72528
2015-02-28,96.29785
2015-03-31,98.19099
2015-04-30,94.40471
2015-05-31,98.69583
2015-06-30,97.81237
2015-07-31,102.3559
2015-08-31,102.1035
2015-09-30,102.7345
2015-10-31,102.8607
2015-11-30,107.4043
2015-12-31,108.414
2016-01-31,115.6079
2016-02-29,116.239
2016-03-31,118.1321
2016-04-30,115.4817
2016-05-31,110.0547
2016-06-30,119.899
2016-07-31,106.5208
2016-08-31,109.4236
2016-09-30,114.9769
2016-10-31,116.4914
2016-11-30,127.2192
2016-12-31,115.4817
2017-01-31,110.812
2017-02-28,108.7926
2017-03-31,111.5692
2017-04-30,112.8313
2017-05-31,114.7244
2017-06-30,119.899
2017-07-31,110.9382
2017-08-31,116.87
2017-09-30,109.8023
2017-10-31,117.6273
2017-11-30,113.3361
2017-12-31,117.8797
2018-01-31,111.8216
2018-02-28,112.2002
2018-03-31,116.87
2018-04-30,112.7051
2018-05-31,129.8696
2018-06-30,110.812
2018-07-31,126.4619
2018-08-31,118.6369
2018-09-30,121.4135
2018-10-31,102.4821
2018-11-30,108.2878
2018-12-31,122.6756
2019-01-31,117.7535
2019-02-28,102.2297
2019-03-31,112.074
2019-04-30,119.7728
2019-05-31,113.3361
2019-06-30,114.8507
2019-07-31,116.7438
2019-08-31,123.5591
2019-09-30,118.8894
