date,value
1979-01-31,26567
1979-02-28,28525
1979-03-31,33448
1979-04-30,33523
1979-05-31,34901
1979-06-30,35828
1979-07-31,35324
1979-08-31,32947
1979-09-30,31995
1979-10-31,32401
1979-11-30,29404
1979-12-31,28706
1980-01-31,25769
1980-02-29,29964
1980-03-31,33671
1980-04-30,32908
1980-05-31,35076
1980-06-30,33435
1980-07-31,35553
1980-08-31,31438
1980-09-30,32599
1980-10-31,35694
1980-11-30,27042
1980-12-31,27471
1981-01-31,24566
1981-02-28,24113
1981-03-31,33345
1981-04-30,31892
1981-05-31,35977
1981-06-30,33248
1981-07-31,34640
1981-08-31,31473
1981-09-30,28496
1981-10-31,29810
1981-11-30,23857
1981-12-31,24615
1982-01-31,24286
1982-02-28,23078
1982-03-31,29677
1982-04-30,29121
1982-05-31,28900
1982-06-30,30258
1982-07-31,30498
1982-08-31,28991
1982-09-30,28753
1982-10-31,29535
1982-11-30,26446
1982-12-31,25296
1983-01-31,26181
1983-02-28,26330
1983-03-31,33766
1983-04-30,38064
1983-05-31,39090
1983-06-30,41390
1983-07-31,37622
1983-08-31,38089
1983-09-30,34584
1983-10-31,36810
1983-11-30,34558
1983-12-31,33085
1984-01-31,29121
1984-02-29,26680
1984-03-31,35613
1984-04-30,29423
1984-05-31,33235
1984-06-30,28882
1984-07-31,33296
1984-08-31,28336
1984-09-30,26182
1984-10-31,25914
1984-11-30,21067
1984-12-31,18496
1985-01-31,18418
1985-02-28,19944
1985-03-31,21428
1985-04-30,25215
1985-05-31,23222
1985-06-30,21904
1985-07-31,24866
1985-08-31,21003
1985-09-30,21993
1985-10-31,21162
1985-11-30,16761
1985-12-31,16435
1986-01-31,14460
1986-02-28,16678
1986-03-31,18090
1986-04-30,22515
1986-05-31,20343
1986-06-30,22195
1986-07-31,21904
1986-08-31,20324
1986-09-30,18163
1986-10-31,17835
1986-11-30,15095
1986-12-31,11569
1987-01-31,10580
1987-02-28,12280
1987-03-31,16407
1987-04-30,16726
1987-05-31,17804
1987-06-30,17997
1987-07-31,19454
1987-08-31,18244
1987-09-30,17015
1987-10-31,16877
1987-11-30,14542
1987-12-31,12832
1988-01-31,12427
1988-02-29,13828
1988-03-31,16738
1988-04-30,18876
1988-05-31,19563
1988-06-30,20577
1988-07-31,20276
1988-08-31,19561
1988-09-30,19343
1988-10-31,19631
1988-11-30,16934
1988-12-31,16459
