date,value
1961-01-31,4.705808
1961-02-28,2.410264
1961-03-31,2.866468
1961-04-30,-2.717366
1961-05-31,-13.05079
1961-06-30,-5.243171
1961-07-31,-6.701975
1961-08-31,-2.522748
1961-09-30,-6.928346
1961-10-31,-9.607966
1961-11-30,-3.865446
1961-12-31,-4.056376
1962-01-31,-3.686711
1962-02-28,-8.420897
1962-03-31,-6.782716
1962-04-30,-1.905552
1962-05-31,0.582448
1962-06-30,-0.1897659
1962-07-31,-3.857183
1962-08-31,-7.463315
1962-09-30,-4.359953
1962-10-31,-2.295487
1962-11-30,-6.84978
1962-12-31,-5.681303
1963-01-31,-12.35585
1963-02-28,-26.75829
1963-03-31,-2.727993
1963-04-30,-2.905046
1963-05-31,-8.916438
1963-06-30,-3.848824
1963-07-31,0.4372537
1963-08-31,1.814034
1963-09-30,2.772066
1963-10-31,2.466619
1963-11-30,5.72378
1963-12-31,0.8819733
1964-01-31,9.679482
1964-02-29,12.27965
1964-03-31,14.53219
1964-04-30,8.816816
1964-05-31,9.169911
1964-06-30,22.89647
1964-07-31,11.00825
1964-08-31,3.747867
1964-09-30,1.700493
1964-10-31,7.464075
1964-11-30,10.69308
1964-12-31,7.177928
1965-01-31,12.00172
1965-02-28,9.26117
1965-03-31,1.867012
1965-04-30,-0.6138244
1965-05-31,9.649632
1965-06-30,-2.515049
1965-07-31,-1.99552
1965-08-31,2.026882
1965-09-30,1.102461
1965-10-31,2.284651
1965-11-30,-3.80085
1965-12-31,-6.698416
1966-01-31,-7.352219
1966-02-28,-2.979978
1966-03-31,-6.238857
1966-04-30,-8.804482
1966-05-31,-7.103286
1966-06-30,-16.90898
1966-07-31,-16.47494
1966-08-31,-20.72821
1966-09-30,-24.75727
1966-10-31,-30.41896
1966-11-30,-33.43585
1966-12-31,-26.55019
1967-01-31,-34.63215
1967-02-28,-29.14541
1967-03-31,-25.57867
1967-04-30,-17.34402
1967-05-31,-25.357
1967-06-30,-11.55095
1967-07-31,-13.08075
1967-08-31,-3.178697
1967-09-30,6.568511
1967-10-31,13.05807
1967-11-30,10.96472
1967-12-31,10.95326
1968-01-31,-6.367243
1968-02-29,0.2440796
1968-03-31,9.359884
1968-04-30,11.03667
1968-05-31,13.3583
1968-06-30,5.721319
1968-07-31,21.80253
1968-08-31,20.14835
1968-09-30,19.11661
1968-10-31,17.61092
1968-11-30,18.69101
1968-12-31,15.84284
1969-01-31,22.47571
1969-02-28,16.59356
1969-03-31,17.08258
1969-04-30,19.49348
1969-05-31,15.42367
1969-06-30,22.36798
1969-07-31,16.40084
1969-08-31,11.52025
1969-09-30,10.10275
1969-10-31,6.934368
1969-11-30,11.83803
