date,value
1959-01-31,9.71
1959-02-28,5.83
1959-03-31,2.82
1959-04-30,-0.63
1959-05-31,-5.75
1959-06-30,-8.43
1959-07-31,-11.15
1959-08-31,-14.27
1959-09-30,-16.83
1959-10-31,-18.01
1959-11-30,-22.38
1959-12-31,-17.88
1960-01-31,-19.3
1960-02-29,-19.25
1960-03-31,-20.13
1960-04-30,-20.64
1960-05-31,-20.78
1960-06-30,-22.31
1960-07-31,-17.06
1960-08-31,-14.22
1960-09-30,-15.71
1960-10-31,-14.97
1960-11-30,-15.49
1960-12-31,-15.16
1961-01-31,-13.16
1961-02-28,-10.45
1961-03-31,-5.11
1961-04-30,-6.56
1961-05-31,-2.87
1961-06-30,-2.11
1961-07-31,-1.97
1961-08-31,-0.12
1961-09-30,1.49
1961-10-31,1.97
1961-11-30,2.33
1961-12-31,2.6
1962-01-31,1.96
1962-02-28,-0.72
1962-03-31,-0.1
1962-04-30,1.63
1962-05-31,1.06
1962-06-30,4.16
1962-07-31,2.1
1962-08-31,4.05
1962-09-30,4.79
1962-10-31,3.8
1962-11-30,2.11
1962-12-31,7.26
1963-01-31,14.05
1963-02-28,11.13
1963-03-31,9.87
1963-04-30,9.77
1963-05-31,11.05
1963-06-30,6.44
1963-07-31,7.08
1963-08-31,6.31
1963-09-30,4.95
1963-10-31,4.63
1963-11-30,4.88
1963-12-31,2.07
1964-01-31,-1.98
1964-02-29,-2.05
1964-03-31,-4.19
1964-04-30,-7.11
1964-05-31,-11.94
1964-06-30,-10.25
1964-07-31,-10.93
1964-08-31,-12.42
1964-09-30,-14.1
1964-10-31,-12.53
1964-11-30,-13.3
1964-12-31,-12.0
1965-01-31,-9.98
1965-02-28,-9.21
1965-03-31,-7.34
1965-04-30,-5.04
1965-05-31,-2.95
1965-06-30,1.07
1965-07-31,3.17
1965-08-31,3.89
1965-09-30,3.6
1965-10-31,6.34
1965-11-30,6.71
1965-12-31,11.07
1966-01-31,8.85
1966-02-28,9.7
1966-03-31,12.62
1966-04-30,15.08
1966-05-31,18.08
1966-06-30,19.35
1966-07-31,23.43
1966-08-31,24.93
1966-09-30,30.16
1966-10-31,32.11
1966-11-30,36.81
1966-12-31,37.23
1967-01-31,36.65
1967-02-28,36.79
1967-03-31,35.64
1967-04-30,34.22
1967-05-31,32.09
1967-06-30,30.61
1967-07-31,26.9
1967-08-31,24.74
1967-09-30,22.53
1967-10-31,16.69
1967-11-30,6.74
1967-12-31,8.43
1968-01-31,7.42
1968-02-29,7.07
1968-03-31,5.0
1968-04-30,2.57
1968-05-31,-0.8
1968-06-30,-5.01
1968-07-31,-8.56
1968-08-31,-11.94
1968-09-30,-16.14
1968-10-31,-15.12
1968-11-30,-14.53
1968-12-31,-12.31
1969-01-31,-12.59
1969-02-28,-15.45
1969-03-31,-17.43
1969-04-30,-17.93
1969-05-31,-18.63
1969-06-30,-17.68
1969-07-31,-16.03
1969-08-31,-16.82
1969-09-30,-19.89
1969-10-31,-18.25
1969-11-30,-18.09
1969-12-31,-15.15
1970-01-31,-12.51
1970-02-28,-8.67
1970-03-31,-4.65
1970-04-30,-3.34
1970-05-31,-0.09
1970-06-30,1.58
1970-07-31,-0.81
1970-08-31,4.16
1970-09-30,6.42
1970-10-31,8.4
1970-11-30,9.21
1970-12-31,7.04
1971-01-31,11.77
1971-02-28,8.16
1971-03-31,9.1
1971-04-30,11.22
1971-05-31,14.56
1971-06-30,13.76
1971-07-31,16.3
1971-08-31,20.51
1971-09-30,24.72
1971-10-31,21.18
1971-11-30,20.41
1971-12-31,21.29
1972-01-31,15.23
1972-02-29,18.76
1972-03-31,16.64
1972-04-30,17.56
1972-05-31,17.31
1972-06-30,16.89
1972-07-31,13.16
1972-08-31,12.04
1972-09-30,9.21
1972-10-31,5.33
1972-11-30,3.93
1972-12-31,0.67
1973-01-31,-1.18
1973-02-28,-3.12
1973-03-31,-2.16
1973-04-30,-7.49
1973-05-31,-5.04
1973-06-30,-3.15
1973-07-31,-1.2
1973-08-31,-0.1
1973-09-30,2.99
1973-10-31,6.02
1973-11-30,7.78
1973-12-31,9.08
1974-01-31,11.36
1974-02-28,10.68
1974-03-31,11.67
1974-04-30,14.24
1974-05-31,17.47
1974-06-30,19.8
1974-07-31,22.25
1974-08-31,24.82
1974-09-30,33.09
1974-10-31,34.15
1974-11-30,35.97
1974-12-31,37.54
1975-01-31,37.81
1975-02-28,41.3
1975-03-31,41.39
1975-04-30,39.87
1975-05-31,37.64
1975-06-30,35.69
1975-07-31,32.78
1975-08-31,29.8
1975-09-30,25.18
1975-10-31,21.62
1975-11-30,18.33
1975-12-31,15.92
1976-01-31,14.1
1976-02-29,14.02
1976-03-31,15.09
1976-04-30,11.67
1976-05-31,8.59
1976-06-30,8.66
1976-07-31,10.39
1976-08-31,8.54
1976-09-30,8.16
1976-10-31,10.22
1976-11-30,8.8
1976-12-31,12.06
1977-01-31,14.31
1977-02-28,14.97
1977-03-31,16.05
1977-04-30,16.66
1977-05-31,18.36
1977-06-30,18.56
1977-07-31,18.02
1977-08-31,19.16
1977-09-30,18.99
1977-10-31,15.76
1977-11-30,19.23
1977-12-31,16.92
1978-01-31,16.38
1978-02-28,17.15
1978-03-31,17.05
1978-04-30,17.91
1978-05-31,16.12
1978-06-30,14.37
1978-07-31,12.75
1978-08-31,7.73
1978-09-30,10.7
1978-10-31,7.11
1978-11-30,6.6
1978-12-31,8.68
1979-01-31,6.5
1979-02-28,3.51
1979-03-31,2.25
1979-04-30,-0.85
1979-05-31,-2.17
1979-06-30,-1.74
1979-07-31,-0.54
1979-08-31,0.43
1979-09-30,1.33
1979-10-31,2.33
1979-11-30,5.95
1979-12-31,4.49
1980-01-31,4.62
1980-02-29,3.77
1980-03-31,7.37
1980-04-30,9.36
1980-05-31,13.7
1980-06-30,15.1
1980-07-31,20.18
1980-08-31,18.3
1980-09-30,17.95
1980-10-31,20.44
1980-11-30,21.18
1980-12-31,24.2
1981-01-31,23.4
1981-02-28,24.1
1981-03-31,24.6
1981-04-30,24.0
1981-05-31,25.4
1981-06-30,26.4
1981-07-31,24.7
1981-08-31,25.7
1981-09-30,23.9
1981-10-31,24.5
1981-11-30,22.3
1981-12-31,24.3
1982-01-31,21.9
1982-02-28,23.1
1982-03-31,23.6
1982-04-30,24.6
1982-05-31,26.6
1982-06-30,26.4
1982-07-31,29.3
1982-08-31,29.5
1982-09-30,31.3
1982-10-31,28.1
1982-11-30,25.8
1982-12-31,22.0
1983-01-31,23.3
1983-02-28,20.4
1983-03-31,13.6
1983-04-30,16.2
1983-05-31,13.6
1983-06-30,13.4
1983-07-31,11.3
1983-08-31,8.5
1983-09-30,10.3
1983-10-31,9.9
1983-11-30,10.2
1983-12-31,8.7
1984-01-31,8.3
1984-02-29,9.3
1984-03-31,9.6
1984-04-30,7.9
1984-05-31,6.5
1984-06-30,5.3
1984-07-31,8.3
1984-08-31,8.4
1984-09-30,7.3
1984-10-31,7.1
1984-11-30,8.9
1984-12-31,5.2
1985-01-31,5.8
1985-02-28,6.8
1985-03-31,6.8
1985-04-30,6.8
1985-05-31,4.8
1985-06-30,7.8
1985-07-31,6.8
1985-08-31,4.8
1985-09-30,3.8
1985-10-31,4.8
1985-11-30,4.8
1985-12-31,6.8
1986-01-31,6.8
1986-02-28,5.8
1986-03-31,6.8
1986-04-30,4.8
1986-05-31,7.8
1986-06-30,4.8
1986-07-31,4.8
1986-08-31,8.8
1986-09-30,9.8
1986-10-31,10.8
1986-11-30,8.8
1986-12-31,8.8
1987-01-31,12.8
1987-02-28,11.8
1987-03-31,10.8
1987-04-30,8.8
1987-05-31,8.8
1987-06-30,9.8
1987-07-31,8.8
1987-08-31,7.8
1987-09-30,7.8
1987-10-31,7.8
1987-11-30,6.8
1987-12-31,7.8
1988-01-31,8.8
1988-02-29,7.8
1988-03-31,3.8
1988-04-30,3.8
1988-05-31,3.8
1988-06-30,-1.2
1988-07-31,-0.2
1988-08-31,-0.2
1988-09-30,0.8
1988-10-31,1.8
1988-11-30,-0.2
1988-12-31,0.8
1989-01-31,0.8
1989-02-28,1.8
1989-03-31,0.8
1989-04-30,0.8
1989-05-31,-1.2
1989-06-30,-2.2
1989-07-31,-2.2
1989-08-31,-1.2
1989-09-30,1.8
1989-10-31,0.8
1989-11-30,-1.2
1989-12-31,-0.2
1990-01-31,-0.2
1990-02-28,0.8
1990-03-31,-5.2
1990-04-30,-4.2
1990-05-31,-5.2
1990-06-30,-4.2
1990-07-31,-6.2
1990-08-31,-9.2
1990-09-30,-9.2
1990-10-31,-7.2
1990-11-30,-8.2
1990-12-31,-6.2
1991-01-31,-1.1
1991-02-28,3.1
1991-03-31,4.1
1991-04-30,6.1
1991-05-31,8.2
1991-06-30,6.8
1991-07-31,9.1
1991-08-31,10.6
1991-09-30,10.5
1991-10-31,11.1
1991-11-30,13.3
1991-12-31,14.6
1992-01-31,14.2
1992-02-29,15.6
1992-03-31,15.1
1992-04-30,14.9
1992-05-31,16.4
1992-06-30,17.1
1992-07-31,18.1
1992-08-31,20.4
1992-09-30,23.8
1992-10-31,26.0
1992-11-30,29.8
1992-12-31,27.4
1993-01-31,29.1
1993-02-28,28.4
1993-03-31,28.0
1993-04-30,28.3
1993-05-31,29.1
1993-06-30,28.9
1993-07-31,30.5
1993-08-31,28.1
1993-09-30,27.1
1993-10-31,26.0
1993-11-30,24.1
1993-12-31,23.1
1994-01-31,19.9
1994-02-28,18.1
1994-03-31,16.2
1994-04-30,13.2
1994-05-31,14.2
1994-06-30,12.2
1994-07-31,9.7
1994-08-31,10.0
1994-09-30,7.6
1994-10-31,5.8
1994-11-30,5.4
1994-12-31,4.7
1995-01-31,4.2
1995-02-28,4.1
1995-03-31,2.5
1995-04-30,6.1
1995-05-31,6.6
1995-06-30,7.0
1995-07-31,8.1
1995-08-31,9.8
1995-09-30,11.8
1995-10-31,11.9
1995-11-30,10.5
1995-12-31,13.4
1996-01-31,14.5
1996-02-29,16.8
1996-03-31,19.5
1996-04-30,18.6
1996-05-31,18.1
1996-06-30,18.5
1996-07-31,18.3
1996-08-31,18.2
1996-09-30,17.0
1996-10-31,14.3
1996-11-30,15.8
1996-12-31,15.1
1997-01-31,11.7
1997-02-28,10.6
1997-03-31,9.3
1997-04-30,8.0
1997-05-31,9.0
1997-06-30,7.2
1997-07-31,7.1
1997-08-31,6.6
1997-09-30,4.9
1997-10-31,4.4
1997-11-30,4.4
1997-12-31,3.4
1998-01-31,3.3
1998-02-28,3.5
1998-03-31,1.6
1998-04-30,4.5
1998-05-31,6.0
1998-06-30,6.0
1998-07-31,7.9
1998-08-31,9.7
1998-09-30,9.1
1998-10-31,10.9
1998-11-30,11.0
1998-12-31,12.9
1999-01-31,12.5
1999-02-28,15.3
1999-03-31,15.7
1999-04-30,15.9
1999-05-31,16.4
1999-06-30,15.3
1999-07-31,15.0
1999-08-31,13.2
1999-09-30,11.7
1999-10-31,10.9
1999-11-30,9.1
1999-12-31,8.1
2000-01-31,8.3
2000-02-29,6.9
2000-03-31,5.4
2000-04-30,3.2
2000-05-31,4.1
2000-06-30,5.3
2000-07-31,5.3
2000-08-31,4.2
2000-09-30,3.4
2000-10-31,3.0
2000-11-30,4.6
2000-12-31,5.4
2001-01-31,5.7
2001-02-28,8.2
2001-03-31,10.8
2001-04-30,11.0
2001-05-31,12.7
2001-06-30,15.2
2001-07-31,14.1
2001-08-31,15.7
2001-09-30,16.4
2001-10-31,18.0
2001-11-30,18.7
2001-12-31,16.5
2002-01-31,17.4
2002-02-28,15.2
2002-03-31,15.9
2002-04-30,15.5
2002-05-31,14.9
2002-06-30,14.9
2002-07-31,13.7
2002-08-31,13.9
2002-09-30,15.5
2002-10-31,14.2
2002-11-30,13.7
2002-12-31,14.0
2003-01-31,15.1
2003-02-28,13.8
2003-03-31,14.2
2003-04-30,15.1
2003-05-31,15.9
2003-06-30,15.1
2003-07-31,15.3
2003-08-31,15.5
2003-09-30,15.5
2003-10-31,14.5
2003-11-30,12.8
2003-12-31,13.3
2004-01-31,11.9
2004-02-29,11.9
2004-03-31,10.4
2004-04-30,8.6
2004-05-31,8.6
2004-06-30,11.1
2004-07-31,8.7
2004-08-31,7.9
2004-09-30,9.0
2004-10-31,9.5
2004-11-30,9.4
2004-12-31,10.0
2005-01-31,8.8
2005-02-28,10.6
2005-03-31,13.3
2005-04-30,12.5
2005-05-31,13.0
2005-06-30,13.7
2005-07-31,11.2
2005-08-31,10.8
2005-09-30,10.0
2005-10-31,9.3
2005-11-30,8.8
2005-12-31,9.3
2006-01-31,7.4
2006-02-28,6.4
2006-03-31,6.8
2006-04-30,3.5
2006-05-31,4.1
2006-06-30,0.8
2006-07-31,1.7
2006-08-31,1.3
2006-09-30,1.0
2006-10-31,-0.9
2006-11-30,-0.3
2006-12-31,-1.6
2007-01-31,-1.2
2007-02-28,-1.0
2007-03-31,0.9
2007-04-30,1.8
2007-05-31,1.3
2007-06-30,0.1
2007-07-31,0.5
2007-08-31,-0.1
2007-09-30,2.2
2007-10-31,3.9
2007-11-30,3.5
2007-12-31,4.5
2008-01-31,4.3
2008-02-29,3.2
2008-03-31,4.3
2008-04-30,3.7
2008-05-31,3.6
2008-06-30,5.7
2008-07-31,6.0
2008-08-31,9.2
2008-09-30,10.7
2008-10-31,14.8
2008-11-30,20.3
2008-12-31,26.6
2009-01-31,23.3
2009-02-28,28.5
2009-03-31,28.9
2009-04-30,30.0
2009-05-31,28.3
2009-06-30,26.5
2009-07-31,23.9
2009-08-31,20.1
2009-09-30,18.5
2009-10-31,15.1
2009-11-30,15.9
2009-12-31,14.4
2010-01-31,12.0
2010-02-28,9.3
2010-03-31,6.3
2010-04-30,3.6
2010-05-31,3.4
2010-06-30,-0.6
2010-07-31,-1.3
2010-08-31,-0.8
2010-09-30,-0.2
2010-10-31,0.2
2010-11-30,-0.5
2010-12-31,-0.9
2011-01-31,-0.8
2011-02-28,-1.0
2011-03-31,-3.3
2011-04-30,-3.1
2011-05-31,-4.3
2011-06-30,-3.1
2011-07-31,-2.2
2011-08-31,0.5
2011-09-30,3.1
2011-10-31,4.5
2011-11-30,5.2
2011-12-31,5.3
2012-01-31,4.4
2012-02-29,5.3
2012-03-31,5.5
2012-04-30,4.6
2012-05-31,5.1
2012-06-30,5.6
2012-07-31,8.2
2012-08-31,8.7
2012-09-30,9.4
2012-10-31,11.4
2012-11-30,8.2
2012-12-31,8.6
2013-01-31,6.5
2013-02-28,6.7
2013-03-31,7.0
2013-04-30,6.5
2013-05-31,6.7
2013-06-30,7.5
2013-07-31,6.9
2013-08-31,4.1
2013-09-30,4.0
2013-10-31,3.1
2013-11-30,3.4
2013-12-31,3.1
2014-01-31,1.6
2014-02-28,1.5
2014-03-31,1.2
2014-04-30,0.8
2014-05-31,1.2
2014-06-30,1.4
2014-07-31,2.6
2014-08-31,3.1
2014-09-30,6.1
2014-10-31,7.1
2014-11-30,6.3
2014-12-31,6.1
2015-01-31,4.8
2015-02-28,5.1
2015-03-31,5.3
2015-04-30,4.4
2015-05-31,5.0
2015-06-30,4.8
2015-07-31,4.4
2015-08-31,5.2
2015-09-30,5.4
2015-10-31,6.3
2015-11-30,5.1
2015-12-31,7.3
2016-01-31,7.7
2016-02-29,5.3
2016-03-31,5.1
2016-04-30,4.1
2016-05-31,3.0
2016-06-30,3.7
2016-07-31,3.4
2016-08-31,5.6
2016-09-30,4.8
2016-10-31,4.9
2016-11-30,4.9
2016-12-31,4.2
2017-01-31,2.8
2017-02-28,2.8
2017-03-31,1.5
2017-04-30,-0.1
2017-05-31,1.3
2017-06-30,-0.1
2017-07-31,-2.0
2017-08-31,-0.3
2017-09-30,-0.3
2017-10-31,0.5
2017-11-30,-1.6
2017-12-31,-1.9
2018-01-31,-1.6
2018-02-28,-2.9
2018-03-31,-1.6
