date,value
1985-01-31,25.0
1985-02-28,21.9
1985-03-31,26.2
1985-04-30,23.7
1985-05-31,22.9
1985-06-30,22.9
1985-07-31,24.2
1985-08-31,25.1
1985-09-30,23.6
1985-10-31,19.2
1985-11-30,16.3
1985-12-31,20.0
1986-01-31,19.0
1986-02-28,23.9
1986-03-31,27.2
1986-04-30,25.7
1986-05-31,25.9
1986-06-30,22.9
1986-07-31,24.2
1986-08-31,19.1
1986-09-30,20.6
1986-10-31,23.2
1986-11-30,25.3
1986-12-31,28.9
1987-01-31,25.0
1987-02-28,22.9
1987-03-31,22.2
1987-04-30,20.8
1987-05-31,23.9
1987-06-30,29.9
1987-07-31,27.2
1987-08-31,28.1
1987-09-30,23.6
1987-10-31,27.1
1987-11-30,22.3
1987-12-31,18.9
1988-01-31,22.0
1988-02-29,22.9
1988-03-31,24.2
1988-04-30,18.8
1988-05-31,28.9
1988-06-30,21.9
1988-07-31,23.2
1988-08-31,25.1
1988-09-30,22.6
1988-10-31,22.1
1988-11-30,26.3
1988-12-31,20.9
1989-01-31,27.0
1989-02-28,18.9
1989-03-31,16.2
1989-04-30,20.8
1989-05-31,17.9
1989-06-30,16.9
1989-07-31,19.3
1989-08-31,16.1
1989-09-30,16.6
1989-10-31,16.1
1989-11-30,18.3
1989-12-31,8.9
1990-01-31,17.0
1990-02-28,11.8
1990-03-31,16.2
1990-04-30,9.8
1990-05-31,9.9
1990-06-30,6.9
1990-07-31,9.3
1990-08-31,8.2
1990-09-30,2.6
1990-10-31,4.0
1990-11-30,10.3
1990-12-31,7.9
1991-01-31,5.8
1991-02-28,16.3
1991-03-31,14.5
1991-04-30,18.2
1991-05-31,20.8
1991-06-30,22.8
1991-07-31,23.4
1991-08-31,24.5
1991-09-30,28.5
1991-10-31,29.0
1991-11-30,30.3
1991-12-31,29.3
1992-01-31,29.6
1992-02-29,33.1
1992-03-31,35.4
1992-04-30,34.5
1992-05-31,35.5
1992-06-30,34.5
1992-07-31,34.3
1992-08-31,39.1
1992-09-30,39.0
1992-10-31,37.8
1992-11-30,39.8
1992-12-31,37.9
1993-01-31,39.8
1993-02-28,38.5
1993-03-31,38.9
1993-04-30,34.9
1993-05-31,36.6
1993-06-30,39.9
1993-07-31,33.4
1993-08-31,31.5
1993-09-30,33.5
1993-10-31,37.1
1993-11-30,32.8
1993-12-31,31.4
1994-01-31,32.9
1994-02-28,32.2
1994-03-31,30.3
1994-04-30,33.5
1994-05-31,33.5
1994-06-30,33.9
1994-07-31,32.8
1994-08-31,30.7
1994-09-30,31.4
1994-10-31,31.0
1994-11-30,30.6
1994-12-31,31.5
1995-01-31,28.6
1995-02-28,27.6
1995-03-31,31.0
1995-04-30,33.8
1995-05-31,33.0
1995-06-30,31.0
1995-07-31,29.2
1995-08-31,29.2
1995-09-30,30.0
1995-10-31,31.9
1995-11-30,31.0
1995-12-31,29.2
1996-01-31,28.7
1996-02-29,32.4
1996-03-31,29.2
1996-04-30,30.2
1996-05-31,32.9
1996-06-30,32.2
1996-07-31,26.5
1996-08-31,25.8
1996-09-30,24.4
1996-10-31,27.0
1996-11-30,25.2
1996-12-31,28.3
1997-01-31,26.1
1997-02-28,29.2
1997-03-31,27.1
1997-04-30,30.9
1997-05-31,27.9
1997-06-30,33.7
1997-07-31,29.3
1997-08-31,34.8
1997-09-30,33.5
1997-10-31,32.7
1997-11-30,30.7
1997-12-31,32.0
1998-01-31,28.4
1998-02-28,28.2
1998-03-31,28.8
1998-04-30,29.2
1998-05-31,27.7
1998-06-30,26.5
1998-07-31,26.1
1998-08-31,26.7
1998-09-30,27.6
1998-10-31,33.1
1998-11-30,33.6
1998-12-31,31.6
1999-01-31,29.4
1999-02-28,29.6
1999-03-31,29.2
1999-04-30,31.8
1999-05-31,36.4
1999-06-30,32.2
1999-07-31,31.0
1999-08-31,32.0
1999-09-30,35.2
1999-10-31,29.7
1999-11-30,31.8
1999-12-31,33.3
2000-01-31,27.2
2000-02-29,27.7
2000-03-31,30.8
2000-04-30,25.6
2000-05-31,24.9
2000-06-30,28.3
2000-07-31,25.1
2000-08-31,25.8
2000-09-30,29.9
2000-10-31,26.8
2000-11-30,28.8
2000-12-31,27.1
2001-01-31,24.5
2001-02-28,27.4
2001-03-31,22.4
2001-04-30,24.4
2001-05-31,25.4
2001-06-30,24.7
2001-07-31,25.9
2001-08-31,25.3
2001-09-30,30.0
2001-10-31,33.4
2001-11-30,29.3
2001-12-31,25.5
2002-01-31,25.9
2002-02-28,32.4
2002-03-31,36.2
2002-04-30,34.6
2002-05-31,36.1
2002-06-30,34.4
2002-07-31,35.6
2002-08-31,33.0
2002-09-30,31.1
2002-10-31,33.1
2002-11-30,32.7
2002-12-31,34.4
2003-01-31,35.0
2003-02-28,27.9
2003-03-31,33.6
2003-04-30,30.5
2003-05-31,31.0
2003-06-30,36.2
2003-07-31,31.8
2003-08-31,32.0
2003-09-30,29.5
2003-10-31,29.1
2003-11-30,26.7
2003-12-31,32.0
2004-01-31,30.3
2004-02-29,23.5
2004-03-31,27.7
2004-04-30,28.9
2004-05-31,28.9
2004-06-30,29.2
2004-07-31,27.0
2004-08-31,28.5
2004-09-30,27.4
2004-10-31,25.1
2004-11-30,22.6
2004-12-31,22.4
2005-01-31,21.2
2005-02-28,27.1
2005-03-31,26.5
2005-04-30,25.4
2005-05-31,24.6
2005-06-30,28.4
2005-07-31,28.8
2005-08-31,25.1
2005-09-30,24.3
2005-10-31,27.1
2005-11-30,26.0
2005-12-31,29.3
