date,value
1980-01-31,350007.0
1980-02-29,349884.0
1980-03-31,351396.0
1980-04-30,347367.0
1980-05-31,350691.0
1980-06-30,354377.0
1980-07-31,356144.0
1980-08-31,357854.0
1980-09-30,356686.0
1980-10-31,356004.0
1980-11-30,373089.0
1980-12-31,378160.0
1981-01-31,372262.0
1981-02-28,374300.0
1981-03-31,373214.0
1981-04-30,371979.0
1981-05-31,379341.0
1981-06-30,379987.0
1981-07-31,378210.0
1981-08-31,384527.0
1981-09-30,382536.0
1981-10-31,379694.0
1981-11-30,393353.0
1981-12-31,399051.0
1982-01-31,399393.0
1982-02-28,400874.0
1982-03-31,398314.0
1982-04-30,396443.0
1982-05-31,404267.0
1982-06-30,405204.0
1982-07-31,404133.0
1982-08-31,410375.0
1982-09-30,409213.0
1982-10-31,409057.0
1982-11-30,419504.0
1982-12-31,427764.0
1983-01-31,427775.0
1983-02-28,430415.0
1983-03-31,423300.0
1983-04-30,424113.0
1983-05-31,431644.0
1983-06-30,431653.0
1983-07-31,435854.0
1983-08-31,436847.0
1983-09-30,430747.0
1983-10-31,434972.0
1983-11-30,445958.0
1983-12-31,450011.0
1984-01-31,447109.0
1984-02-29,447350.0
1984-03-31,437978.0
1984-04-30,441801.0
1984-05-31,448540.0
1984-06-30,445148.0
1984-07-31,451551.0
1984-08-31,448833.0
1984-09-30,453769.0
1984-10-31,452121.0
1984-11-30,459700.0
1984-12-31,472269.0
1985-01-31,468493.0
1985-02-28,471325.0
1985-03-31,465885.0
1985-04-30,462941.0
1985-05-31,466881.0
1985-06-30,472881.0
1985-07-31,474109.0
1985-08-31,470791.0
1985-09-30,474320.0
1985-10-31,473632.0
1985-11-30,481229.0
1985-12-31,508215.0
1986-01-31,501755.0
1986-02-28,502188.0
1986-03-31,503144.0
1986-04-30,498727.0
1986-05-31,502608.0
1986-06-30,510778.0
1986-07-31,513983.0
1986-08-31,518583.0
1986-09-30,518957.0
1986-10-31,518398.0
1986-11-30,537013.0
1986-12-31,543381.0
1987-01-31,538379.0
1987-02-28,539783.0
1987-03-31,539282.0
1987-04-30,537311.0
1987-05-31,547212.0
1987-06-30,549211.0
1987-07-31,545454.0
1987-08-31,555048.0
1987-09-30,551970.0
1987-10-31,551272.0
1987-11-30,570520.0
1987-12-31,575062.0
1988-01-31,574142.0
1988-02-29,577769.0
1988-03-31,566007.0
1988-04-30,570731.0
1988-05-31,581623.0
1988-06-30,583008.0
1988-07-31,582622.0
1988-08-31,586121.0
1988-09-30,582062.0
1988-10-31,588747.0
1988-11-30,607838.0
1988-12-31,613861.0
1989-01-31,611763.0
1989-02-28,614150.0
1989-03-31,603742.0
1989-04-30,605698.0
1989-05-31,613202.0
1989-06-30,608197.0
1989-07-31,618364.0
1989-08-31,619552.0
1989-09-30,613047.0
1989-10-31,617847.0
1989-11-30,636407.0
1989-12-31,652500.0
1990-01-31,643801.0
1990-02-28,646999.0
1990-03-31,632335.0
1990-04-30,636159.0
1990-05-31,643326.0
1990-06-30,728502.0
1990-07-31,737494.0
1990-08-31,736775.0
1990-09-30,745042.0
1990-10-31,742957.0
1990-11-30,756117.0
1990-12-31,781503.0
1991-01-31,771026.0
1991-02-28,779685.0
1991-03-31,767140.0
1991-04-30,765535.0
1991-05-31,770889.0
1991-06-30,777318.0
1991-07-31,776617.0
1991-08-31,775917.0
1991-09-30,783093.0
1991-10-31,782275.0
1991-11-30,800622.0
1991-12-31,833408.0
1992-01-31,814145.0
1992-02-29,818818.0
1992-03-31,816645.0
1992-04-30,821834.0
1992-05-31,828984.0
1992-06-30,831751.0
1992-07-31,836297.0
1992-08-31,844704.0
1992-09-30,855149.0
1992-10-31,855710.0
1992-11-30,878795.0
1992-12-31,892976.0
1993-01-31,878145.0
1993-02-28,883994.0
1993-03-31,883595.0
1993-04-30,889359.0
1993-05-31,898293.0
1993-06-30,900467.0
1993-07-31,905594.0
1993-08-31,910561.0
1993-09-30,910560.0
1993-10-31,919195.0
1993-11-30,947565.0
1993-12-31,989653.0
1994-01-31,981174.0
1994-02-28,982064.0
1994-03-31,979121.0
1994-04-30,984710.0
1994-05-31,987745.0
1994-06-30,986859.0
1994-07-31,982517.0
1994-08-31,982045.0
1994-09-30,977880.0
1994-10-31,980062.0
1994-11-30,991238.0
1994-12-31,1004002.0
1995-01-31,983817.0
1995-02-28,980928.0
1995-03-31,970111.0
1995-04-30,970255.0
1995-05-31,977161.0
1995-06-30,974197.0
1995-07-31,974716.0
1995-08-31,977780.0
1995-09-30,980017.0
1995-10-31,986716.0
1995-11-30,1009510.0
1995-12-31,1039648.0
1996-01-31,1029218.0
1996-02-29,1037812.0
1996-03-31,1035329.0
1996-04-30,1039619.0
1996-05-31,1043576.0
1996-06-30,1044663.0
1996-07-31,1044427.0
1996-08-31,1050120.0
1996-09-30,1055003.0
1996-10-31,1059506.0
1996-11-30,1078593.0
1996-12-31,1128926.0
1997-01-31,1105294.0
1997-02-28,1107097.0
1997-03-31,1102892.0
1997-04-30,1103736.0
1997-05-31,1111164.0
1997-06-30,1109900.0
1997-07-31,1109593.0
1997-08-31,1112666.0
1997-09-30,1110514.0
1997-10-31,1113904.0
1997-11-30,1135754.0
1997-12-31,1167838.0
1998-01-31,1148858.0
1998-02-28,1154224.0
1998-03-31,1151823.0
1998-04-30,1158292.0
1998-05-31,1161734.0
1998-06-30,1161360.0
1998-07-31,1159115.0
1998-08-31,1170322.0
1998-09-30,1168356.0
1998-10-31,1179770.0
1998-11-30,1207684.0
1998-12-31,1258233.0
1999-01-31,1253280.0
1999-02-28,1256423.0
1999-03-31,1253550.0
1999-04-30,1256799.0
1999-05-31,1270776.0
1999-06-30,1273897.0
1999-07-31,1270509.0
1999-08-31,1269860.0
1999-09-30,1271634.0
1999-10-31,1278838.0
1999-11-30,1304598.0
1999-12-31,1321597.0
2000-01-31,1309164.0
2000-02-29,1309193.0
2000-03-31,1299777.0
2000-04-30,1301210.0
2000-05-31,1293404.0
2000-06-30,1283243.0
2000-07-31,1273751.0
2000-08-31,1266675.0
2000-09-30,1263737.0
2000-10-31,1263024.0
2000-11-30,1285217.0
2000-12-31,1309398.0
2001-01-31,1291650.0
2001-02-28,1302031.0
2001-03-31,1305100.0
2001-04-30,1310942.0
2001-05-31,1315652.0
2001-06-30,1323187.0
2001-07-31,1317073.0
2001-08-31,1319365.0
2001-09-30,1333782.0
2001-10-31,1334282.0
2001-11-30,1353707.0
2001-12-31,1367014.0
2002-01-31,1277675.0
2002-02-28,1273071.0
2002-03-31,1271884.0
2002-04-30,1268650.0
2002-05-31,1277513.0
2002-06-30,1290008.0
2002-07-31,1283409.0
2002-08-31,1282017.0
2002-09-30,1289151.0
2002-10-31,1299304.0
2002-11-30,1328759.0
2002-12-31,1349180.0
2003-01-31,1339704.0
2003-02-28,1347511.0
2003-03-31,1350894.0
2003-04-30,1357772.0
2003-05-31,1371788.0
2003-06-30,1377884.0
2003-07-31,1366047.0
2003-08-31,1373969.0
2003-09-30,1370948.0
2003-10-31,1371720.0
2003-11-30,1394348.0
2003-12-31,1395229.0
2004-01-31,1391124.0
2004-02-29,1392727.0
2004-03-31,1394240.0
2004-04-30,1395836.0
2004-05-31,1401835.0
2004-06-30,1395054.0
2004-07-31,1391043.0
2004-08-31,1393978.0
2004-09-30,1403134.0
2004-10-31,1402081.0
2004-11-30,1420559.0
2004-12-31,1423322.0
2005-01-31,1432250.0
2005-02-28,1431900.0
2005-03-31,1425778.0
2005-04-30,1435278.0
2005-05-31,1447655.0
2005-06-30,1451011.0
2005-07-31,1452467.0
2005-08-31,1454790.0
2005-09-30,1462265.0
2005-10-31,1466757.0
2005-11-30,1481882.0
2005-12-31,1490080.0
2006-01-31,1491345.0
2006-02-28,1489177.0
2006-03-31,1496126.0
2006-04-30,1515881.0
2006-05-31,1517103.0
2006-06-30,1522834.0
2006-07-31,1513601.0
2006-08-31,1512515.0
2006-09-30,1520054.0
2006-10-31,1517094.0
2006-11-30,1545667.0
2006-12-31,1568728.0
2007-01-31,1564464.0
2007-02-28,1563848.0
2007-03-31,1572316.0
2007-04-30,1583189.0
2007-05-31,1593722.0
2007-06-30,1611624.0
2007-07-31,1617676.0
2007-08-31,1633313.0
2007-09-30,1658147.0
2007-10-31,1657540.0
2007-11-30,1695209.0
2007-12-31,1737417.0
2008-01-31,1731409.0
2008-02-29,1744379.0
2008-03-31,1751319.0
2008-04-30,1760573.0
2008-05-31,1780618.0
2008-06-30,1782202.0
2008-07-31,1790410.0
2008-08-31,1804435.0
2008-09-30,1817944.0
2008-10-31,1862990.0
2008-11-30,1878787.0
2008-12-31,1883015.0
2009-01-31,1898939.0
2009-02-28,1898429.0
2009-03-31,1878868.0
2009-04-30,1893142.0
2009-05-31,1883503.0
2009-06-30,1873020.0
2009-07-31,1860816.0
2009-08-31,1859930.0
2009-09-30,1856901.0
2009-10-31,1857768.0
2009-11-30,1867650.0
2009-12-31,1865675.0
2010-01-31,1872858.0
2010-02-28,1872427.0
2010-03-31,1859590.0
2010-04-30,1881550.0
2010-05-31,1891920.0
2010-06-30,1893756.0
2010-07-31,1892848.0
2010-08-31,1901598.0
2010-09-30,1907069.0
2010-10-31,1912656.0
2010-11-30,1937430.0
2010-12-31,1944606.0
2011-01-31,1955167.0
2011-02-28,1946768.0
2011-03-31,1953974.0
2011-04-30,1969412.0
2011-05-31,1980054.0
2011-06-30,1985759.0
2011-07-31,1993809.0
2011-08-31,2011716.0
2011-09-30,2031723.0
2011-10-31,2037898.0
2011-11-30,2061870.0
2011-12-31,2072812.0
2012-01-31,2074296.0
2012-02-29,2082801.0
2012-03-31,2091283.0
2012-04-30,2106402.0
2012-05-31,2128220.0
2012-06-30,2152549.0
2012-07-31,2173608.0
2012-08-31,2184897.0
2012-09-30,2195038.0
2012-10-31,2239636.0
2012-11-30,2256965.0
2012-12-31,2231601.0
2013-01-31,2219542.0
2013-02-28,2215922.0
2013-03-31,2208849.0
2013-04-30,2236579.0
2013-05-31,2241968.0
2013-06-30,2235855.0
2013-07-31,2240807.0
2013-08-31,2256549.0
2013-09-30,2262171.0
2013-10-31,2287944.0
2013-11-30,2296490.0
2013-12-31,2293861.0
2014-01-31,2294261.0
2014-02-28,2307937.0
2014-03-31,2302465.0
2014-04-30,2333215.0
2014-05-31,2351817.0
2014-06-30,2340595.0
2014-07-31,2345877.0
2014-08-31,2365584.0
2014-09-30,2368428.0
2014-10-31,2384509.0
2014-11-30,2411062.0
2014-12-31,2405705.0
2015-01-31,2426489.0
2015-02-28,2451966.0
2015-03-31,2458514.0
2015-04-30,2485770.0
2015-05-31,2511541.0
