date,value
1980-01-31,39542.0
1980-02-29,40455.0
1980-03-31,40298.0
1980-04-30,40538.0
1980-05-31,40744.0
1980-06-30,40846.0
1980-07-31,41591.0
1980-08-31,41538.0
1980-09-30,40994.0
1980-10-31,41515.0
1980-11-30,42964.0
1980-12-31,42922.0
1981-01-31,41700.0
1981-02-28,41706.0
1981-03-31,40913.0
1981-04-30,41788.0
1981-05-31,41653.0
1981-06-30,41630.0
1981-07-31,43357.0
1981-08-31,41988.0
1981-09-30,41321.0
1981-10-31,41468.0
1981-11-30,42585.0
1981-12-31,43041.0
1982-01-31,41708.0
1982-02-28,41661.0
1982-03-31,41684.0
1982-04-30,42756.0
1982-05-31,42935.0
1982-06-30,42874.0
1982-07-31,44304.0
1982-08-31,43308.0
1982-09-30,43464.0
1982-10-31,43724.0
1982-11-30,44802.0
1982-12-31,45314.0
1983-01-31,44375.0
1983-02-28,44486.0
1983-03-31,46416.0
1983-04-30,46256.0
1983-05-31,46089.0
1983-06-30,46757.0
1983-07-31,48152.0
1983-08-31,47371.0
1983-09-30,48081.0
1983-10-31,47256.0
1983-11-30,48501.0
1983-12-31,49296.0
1984-01-31,47647.0
1984-02-29,47614.0
1984-03-31,48373.0
1984-04-30,48732.0
1984-05-31,48666.0
1984-06-30,49748.0
1984-07-31,49918.0
1984-08-31,50358.0
1984-09-30,49776.0
1984-10-31,49205.0
1984-11-30,51661.0
1984-12-31,51022.0
1985-01-31,49656.0
1985-02-28,49778.0
1985-03-31,50433.0
1985-04-30,50209.0
1985-05-31,50929.0
1985-06-30,50999.0
1985-07-31,51321.0
1985-08-31,51739.0
1985-09-30,51143.0
1985-10-31,51468.0
1985-11-30,53313.0
1985-12-31,53102.0
1986-01-31,52436.0
1986-02-28,52578.0
1986-03-31,53262.0
1986-04-30,53449.0
1986-05-31,53929.0
1986-06-30,53886.0
1986-07-31,55284.0
1986-08-31,55381.0
1986-09-30,54726.0
1986-10-31,55579.0
1986-11-30,57249.0
1986-12-31,57338.0
1987-01-31,56531.0
1987-02-28,56893.0
1987-03-31,56933.0
1987-04-30,58568.0
1987-05-31,58767.0
1987-06-30,59008.0
1987-07-31,61126.0
1987-08-31,60216.0
1987-09-30,60079.0
1987-10-31,61071.0
1987-11-30,62601.0
1987-12-31,63440.0
1988-01-31,62665.0
1988-02-29,62928.0
1988-03-31,65047.0
1988-04-30,64837.0
1988-05-31,64895.0
1988-06-30,66016.0
1988-07-31,67451.0
1988-08-31,66814.0
1988-09-30,68099.0
1988-10-31,67902.0
1988-11-30,69654.0
1988-12-31,72901.0
1989-01-31,71071.0
1989-02-28,71254.0
1989-03-31,72545.0
1989-04-30,72755.0
1989-05-31,71623.0
1989-06-30,73073.0
1989-07-31,72968.0
1989-08-31,72380.0
1989-09-30,72596.0
1989-10-31,71569.0
1989-11-30,74002.0
1989-12-31,75624.0
1990-01-31,72565.0
1990-02-28,72650.0
1990-03-31,73272.0
1990-04-30,72860.0
1990-05-31,72549.0
1990-06-30,73030.0
1990-07-31,77631.0
1990-08-31,78243.0
1990-09-30,77861.0
1990-10-31,77333.0
1990-11-30,80818.0
1990-12-31,81066.0
1991-01-31,80587.0
1991-02-28,80816.0
1991-03-31,81835.0
1991-04-30,81251.0
1991-05-31,82320.0
1991-06-30,82515.0
1991-07-31,83243.0
1991-08-31,84360.0
1991-09-30,84304.0
1991-10-31,85234.0
1991-11-30,87791.0
1991-12-31,87822.0
1992-01-31,85809.0
1992-02-29,86077.0
1992-03-31,85589.0
1992-04-30,87878.0
1992-05-31,88070.0
1992-06-30,88222.0
1992-07-31,90770.0
1992-08-31,90714.0
1992-09-30,91649.0
1992-10-31,93437.0
1992-11-30,96999.0
1992-12-31,102513.0
1993-01-31,98426.0
1993-02-28,98016.0
1993-03-31,98063.0
1993-04-30,99231.0
1993-05-31,99860.0
1993-06-30,99730.0
1993-07-31,101842.0
1993-08-31,101035.0
1993-09-30,101936.0
1993-10-31,103066.0
1993-11-30,105454.0
1993-12-31,108158.0
1994-01-31,106116.0
1994-02-28,106206.0
1994-03-31,109539.0
1994-04-30,109108.0
1994-05-31,108993.0
1994-06-30,109513.0
1994-07-31,110133.0
1994-08-31,109518.0
1994-09-30,111417.0
1994-10-31,110838.0
1994-11-30,112421.0
1994-12-31,115275.0
1995-01-31,112234.0
1995-02-28,111904.0
1995-03-31,113195.0
1995-04-30,113625.0
1995-05-31,113249.0
1995-06-30,113842.0
1995-07-31,113887.0
1995-08-31,114489.0
1995-09-30,115679.0
1995-10-31,115237.0
1995-11-30,117768.0
1995-12-31,121177.0
1996-01-31,117707.0
1996-02-29,118398.0
1996-03-31,120011.0
1996-04-30,120462.0
1996-05-31,121761.0
1996-06-30,121634.0
1996-07-31,121973.0
1996-08-31,122467.0
1996-09-30,122541.0
1996-10-31,123111.0
1996-11-30,124780.0
1996-12-31,125946.0
1997-01-31,124006.0
1997-02-28,124591.0
1997-03-31,125658.0
1997-04-30,125321.0
1997-05-31,125585.0
1997-06-30,125247.0
1997-07-31,125730.0
1997-08-31,125082.0
1997-09-30,124194.0
1997-10-31,124449.0
1997-11-30,125345.0
1997-12-31,125982.0
1998-01-31,123555.0
1998-02-28,124292.0
1998-03-31,123797.0
1998-04-30,124752.0
1998-05-31,124440.0
1998-06-30,123336.0
1998-07-31,124528.0
1998-08-31,123237.0
1998-09-30,121572.0
1998-10-31,121922.0
1998-11-30,122996.0
1998-12-31,123712.0
1999-01-31,120997.0
1999-02-28,121297.0
1999-03-31,123651.0
1999-04-30,124046.0
1999-05-31,123939.0
1999-06-30,124036.0
1999-07-31,125605.0
1999-08-31,124589.0
1999-09-30,124853.0
1999-10-31,125047.0
1999-11-30,126253.0
1999-12-31,131104.0
2000-01-31,126130.0
2000-02-29,125411.0
2000-03-31,126334.0
2000-04-30,126737.0
2000-05-31,126686.0
2000-06-30,126769.0
2000-07-31,126611.0
2000-08-31,125610.0
2000-09-30,125934.0
2000-10-31,124812.0
2000-11-30,124795.0
2000-12-31,125898.0
2001-01-31,120650.0
2001-02-28,120232.0
2001-03-31,120269.0
2001-04-30,119846.0
2001-05-31,117939.0
2001-06-30,116259.0
2001-07-31,113747.0
2001-08-31,110455.0
