date,value
1960-01-31,9.31479
1960-02-29,9.36569
1960-03-31,9.202808
1960-04-30,9.498032
1960-05-31,10.09866
1960-06-30,11.52387
1960-07-31,12.36882
1960-08-31,13.39701
1960-09-30,13.40719
1960-10-31,12.62332
1960-11-30,12.379
1960-12-31,12.09396
1961-01-31,11.9718
1961-02-28,11.85981
1961-03-31,11.73765
1961-04-30,11.9718
1961-05-31,12.49098
1961-06-30,12.56224
1961-07-31,11.52387
1961-08-31,10.98433
1961-09-30,10.47532
1961-10-31,10.66874
1961-11-30,11.37117
1961-12-31,10.99451
1962-01-31,10.7909
1962-02-28,10.62802
1962-03-31,10.5364
1962-04-30,10.1801
1962-05-31,9.39623
1962-06-30,8.541102
1962-07-31,8.27642
1962-08-31,7.950656
1962-09-30,7.828495
1962-10-31,7.176969
1962-11-30,7.981196
1962-12-31,8.34768
1963-01-31,8.042277
1963-02-28,7.818315
1963-03-31,7.808135
1963-04-30,8.001556
1963-05-31,8.703983
1963-06-30,8.846505
1963-07-31,8.805784
1963-08-31,9.172268
1963-09-30,9.42677
1963-10-31,9.233349
1963-11-30,8.968666
1963-12-31,9.050107
1964-01-31,9.579472
1964-02-29,9.844154
1964-03-31,10.24118
1964-04-30,10.19028
1964-05-31,9.976496
1964-06-30,9.803434
1964-07-31,10.01722
1964-08-31,10.22082
1964-09-30,10.29208
1964-10-31,9.925595
1964-11-30,9.579472
1964-12-31,9.620193
1965-01-31,9.579472
1965-02-28,9.42677
1965-03-31,9.223168
1965-04-30,9.192628
1965-05-31,8.958486
1965-06-30,8.744704
1965-07-31,8.632723
1965-08-31,8.765064
1965-09-30,8.775245
1965-10-31,8.510562
1965-11-30,8.29678
1965-12-31,8.174619
1966-01-31,8.439301
1966-02-28,8.541102
1966-03-31,8.418941
1966-04-30,8.194979
1966-05-31,7.696154
1966-06-30,7.33985
1966-07-31,6.912286
1966-08-31,6.953007
1966-09-30,7.146429
1966-10-31,6.922466
1966-11-30,6.708684
1966-12-31,6.749405
1967-01-31,6.718864
1967-02-28,7.166789
1967-03-31,7.29913
1967-04-30,7.21769
1967-05-31,7.075168
1967-06-30,6.963187
1967-07-31,7.075168
1967-08-31,7.950656
1967-09-30,8.286599
1967-10-31,8.378221
1967-11-30,8.765064
1967-12-31,8.938126
1968-01-31,9.467491
1968-02-29,9.508211
1968-03-31,9.498032
1968-04-30,9.956136
1968-05-31,10.01722
1968-06-30,10.22082
1968-07-31,10.35316
1968-08-31,10.47532
1968-09-30,10.34298
1968-10-31,10.4855
1968-11-30,10.27172
1968-12-31,10.05794
1969-01-31,10.34298
1969-02-28,10.49568
1969-03-31,10.50586
1969-04-30,10.49568
1969-05-31,10.95378
1969-06-30,11.03523
1969-07-31,10.54658
1969-08-31,10.93342
1969-09-30,11.00469
1969-10-31,11.43225
1969-11-30,12.00234
1969-12-31,11.62567
1970-01-31,11.17775
1970-02-28,10.85001
1970-03-31,10.59168
1970-04-30,10.67265
1970-05-31,9.56027
1970-06-30,9.188193
1970-07-31,9.078305
1970-08-31,9.519786
1970-09-30,9.215183
1970-10-31,9.059027
1970-11-30,8.818044
1970-12-31,8.629113
1971-01-31,9.139997
1971-02-28,9.843666
1971-03-31,10.11357
1971-04-30,9.911141
1971-05-31,9.471589
1971-06-30,9.521713
1971-07-31,9.631601
1971-08-31,9.614251
1971-09-30,9.01083
1971-10-31,8.777558
1971-11-30,8.247396
1971-12-31,8.769847
1972-01-31,9.116862
1972-02-29,9.741489
1972-03-31,10.08658
1972-04-30,10.40082
1972-05-31,10.58589
1972-06-30,10.47601
1972-07-31,10.42588
1972-08-31,10.85194
1972-09-30,10.54541
1972-10-31,10.17911
1972-11-30,10.33142
1972-12-31,10.12513
1973-01-31,10.60517
1973-02-28,10.44709
1973-03-31,10.83844
1973-04-30,10.85387
1973-05-31,9.891863
1973-06-30,9.581477
1973-07-31,8.995407
1973-08-31,8.885519
1973-09-30,8.78527
1973-10-31,8.929859
1973-11-30,8.723578
1973-12-31,8.131724
1974-01-31,8.42476
1974-02-28,8.459461
1974-03-31,8.216551
1974-04-30,8.413193
1974-05-31,8.359212
1974-06-30,8.064249
1974-07-31,7.757719
1974-08-31,7.93701
1974-09-30,7.584211
1974-10-31,7.381786
1974-11-30,7.586139
