date,value
1960-01-31,4.36
1960-02-29,4.47
1960-03-31,4.71
1960-04-30,4.59
1960-05-31,4.64
1960-06-30,5.25
1960-07-31,5.58
1960-08-31,5.44
1960-09-30,5.61
1960-10-31,6.1
1960-11-30,5.38
1960-12-31,5.06
1961-01-31,4.66
1961-02-28,4.13
1961-03-31,3.73
1961-04-30,3.34
1961-05-31,3.23
1961-06-30,3.13
1961-07-31,3.16
1961-08-31,3.09
1961-09-30,3.06
1961-10-31,4.05
1961-11-30,3.71
1961-12-31,3.83
1962-01-31,2.93
1962-02-28,2.94
1962-03-31,3.02
1962-04-30,3.08
1962-05-31,3.08
1962-06-30,3.13
1962-07-31,3.29
1962-08-31,3.26
1962-09-30,3.2
1962-10-31,4.45
1962-11-30,4.33
1962-12-31,4.35
1963-01-31,3.29
1963-02-28,3.31
1963-03-31,3.53
1963-04-30,3.56
1963-05-31,3.6
1963-06-30,3.83
1963-07-31,3.98
1963-08-31,3.81
1963-09-30,3.75
1963-10-31,5.13
1963-11-30,5.0
1963-12-31,4.98
1964-01-31,3.33
1964-02-29,3.33
1964-03-31,3.46
1964-04-30,3.55
1964-05-31,3.69
1964-06-30,3.75
1964-07-31,3.69
1964-08-31,3.91
1964-09-30,4.08
1964-10-31,5.42
1964-11-30,5.5
1964-12-31,5.36
1965-01-31,3.88
1965-02-28,3.95
1965-03-31,4.28
1965-04-30,4.52
1965-05-31,4.69
1965-06-30,4.8
1965-07-31,5.08
1965-08-31,5.27
1965-09-30,5.36
1965-10-31,6.66
1965-11-30,6.58
1965-12-31,6.55
1966-01-31,5.23
1966-02-28,5.36
1966-03-31,5.69
1966-04-30,6.21
1966-05-31,6.35
1966-06-30,6.81
1966-07-31,6.89
1966-08-31,7.0
1966-09-30,6.8
1966-10-31,7.88
1966-11-30,7.73
1966-12-31,7.57
1967-01-31,5.69
1967-02-28,5.56
1967-03-31,5.04
1967-04-30,4.48
1967-05-31,3.69
1967-06-30,3.98
1967-07-31,3.51
1967-08-31,3.56
1967-09-30,3.43
1967-10-31,4.2
1967-11-30,4.0
1967-12-31,4.07
1968-01-31,3.32
1968-02-29,3.45
1968-03-31,3.52
1968-04-30,3.64
1968-05-31,3.68
1968-06-30,3.72
1968-07-31,3.59
1968-08-31,3.55
1968-09-30,3.54
1968-10-31,4.75
1968-11-30,4.5
1968-12-31,4.44
1969-01-31,3.87
1969-02-28,3.91
1969-03-31,4.21
1969-04-30,4.4
1969-05-31,4.38
1969-06-30,5.5
1969-07-31,5.78
1969-08-31,6.5
1969-09-30,6.94
1969-10-31,7.42
1969-11-30,7.69
1969-12-31,8.83
1970-01-31,9.29
1970-02-28,9.51
1970-03-31,9.81
1970-04-30,9.86
1970-05-31,9.93
1970-06-30,9.88
1970-07-31,9.590000000000002
1970-08-31,9.16
1970-09-30,9.36
1970-10-31,9.53
1970-11-30,8.84
1970-12-31,8.12
1971-01-31,7.5
1971-02-28,7.47
1971-03-31,7.46
1971-04-30,6.36
1971-05-31,6.16
1971-06-30,6.8
1971-07-31,7.66
1971-08-31,7.56
1971-09-30,7.59
1971-10-31,7.8
1971-11-30,6.79
1971-12-31,6.63
1972-01-31,5.19
1972-02-29,4.88
1972-03-31,4.8
1972-04-30,4.78
1972-05-31,4.71
1972-06-30,4.65
1972-07-31,4.65
1972-08-31,4.8
1972-09-30,5.32
1972-10-31,6.88
1972-11-30,8.07
1972-12-31,8.6
1973-01-31,7.89
1973-02-28,7.96
1973-03-31,8.77
1973-04-30,10.62
1973-05-31,12.42
1973-06-30,13.62
1973-07-31,14.3
1973-08-31,14.57
1973-09-30,14.25
1973-10-31,14.49
1973-11-30,13.62
1973-12-31,13.2
1974-01-31,12.09
1974-02-28,10.67
1974-03-31,11.2
1974-04-30,10.07
1974-05-31,9.1
1974-06-30,9.46
1974-07-31,9.48
1974-08-31,9.65
1974-09-30,9.69
1974-10-31,9.78
1974-11-30,9.04
1974-12-31,8.6
1975-01-31,7.74
1975-02-28,6.43
1975-03-31,5.71
1975-04-30,4.89
1975-05-31,4.99
1975-06-30,4.88
1975-07-31,4.66
1975-08-31,3.88
1975-09-30,3.93
1975-10-31,4.07
1975-11-30,4.12
1975-12-31,4.21
1976-01-31,3.93
1976-02-29,3.72
1976-03-31,3.74
1976-04-30,3.62
1976-05-31,3.77
1976-06-30,4.14
1976-07-31,4.47
1976-08-31,4.56
1976-09-30,4.56
1976-10-31,4.85
1976-11-30,4.69
1976-12-31,4.93
1977-01-31,4.78
1977-02-28,4.71
1977-03-31,4.73
1977-04-30,4.62
1977-05-31,4.44
1977-06-30,4.28
1977-07-31,4.29
1977-08-31,4.12
1977-09-30,4.15
1977-10-31,4.13
1977-11-30,4.15
1977-12-31,3.98
1978-01-31,3.58
1978-02-28,3.46
1978-03-31,3.51
1978-04-30,3.56
1978-05-31,3.6
1978-06-30,3.68
1978-07-31,3.75
1978-08-31,3.7
1978-09-30,3.7
1978-10-31,3.95
1978-11-30,3.85
1978-12-31,4.06
1979-01-31,3.89
1979-02-28,4.15
1979-03-31,4.47
1979-04-30,5.54
1979-05-31,5.92
1979-06-30,6.46
1979-07-31,6.84
1979-08-31,7.09
1979-09-30,7.89
1979-10-31,8.76
1979-11-30,9.65
1979-12-31,9.58
1980-01-31,8.86
1980-02-29,8.97
1980-03-31,9.64
1980-04-30,10.22
1980-05-31,10.26
1980-06-30,10.11
1980-07-31,9.7
1980-08-31,8.98
1980-09-30,8.97
1980-10-31,9.08
1980-11-30,9.45
1980-12-31,10.2
1981-01-31,9.47
