date,value
1975-07-31,5.4
1975-08-31,5.4
1975-09-30,5.4
1975-10-31,5.4
1975-11-30,5.4
1975-12-31,5.4
1976-01-31,5.4
1976-02-29,5.4
1976-03-31,5.24
1976-04-30,4.85
1976-05-31,4.85
1976-06-30,4.85
1976-07-31,5.37
1976-08-31,5.37
1976-09-30,5.37
1976-10-31,5.37
1976-11-30,5.25
1976-12-31,4.93
1977-01-31,4.93
1977-02-28,4.89
1977-03-31,4.78
1977-04-30,4.49
1977-05-31,4.44
1977-06-30,4.44
1977-07-31,4.17
1977-08-31,4.16
1977-09-30,4.0
1977-10-31,4.0
1977-11-30,4.0
1977-12-31,4.0
1978-01-31,3.73
1978-02-28,3.68
1978-03-31,3.64
1978-04-30,3.57
1978-05-31,3.57
1978-06-30,3.57
1978-07-31,3.57
1978-08-31,3.57
1978-09-30,4.23
1978-10-31,4.0
1978-11-30,4.0
1978-12-31,4.0
1979-01-31,4.04
1979-02-28,4.22
1979-03-31,4.22
1979-04-30,4.75
1979-05-31,4.77
1979-06-30,5.49
1979-07-31,5.49
1979-08-31,5.91
1979-09-30,5.99
1979-10-31,5.99
1979-11-30,6.95
1979-12-31,7.94
1980-01-31,7.87
1980-02-29,7.87
1980-03-31,8.17
1980-04-30,8.4
1980-05-31,8.4
1980-06-30,8.35
1980-07-31,8.09
1980-08-31,7.41
1980-09-30,7.41
1980-10-31,7.41
1980-11-30,7.41
1980-12-31,7.41
1981-01-31,8.48
1981-02-28,8.89
1981-03-31,9.94
1981-04-30,9.85
1981-05-31,10.6
1981-06-30,11.11
1981-07-31,11.2
1981-08-31,12.05
1981-09-30,12.05
1981-10-31,10.37
1981-11-30,10.27
1981-12-31,9.63
1982-01-31,9.8
1982-02-28,9.59
1982-03-31,9.3
1982-04-30,8.64
1982-05-31,8.46
1982-06-30,8.49
1982-07-31,8.84
1982-08-31,8.54
1982-09-30,7.819
1982-10-31,7.31
1982-11-30,6.719
1982-12-31,6.27
1983-01-31,5.64
1983-02-28,5.54
1983-03-31,5.14
1983-04-30,4.93
1983-05-31,5.12
1983-06-30,5.65
1983-07-31,5.71
1983-08-31,5.82
1983-09-30,6.1
1983-10-31,5.9
1983-11-30,5.83
1983-12-31,6.12
1984-01-31,5.99
1984-02-29,5.81
1984-03-31,5.58
1984-04-30,5.65
1984-05-31,5.71
1984-06-30,5.82
1984-07-31,5.82
1984-08-31,5.82
1984-09-30,5.63
1984-10-31,5.49
1984-11-30,5.37
1984-12-31,5.27
1985-01-31,5.25
1985-02-28,5.67
1985-03-31,6.04
1985-04-30,5.92
1985-05-31,5.67
1985-06-30,5.28
1985-07-31,5.08
1985-08-31,4.46
1985-09-30,4.05
1985-10-31,4.05
1985-11-30,4.55
1985-12-31,4.46
1986-01-31,4.2
1986-02-28,4.12
1986-03-31,3.9
1986-04-30,3.61
1986-05-31,3.5
1986-06-30,3.88
1986-07-31,3.9
1986-08-31,3.83
1986-09-30,3.8
1986-10-31,3.82
1986-11-30,3.9
1986-12-31,3.9
1987-01-31,3.87
1987-02-28,3.47
1987-03-31,3.37
1987-04-30,3.05
1987-05-31,2.97
1987-06-30,2.95
1987-07-31,2.95
1987-08-31,3.23
1987-09-30,3.35
1987-10-31,3.77
1987-11-30,3.28
1987-12-31,3.15
1988-01-31,3.15
1988-02-29,3.15
1988-03-31,3.15
1988-04-30,3.15
1988-05-31,3.15
1988-06-30,3.15
1988-07-31,3.15
1988-08-31,4.33
1988-09-30,4.41
1988-10-31,4.26
1988-11-30,4.2
1988-12-31,4.2
1989-01-31,4.42
1989-02-28,5.49
1989-03-31,6.0
1989-04-30,6.0
1989-05-31,6.18
1989-06-30,6.5
1989-07-31,6.49
1989-08-31,6.41
1989-09-30,6.57
1989-10-31,6.9
1989-11-30,7.2
1989-12-31,7.25
1990-01-31,7.25
1990-02-28,8.0
1990-03-31,8.0
1990-04-30,8.25
1990-05-31,8.25
1990-06-30,8.25
1990-07-31,8.25
1990-08-31,8.25
1990-09-30,8.25
1990-10-31,8.25
1990-11-30,8.25
1990-12-31,8.25
1991-01-31,8.25
1991-02-28,8.25
1991-03-31,8.25
1991-04-30,8.25
1991-05-31,8.25
1991-06-30,8.25
1991-07-31,8.25
1991-08-31,8.25
1991-09-30,8.25
1991-10-31,8.25
1991-11-30,8.25
1991-12-31,8.5
1992-01-31,8.5
1992-02-29,8.5
1992-03-31,8.5
1992-04-30,8.5
1992-05-31,8.5
1992-06-30,8.5
1992-07-31,8.75
1992-08-31,8.75
1992-09-30,8.6
1992-10-31,7.7
1992-11-30,7.5
1992-12-31,7.5
1993-01-31,7.35
1993-02-28,7.0
1993-03-31,6.6
1993-04-30,6.6
1993-05-31,6.6
1993-06-30,6.45
1993-07-31,6.3
1993-08-31,5.85
