date,value
1956-05-31,6.4
1956-06-30,6.8
1956-07-31,6.8
1956-08-31,6.8
1956-09-30,7.0
1956-10-31,7.0
1956-11-30,7.2
1956-12-31,7.3
1957-01-31,7.3
1957-02-28,7.4
1957-03-31,7.5
1957-04-30,7.4
1957-05-31,7.4
1957-06-30,7.4
1957-07-31,7.5
1957-08-31,7.6
1957-09-30,7.6
1957-10-31,7.7
1957-11-30,7.7
1957-12-31,7.7
1958-01-31,7.5
1958-02-28,7.5
1958-03-31,7.4
1958-04-30,7.4
1958-05-31,7.3
1958-06-30,7.1
1958-07-31,6.7
1958-08-31,6.5
1958-09-30,6.2
1958-10-31,6.0
1958-11-30,5.9
1958-12-31,5.9
1959-01-31,5.8
1959-02-28,5.6
1959-03-31,5.6
1959-04-30,5.6
1959-05-31,5.7
1959-06-30,5.7
1959-07-31,5.6
1959-08-31,5.5
1959-09-30,5.8
1959-10-31,6.0
1959-11-30,6.1
1959-12-31,6.2
1960-01-31,6.5
1960-02-29,6.4
1960-03-31,6.4
1960-04-30,6.4
1960-05-31,6.4
1960-06-30,6.6
1960-07-31,6.7
1960-08-31,6.5
1960-09-30,6.5
1960-10-31,6.3
1960-11-30,6.2
1960-12-31,6.2
1961-01-31,6.1
1961-02-28,6.0
1961-03-31,5.9
1961-04-30,5.7
1961-05-31,5.6
1961-06-30,5.6
1961-07-31,5.7
1961-08-31,5.9
1961-09-30,6.0
1961-10-31,6.0
1961-11-30,6.0
1961-12-31,6.0
1962-01-31,5.9
1962-02-28,5.7
1962-03-31,5.6
1962-04-30,5.6
1962-05-31,5.8
1962-06-30,5.9
1962-07-31,5.9
1962-08-31,6.0
1962-09-30,6.0
1962-10-31,6.2
1962-11-30,6.2
1962-12-31,6.1
1963-01-31,6.0
1963-02-28,6.0
1963-03-31,6.0
1963-04-30,6.0
1963-05-31,6.1
1963-06-30,6.1
1963-07-31,6.1
1963-08-31,6.1
1963-09-30,6.1
1963-10-31,6.1
1963-11-30,6.0
1963-12-31,6.0
1964-01-31,5.9
1964-02-29,5.9
