date,value
2010-06-30,361.0
2010-07-31,301.0
2010-08-31,323.0
2010-09-30,324.0
2010-10-31,334.0
2010-11-30,347.0
2010-12-31,329.0
2011-01-31,375.0
2011-02-28,414.0
2011-03-31,402.0
2011-04-30,386.0
2011-05-31,385.0
2011-06-30,366.0
2011-07-31,403.0
2011-08-31,410.0
2011-09-30,345.0
2011-10-31,384.0
2011-11-30,382.0
2011-12-31,399.0
2012-01-31,329.0
2012-02-29,353.0
2012-03-31,283.0
2012-04-30,295.0
2012-05-31,308.0
2012-06-30,263.0
2012-07-31,274.0
2012-08-31,284.0
2012-09-30,269.0
2012-10-31,268.0
2012-11-30,320.0
2012-12-31,267.0
2013-01-31,357.0
2013-02-28,332.0
2013-03-31,258.0
2013-04-30,280.0
2013-05-31,291.0
2013-06-30,253.0
2013-07-31,297.0
2013-08-31,249.0
2013-09-30,301.0
2013-10-31,281.0
2013-11-30,244.0
2013-12-31,262.0
2014-01-31,249.0
2014-02-28,218.0
2014-03-31,262.0
2014-04-30,241.0
2014-05-31,253.0
2014-06-30,237.0
2014-07-31,236.0
2014-08-31,224.0
2014-09-30,240.0
2014-10-31,231.0
2014-11-30,212.0
2014-12-31,204.0
2015-01-31,196.0
2015-02-28,147.0
2015-03-31,157.0
2015-04-30,160.0
2015-05-31,172.0
2015-06-30,169.0
2015-07-31,174.0
2015-08-31,197.0
2015-09-30,162.0
2015-10-31,163.0
2015-11-30,197.0
2015-12-31,175.0
2016-01-31,221.0
2016-02-29,133.0
2016-03-31,164.0
2016-04-30,168.0
2016-05-31,136.0
2016-06-30,137.0
2016-07-31,157.0
2016-08-31,149.0
2016-09-30,131.0
2016-10-31,149.0
2016-11-30,114.0
2016-12-31,147.0
2017-01-31,121.0
2017-02-28,111.0
2017-03-31,137.0
2017-04-30,174.0
2017-05-31,126.0
2017-06-30,112.0
2017-07-31,117.0
2017-08-31,110.0
2017-09-30,122.0
2017-10-31,115.0
2017-11-30,123.0
2017-12-31,124.0
2018-01-31,140.0
2018-02-28,151.0
2018-03-31,149.0
2018-04-30,148.0
2018-05-31,148.0
2018-06-30,150.0
2018-07-31,131.0
2018-08-31,147.0
2018-09-30,161.0
2018-10-31,156.0
2018-11-30,155.0
2018-12-31,171.0
2019-01-31,118.0
2019-02-28,137.0
2019-03-31,148.0
2019-04-30,119.0
2019-05-31,163.0
2019-06-30,113.0
2019-07-31,132.0
2019-08-31,118.0
2019-09-30,148.0
2019-10-31,144.0
2019-11-30,137.0
2019-12-31,135.0
2020-01-31,116.0
2020-02-29,124.0
2020-03-31,115.0
2020-04-30,124.0
2020-05-31,108.0
2020-06-30,145.0
2020-07-31,141.0
2020-08-31,157.0
2020-09-30,131.0
2020-10-31,133.0
2020-11-30,160.0
2020-12-31,130.0
2021-01-31,157.0
2021-02-28,130.0
2021-03-31,122.0
2021-04-30,133.0
2021-05-31,113.0
2021-06-30,116.0
2021-07-31,121.0
2021-08-31,135.0
2021-09-30,141.0
2021-10-31,134.0
2021-11-30,117.0
2021-12-31,141.0
2022-01-31,115.0
2022-02-28,184.0
2022-03-31,167.0
2022-04-30,183.0
2022-05-31,277.0
2022-06-30,232.0
2022-07-31,262.0
2022-08-31,262.0
2022-09-30,305.0
2022-10-31,372.0
2022-11-30,333.0
2022-12-31,369.0
2023-01-31,369.0
2023-02-28,417.0
2023-03-31,434.0
2023-04-30,402.0
2023-05-31,423.0
2023-06-30,460.0
2023-07-31,516.0
2023-08-31,442.0
2023-09-30,512.0
2023-10-31,486.0
2023-11-30,454.0
2023-12-31,413.0
2024-01-31,488.0
2024-02-29,430.0
2024-03-31,396.0
2024-04-30,448.0
2024-05-31,462.0
2024-06-30,439.0
2024-07-31,411.0
2024-08-31,404.0
2024-09-30,403.0
2024-10-31,367.0
2024-11-30,372.0
2024-12-31,356.0
2025-01-31,392.0
2025-02-28,373.0
2025-03-31,449.0
2025-04-30,400.0
2025-05-31,392.0
2025-06-30,404.0
2025-07-31,333.0
2025-08-31,370.0
2025-09-30,355.0
2025-10-31,354.0
2025-11-30,359.0
2025-12-31,341.0
2026-01-31,365.0
2026-02-28,358.0
