date,value
2010-06-30,416.0
2010-07-31,384.0
2010-08-31,375.0
2010-09-30,389.0
2010-10-31,385.0
2010-11-30,375.0
2010-12-31,381.0
2011-01-31,411.0
2011-02-28,405.0
2011-03-31,420.0
2011-04-30,437.0
2011-05-31,436.0
2011-06-30,427.0
2011-07-31,435.0
2011-08-31,421.0
2011-09-30,388.0
2011-10-31,378.0
2011-11-30,379.0
2011-12-31,383.0
2012-01-31,359.0
2012-02-29,369.0
2012-03-31,348.0
2012-04-30,335.0
2012-05-31,344.0
2012-06-30,324.0
2012-07-31,319.0
2012-08-31,293.0
2012-09-30,285.0
2012-10-31,277.0
2012-11-30,285.0
2012-12-31,277.0
2013-01-31,261.0
2013-02-28,274.0
2013-03-31,287.0
2013-04-30,265.0
2013-05-31,283.0
2013-06-30,265.0
2013-07-31,263.0
2013-08-31,276.0
2013-09-30,274.0
2013-10-31,265.0
2013-11-30,269.0
2013-12-31,261.0
2014-01-31,262.0
2014-02-28,273.0
2014-03-31,258.0
2014-04-30,256.0
2014-05-31,252.0
2014-06-30,251.0
2014-07-31,232.0
2014-08-31,221.0
2014-09-30,227.0
2014-10-31,223.0
2014-11-30,190.0
2014-12-31,212.0
2015-01-31,219.0
2015-02-28,214.0
2015-03-31,187.0
2015-04-30,207.0
2015-05-31,204.0
2015-06-30,198.0
2015-07-31,196.0
2015-08-31,189.0
2015-09-30,198.0
2015-10-31,191.0
2015-11-30,176.0
2015-12-31,203.0
2016-01-31,197.0
2016-02-29,190.0
2016-03-31,183.0
2016-04-30,170.0
2016-05-31,174.0
2016-06-30,195.0
2016-07-31,169.0
2016-08-31,159.0
2016-09-30,160.0
2016-10-31,165.0
2016-11-30,168.0
2016-12-31,164.0
2017-01-31,165.0
2017-02-28,186.0
2017-03-31,165.0
2017-04-30,156.0
2017-05-31,183.0
2017-06-30,169.0
2017-07-31,174.0
2017-08-31,160.0
2017-09-30,168.0
2017-10-31,161.0
2017-11-30,165.0
2017-12-31,178.0
2018-01-31,165.0
2018-02-28,196.0
2018-03-31,159.0
2018-04-30,173.0
2018-05-31,175.0
2018-06-30,178.0
2018-07-31,165.0
2018-08-31,160.0
2018-09-30,174.0
2018-10-31,170.0
2018-11-30,154.0
2018-12-31,158.0
2019-01-31,158.0
2019-02-28,157.0
2019-03-31,166.0
2019-04-30,157.0
2019-05-31,156.0
2019-06-30,149.0
2019-07-31,150.0
2019-08-31,139.0
2019-09-30,145.0
2019-10-31,145.0
2019-11-30,143.0
2019-12-31,149.0
2020-01-31,147.0
2020-02-29,148.0
2020-03-31,141.0
2020-04-30,138.0
2020-05-31,158.0
2020-06-30,153.0
2020-07-31,143.0
2020-08-31,141.0
2020-09-30,136.0
2020-10-31,140.0
2020-11-30,136.0
2020-12-31,143.0
2021-01-31,141.0
2021-02-28,149.0
2021-03-31,139.0
2021-04-30,133.0
2021-05-31,131.0
2021-06-30,142.0
2021-07-31,132.0
2021-08-31,133.0
2021-09-30,135.0
2021-10-31,122.0
2021-11-30,135.0
2021-12-31,131.0
2022-01-31,121.0
2022-02-28,160.0
2022-03-31,169.0
2022-04-30,201.0
2022-05-31,214.0
2022-06-30,251.0
2022-07-31,268.0
2022-08-31,277.0
2022-09-30,307.0
2022-10-31,345.0
2022-11-30,382.0
2022-12-31,417.0
2023-01-31,394.0
2023-02-28,436.0
2023-03-31,437.0
2023-04-30,458.0
2023-05-31,446.0
2023-06-30,471.0
2023-07-31,492.0
2023-08-31,507.0
2023-09-30,482.0
2023-10-31,491.0
2023-11-30,492.0
2023-12-31,491.0
2024-01-31,431.0
2024-02-29,460.0
2024-03-31,457.0
2024-04-30,448.0
2024-05-31,444.0
2024-06-30,438.0
2024-07-31,425.0
2024-08-31,448.0
2024-09-30,419.0
2024-10-31,405.0
2024-11-30,418.0
2024-12-31,410.0
2025-01-31,380.0
2025-02-28,382.0
2025-03-31,416.0
2025-04-30,419.0
2025-05-31,394.0
2025-06-30,370.0
2025-07-31,373.0
2025-08-31,385.0
2025-09-30,369.0
2025-10-31,381.0
2025-11-30,380.0
2025-12-31,391.0
2026-01-31,380.0
2026-02-28,398.0
