date,value
2010-06-30,360.75
2010-07-31,300.75
2010-08-31,322.75
2010-09-30,323.75
2010-10-31,333.75
2010-11-30,346.75
2010-12-31,328.75
2011-01-31,374.75
2011-02-28,413.75
2011-03-31,401.75
2011-04-30,385.6
2011-05-31,384.5
2011-06-30,365.5
2011-07-31,402.3467741935484
2011-08-31,409.25
2011-09-30,344.25
2011-10-31,383.25
2011-11-30,381.43333333333334
2011-12-31,398.64516129032256
2012-01-31,328.75
2012-02-29,352.75
2012-03-31,282.75
2012-04-30,294.75
2012-05-31,307.75
2012-06-30,262.75
2012-07-31,273.9193548387097
2012-08-31,284.0
2012-09-30,269.0
2012-10-31,268.0
2012-11-30,320.0
2012-12-31,267.0
2013-01-31,357.0
2013-02-28,332.0
2013-03-31,258.0
2013-04-30,280.0
2013-05-31,291.0
2013-06-30,253.0
2013-07-31,297.0
2013-08-31,249.0
2013-09-30,301.0
2013-10-31,281.0
2013-11-30,244.0
2013-12-31,262.0
2014-01-31,249.0
2014-02-28,218.0
2014-03-31,262.0
2014-04-30,241.0
2014-05-31,253.0
2014-06-30,237.06666666666666
2014-07-31,236.1
2014-08-31,224.1
2014-09-30,240.17
2014-10-31,231.2
2014-11-30,212.2
2014-12-31,204.2
2015-01-31,196.2
2015-02-28,147.2
2015-03-31,157.2
2015-04-30,160.2
2015-05-31,172.2
2015-06-30,169.2
2015-07-31,174.2
2015-08-31,197.2
2015-09-30,162.2
2015-10-31,163.2
2015-11-30,197.2
2015-12-31,175.2741935483871
2016-01-31,221.3
2016-02-29,133.3
2016-03-31,164.3516129032258
2016-04-30,168.4
2016-05-31,136.4
2016-06-30,137.4
2016-07-31,157.4
2016-08-31,149.4
2016-09-30,131.4
2016-10-31,149.4
2016-11-30,114.4
2016-12-31,147.4
2017-01-31,121.4
2017-02-28,111.4
2017-03-31,137.4
2017-04-30,174.4
2017-05-31,126.4
2017-06-30,112.4
2017-07-31,117.4
2017-08-31,110.4
2017-09-30,122.4
2017-10-31,115.4
2017-11-30,123.4
2017-12-31,124.4
2018-01-31,140.4
2018-02-28,151.4
2018-03-31,149.4
2018-04-30,148.4
2018-05-31,148.4
2018-06-30,150.4
2018-07-31,131.4
2018-08-31,147.4
2018-09-30,161.4
2018-10-31,156.4
2018-11-30,155.4
2018-12-31,171.4
2019-01-31,118.4
2019-02-28,137.4
2019-03-31,148.4
2019-04-30,119.4
2019-05-31,163.4
2019-06-30,113.4
2019-07-31,132.4
2019-08-31,118.4
2019-09-30,148.44333333333333
2019-10-31,144.5
2019-11-30,137.5
2019-12-31,135.5
2020-01-31,116.5
2020-02-29,124.5
2020-03-31,115.5
2020-04-30,124.5
2020-05-31,108.5
2020-06-30,145.5
2020-07-31,141.5
2020-08-31,157.5
2020-09-30,131.5
2020-10-31,133.5
2020-11-30,160.5
2020-12-31,130.5
2021-01-31,157.5
2021-02-28,130.5
2021-03-31,122.5
2021-04-30,133.5
2021-05-31,113.5
2021-06-30,116.5
2021-07-31,121.5
2021-08-31,135.5
2021-09-30,141.5
2021-10-31,134.5
2021-11-30,117.5
2021-12-31,141.5
2022-01-31,115.5
2022-02-28,184.5
2022-03-31,167.5
2022-04-30,183.5
2022-05-31,277.5
2022-06-30,232.5
2022-07-31,262.4193548387097
2022-08-31,262.0
2022-09-30,304.575
2022-10-31,371.25
2022-11-30,331.525
2022-12-31,367.3225806451613
2023-01-31,367.0
2023-02-28,414.625
2023-03-31,431.33870967741933
2023-04-30,399.0
2023-05-31,419.8225806451613
2023-06-30,456.6666666666667
2023-07-31,512.5
2023-08-31,438.258064516129
2023-09-30,508.15833333333336
2023-10-31,482.0
2023-11-30,450.0
2023-12-31,409.0
2024-01-31,484.0
2024-02-29,426.0
2024-03-31,392.0
2024-04-30,444.0
2024-05-31,458.0
2024-06-30,435.15833333333336
2024-07-31,407.25
2024-08-31,400.25
2024-09-30,399.35833333333335
2024-10-31,363.5725806451613
2024-11-30,368.75
2024-12-31,352.86290322580646
2025-01-31,389.0
2025-02-28,370.2142857142857
2025-03-31,446.41129032258067
2025-04-30,397.56666666666666
2025-05-31,389.75
2025-06-30,401.9166666666667
2025-07-31,331.0
2025-08-31,368.0
2025-09-30,353.0
2025-10-31,352.0
2025-11-30,357.0
2025-12-31,339.0
2026-01-31,363.0
2026-02-28,356.0
