date,value
2010-06-30,415.75
2010-07-31,383.75
2010-08-31,374.75
2010-09-30,388.75
2010-10-31,384.75
2010-11-30,374.75
2010-12-31,380.75
2011-01-31,410.75
2011-02-28,404.75
2011-03-31,419.75
2011-04-30,436.6
2011-05-31,435.5
2011-06-30,426.5
2011-07-31,434.3467741935484
2011-08-31,420.25
2011-09-30,387.25
2011-10-31,377.25
2011-11-30,378.43333333333334
2011-12-31,382.64516129032256
2012-01-31,358.75
2012-02-29,368.75
2012-03-31,347.75
2012-04-30,334.75
2012-05-31,343.75
2012-06-30,323.75
2012-07-31,318.9193548387097
2012-08-31,293.0
2012-09-30,285.0
2012-10-31,277.0
2012-11-30,285.0
2012-12-31,277.0
2013-01-31,261.0
2013-02-28,274.0
2013-03-31,287.0
2013-04-30,265.0
2013-05-31,283.0
2013-06-30,265.0
2013-07-31,263.0
2013-08-31,276.0
2013-09-30,274.0
2013-10-31,265.0
2013-11-30,269.0
2013-12-31,261.0
2014-01-31,262.0
2014-02-28,273.0
2014-03-31,258.0
2014-04-30,256.0
2014-05-31,252.0
2014-06-30,251.06666666666666
2014-07-31,232.1
2014-08-31,221.1
2014-09-30,227.17
2014-10-31,223.2
2014-11-30,190.2
2014-12-31,212.2
2015-01-31,219.2
2015-02-28,214.2
2015-03-31,187.2
2015-04-30,207.2
2015-05-31,204.2
2015-06-30,198.2
2015-07-31,196.2
2015-08-31,189.2
2015-09-30,198.2
2015-10-31,191.2
2015-11-30,176.2
2015-12-31,203.2741935483871
2016-01-31,197.3
2016-02-29,190.3
2016-03-31,183.3516129032258
2016-04-30,170.4
2016-05-31,174.4
2016-06-30,195.4
2016-07-31,169.4
2016-08-31,159.4
2016-09-30,160.4
2016-10-31,165.4
2016-11-30,168.4
2016-12-31,164.4
2017-01-31,165.4
2017-02-28,186.4
2017-03-31,165.4
2017-04-30,156.4
2017-05-31,183.4
2017-06-30,169.4
2017-07-31,174.4
2017-08-31,160.4
2017-09-30,168.4
2017-10-31,161.4
2017-11-30,165.4
2017-12-31,178.4
2018-01-31,165.4
2018-02-28,196.4
2018-03-31,159.4
2018-04-30,173.4
2018-05-31,175.4
2018-06-30,178.4
2018-07-31,165.4
2018-08-31,160.4
2018-09-30,174.4
2018-10-31,170.4
2018-11-30,154.4
2018-12-31,158.4
2019-01-31,158.4
2019-02-28,157.4
2019-03-31,166.4
2019-04-30,157.4
2019-05-31,156.4
2019-06-30,149.4
2019-07-31,150.4
2019-08-31,139.4
2019-09-30,145.44333333333333
2019-10-31,145.5
2019-11-30,143.5
2019-12-31,149.5
2020-01-31,147.5
2020-02-29,148.5
2020-03-31,141.5
2020-04-30,138.5
2020-05-31,158.5
2020-06-30,153.5
2020-07-31,143.5
2020-08-31,141.5
2020-09-30,136.5
2020-10-31,140.5
2020-11-30,136.5
2020-12-31,143.5
2021-01-31,141.5
2021-02-28,149.5
2021-03-31,139.5
2021-04-30,133.5
2021-05-31,131.5
2021-06-30,142.5
2021-07-31,132.5
2021-08-31,133.5
2021-09-30,135.5
2021-10-31,122.5
2021-11-30,135.5
2021-12-31,131.5
2022-01-31,121.5
2022-02-28,160.5
2022-03-31,169.5
2022-04-30,201.5
2022-05-31,214.5
2022-06-30,251.5
2022-07-31,268.4193548387097
2022-08-31,277.0
2022-09-30,306.575
2022-10-31,344.25
2022-11-30,380.525
2022-12-31,415.3225806451613
2023-01-31,392.0
2023-02-28,433.625
2023-03-31,434.33870967741933
2023-04-30,455.0
2023-05-31,442.8225806451613
2023-06-30,467.6666666666667
2023-07-31,488.5
2023-08-31,503.258064516129
2023-09-30,478.15833333333336
2023-10-31,487.0
2023-11-30,488.0
2023-12-31,487.0
2024-01-31,427.0
2024-02-29,456.0
2024-03-31,453.0
2024-04-30,444.0
2024-05-31,440.0
2024-06-30,434.15833333333336
2024-07-31,421.25
2024-08-31,444.25
2024-09-30,415.35833333333335
2024-10-31,401.5725806451613
2024-11-30,414.75
2024-12-31,406.86290322580646
2025-01-31,377.0
2025-02-28,379.2142857142857
2025-03-31,413.41129032258067
2025-04-30,416.56666666666666
2025-05-31,391.75
2025-06-30,367.9166666666667
2025-07-31,371.0
2025-08-31,383.0
2025-09-30,367.0
2025-10-31,379.0
2025-11-30,378.0
2025-12-31,389.0
2026-01-31,378.0
2026-02-28,396.0
