date,value
1994-01-31,79.97
1994-02-28,80.31
1994-03-31,81.89
1994-04-30,82.25
1994-05-31,83.38
1994-06-30,84.21
1994-07-31,85.49
1994-08-31,85.92
1994-09-30,86.04
1994-10-31,86.82
1994-11-30,86.68
1994-12-31,86.57
1995-01-31,88.01
1995-02-28,89.18
1995-03-31,92.72
1995-04-30,93.0
1995-05-31,91.85
1995-06-30,91.81
1995-07-31,92.13
1995-08-31,90.74
1995-09-30,90.75
1995-10-31,92.45
1995-11-30,92.41
1995-12-31,91.92
1996-01-31,91.49
1996-02-29,91.59
1996-03-31,91.2
1996-04-30,90.38
1996-05-31,89.63
1996-06-30,89.95
1996-07-31,90.67
1996-08-31,91.43
1996-09-30,90.81
1996-10-31,90.2
1996-11-30,90.57
1996-12-31,89.77
1997-01-31,88.9
1997-02-28,88.17
1997-03-31,88.09
1997-04-30,87.82
1997-05-31,87.87
1997-06-30,87.22
1997-07-31,86.0
1997-08-31,85.76
1997-09-30,87.13
1997-10-31,88.06
1997-11-30,88.93
1997-12-31,89.28
1998-01-31,89.57
1998-02-28,89.24
1998-03-31,88.89
1998-04-30,89.24
1998-05-31,90.53
1998-06-30,90.82
1998-07-31,90.79
1998-08-31,91.57
1998-09-30,93.63
1998-10-31,94.32
1998-11-30,93.33
1998-12-31,93.7
1999-01-31,93.58
1999-02-28,92.95
1999-03-31,92.32
1999-04-30,91.69
1999-05-31,91.41
1999-06-30,90.47
1999-07-31,90.39
1999-08-31,91.11
1999-09-30,90.59
1999-10-31,91.26
1999-11-30,90.04
1999-12-31,89.08
2000-01-31,89.18
2000-02-29,88.47
2000-03-31,87.66
2000-04-30,87.04
2000-05-31,86.18
2000-06-30,87.76
2000-07-31,87.45
2000-08-31,86.16
2000-09-30,85.19
2000-10-31,84.74
2000-11-30,85.03
2000-12-31,86.72
2001-01-31,88.59
2001-02-28,88.17
2001-03-31,88.32
2001-04-30,88.1
2001-05-31,87.14
2001-06-30,86.41
2001-07-31,87.03
2001-08-31,88.52
2001-09-30,88.98
2001-10-31,89.01
2001-11-30,88.16
2001-12-31,88.4
2002-01-31,88.14
2002-02-28,87.77
2002-03-31,87.82
2002-04-30,87.94
2002-05-31,89.02
2002-06-30,90.45
2002-07-31,91.56
2002-08-31,91.32
2002-09-30,91.43
2002-10-31,91.66
2002-11-30,92.0
2002-12-31,92.55
2003-01-31,93.92
2003-02-28,94.62
2003-03-31,94.97
2003-04-30,95.01
2003-05-31,96.84
2003-06-30,97.16
2003-07-31,96.42
2003-08-31,95.79
2003-09-30,95.76
2003-10-31,96.84
2003-11-30,96.89
2003-12-31,98.45
2004-01-31,99.09
2004-02-29,99.11
2004-03-31,98.02
2004-04-30,97.13
2004-05-31,97.69
2004-06-30,97.68
2004-07-31,97.85
2004-08-31,97.77
2004-09-30,97.9
2004-10-31,98.44
2004-11-30,99.11
2004-12-31,99.7
2005-01-31,98.9
2005-02-28,98.35
2005-03-31,98.81
2005-04-30,98.45
2005-05-31,97.81
2005-06-30,96.32
2005-07-31,96.34
2005-08-31,96.61
2005-09-30,96.33
2005-10-31,96.09
2005-11-30,95.6
2005-12-31,95.56
2006-01-31,95.83
2006-02-28,95.3
2006-03-31,95.76
2006-04-30,96.36
2006-05-31,97.31
2006-06-30,97.68
2006-07-31,97.75
2006-08-31,97.73
2006-09-30,97.65
2006-10-31,97.25
2006-11-30,97.51
2006-12-31,98.02
2007-01-31,97.64
2007-02-28,97.81
2007-03-31,98.15
2007-04-30,98.55
2007-05-31,98.46
2007-06-30,98.25
2007-07-31,98.53
2007-08-31,98.48
2007-09-30,98.92
2007-10-31,99.29
2007-11-30,100.05
2007-12-31,99.92
2008-01-31,100.06
2008-02-29,99.89
2008-03-31,101.39
2008-04-30,101.89
2008-05-31,101.46
2008-06-30,101.23
2008-07-31,101.23
2008-08-31,99.84
2008-09-30,99.12
2008-10-31,97.83
2008-11-30,97.28
2008-12-31,99.91
2009-01-31,100.02
2009-02-28,99.82
2009-03-31,100.93
2009-04-30,100.33
2009-05-31,100.64
2009-06-30,101.36
2009-07-31,101.18
2009-08-31,101.21
2009-09-30,101.78
2009-10-31,102.22
2009-11-30,102.25
2009-12-31,101.62
2010-01-31,100.38
2010-02-28,98.91
2010-03-31,98.25
2010-04-30,97.46
2010-05-31,95.73
2010-06-30,94.7
2010-07-31,95.8
2010-08-31,95.63
2010-09-30,95.76
2010-10-31,97.59
2010-11-30,96.98
2010-12-31,95.8
2011-01-31,95.72
2011-02-28,96.47
2011-03-31,97.38
2011-04-30,98.25
2011-05-31,97.78
2011-06-30,97.83
2011-07-31,97.29
2011-08-31,97.53
2011-09-30,97.07
2011-10-31,97.35
2011-11-30,97.14
2011-12-31,96.18
2012-01-31,94.95
2012-02-29,95.15
2012-03-31,95.29
2012-04-30,95.21
2012-05-31,94.58
2012-06-30,94.22
2012-07-31,93.08
2012-08-31,93.05
2012-09-30,94.28
2012-10-31,94.57
2012-11-30,94.26
2012-12-31,95.1
2013-01-31,95.93
2013-02-28,96.51
2013-03-31,95.59
2013-04-30,95.73
2013-05-31,95.82
2013-06-30,96.88
2013-07-31,96.85
2013-08-31,97.59
2013-09-30,97.61
2013-10-31,98.07
2013-11-30,98.08
2013-12-31,98.94
2014-01-31,98.97
2014-02-28,99.17
2014-03-31,99.83
2014-04-30,99.63
2014-05-31,99.19
2014-06-30,98.69
2014-07-31,98.43
2014-08-31,98.04
2014-09-30,97.07
2014-10-31,96.68
2014-11-30,96.63
2014-12-31,97.01
2015-01-31,94.83
2015-02-28,93.71
2015-03-31,91.99
2015-04-30,91.36
2015-05-31,92.58
2015-06-30,93.24
2015-07-31,92.7
2015-08-31,94.19
2015-09-30,95.0
2015-10-31,94.73
2015-11-30,93.08
2015-12-31,94.16
2016-01-31,95.02
2016-02-29,95.74
2016-03-31,95.1
2016-04-30,95.49
2016-05-31,95.76
2016-06-30,95.51
2016-07-31,95.29
2016-08-31,95.49
2016-09-30,95.64
2016-10-31,95.46
2016-11-30,95.31
2016-12-31,94.81
2017-01-31,94.98
2017-02-28,94.55
2017-03-31,94.74
2017-04-30,94.53
2017-05-31,95.73
2017-06-30,96.17
2017-07-31,97.14
2017-08-31,98.01
2017-09-30,98.05
2017-10-31,97.93
2017-11-30,97.97
2017-12-31,98.14
2018-01-31,98.5
2018-02-28,98.68
2018-03-31,98.8
2018-04-30,98.8
2018-05-31,98.16
2018-06-30,98.17
2018-07-31,98.96
2018-08-31,99.17
2018-09-30,99.83
2018-10-31,99.25
2018-11-30,98.74
2018-12-31,98.73
2019-01-31,98.36
2019-02-28,98.0
2019-03-31,97.79
2019-04-30,97.72
2019-05-31,98.14
2019-06-30,98.36
2019-07-31,97.89
2019-08-31,98.41
2019-09-30,98.01
2019-10-31,98.01
2019-11-30,97.7
2019-12-31,97.74
2020-01-31,97.42
2020-02-29,97.09
2020-03-31,99.26
2020-04-30,99.24
2020-05-31,99.28
2020-06-30,99.99
2020-07-31,100.56
2020-08-31,101.59
2020-09-30,101.55
2020-10-31,101.47
2020-11-30,100.95
2020-12-31,101.59
2021-01-31,101.32
2021-02-28,100.9
2021-03-31,100.93
2021-04-30,101.15
2021-05-31,101.31
2021-06-30,100.91
2021-07-31,100.61
2021-08-31,100.38
2021-09-30,100.36
2021-10-31,99.94
2021-11-30,99.59
2021-12-31,99.63
2022-01-31,99.35
2022-02-28,99.48
2022-03-31,99.27
2022-04-30,98.32
2022-05-31,98.39
2022-06-30,98.61
2022-07-31,97.61
2022-08-31,97.36
2022-09-30,97.61
2022-10-31,98.2
2022-11-30,99.05
2022-12-31,99.91
2023-01-31,100.02
2023-02-28,100.06
2023-03-31,100.3
2023-04-30,101.13
2023-05-31,100.98
2023-06-30,101.49
2023-07-31,102.54
2023-08-31,102.6
2023-09-30,102.28
2023-10-31,102.06
2023-11-30,102.42
2023-12-31,102.32
2024-01-31,102.52
2024-02-29,102.46
2024-03-31,102.92
2024-04-30,102.81
2024-05-31,102.96
2024-06-30,102.89
2024-07-31,103.31
2024-08-31,103.41
2024-09-30,103.37
2024-10-31,103.05
2024-11-30,102.68
2024-12-31,102.31
2025-01-31,102.09
2025-02-28,101.82
2025-03-31,103.17
2025-04-30,104.84
2025-05-31,104.4
2025-06-30,105.1
2025-07-31,105.77
2025-08-31,105.75
2025-09-30,105.99
2025-10-31,105.72
2025-11-30,105.58
2025-12-31,105.91
2026-01-31,105.66
2026-02-28,105.58
