date,value
1976-01-31,
1976-02-29,
1976-03-31,
1976-04-30,
1976-05-31,
1976-06-30,
1976-07-31,
1976-08-31,
1976-09-30,
1976-10-31,
1976-11-30,
1976-12-31,
1977-01-31,
1977-02-28,
1977-03-31,
1977-04-30,
1977-05-31,
1977-06-30,
1977-07-31,
1977-08-31,
1977-09-30,
1977-10-31,
1977-11-30,
1977-12-31,
1978-01-31,
1978-02-28,
1978-03-31,
1978-04-30,
1978-05-31,
1978-06-30,
1978-07-31,
1978-08-31,
1978-09-30,
1978-10-31,
1978-11-30,
1978-12-31,
1979-01-31,
1979-02-28,
1979-03-31,
1979-04-30,
1979-05-31,
1979-06-30,
1979-07-31,
1979-08-31,
1979-09-30,
1979-10-31,
1979-11-30,
1979-12-31,
1980-01-31,
1980-02-29,
1980-03-31,
1980-04-30,
1980-05-31,
1980-06-30,
1980-07-31,
1980-08-31,
1980-09-30,
1980-10-31,
1980-11-30,
1980-12-31,
1981-01-31,
1981-02-28,
1981-03-31,
1981-04-30,
1981-05-31,
1981-06-30,
1981-07-31,
1981-08-31,
1981-09-30,
1981-10-31,
1981-11-30,
1981-12-31,
1982-01-31,
1982-02-28,
1982-03-31,
1982-04-30,
1982-05-31,
1982-06-30,
1982-07-31,
1982-08-31,
1982-09-30,
1982-10-31,
1982-11-30,
1982-12-31,
1983-01-31,
1983-02-28,
1983-03-31,
1983-04-30,
1983-05-31,
1983-06-30,
1983-07-31,
1983-08-31,
1983-09-30,
1983-10-31,
1983-11-30,
1983-12-31,
1984-01-31,
1984-02-29,
1984-03-31,
1984-04-30,
1984-05-31,
1984-06-30,
1984-07-31,
1984-08-31,
1984-09-30,
1984-10-31,
1984-11-30,
1984-12-31,
1985-01-31,
1985-02-28,
1985-03-31,
1985-04-30,
1985-05-31,
1985-06-30,
1985-07-31,
1985-08-31,
1985-09-30,
1985-10-31,
1985-11-30,
1985-12-31,
1986-01-31,
1986-02-28,
1986-03-31,
1986-04-30,
1986-05-31,
1986-06-30,
1986-07-31,
1986-08-31,
1986-09-30,
1986-10-31,
1986-11-30,
1986-12-31,
1987-01-31,
1987-02-28,
1987-03-31,
1987-04-30,
1987-05-31,
1987-06-30,
1987-07-31,
1987-08-31,
1987-09-30,
1987-10-31,
1987-11-30,
1987-12-31,
1988-01-31,
1988-02-29,
1988-03-31,
1988-04-30,
1988-05-31,
1988-06-30,
1988-07-31,
1988-08-31,
1988-09-30,
1988-10-31,
1988-11-30,
1988-12-31,
1989-01-31,
1989-02-28,
1989-03-31,
1989-04-30,
1989-05-31,
1989-06-30,
1989-07-31,
1989-08-31,
1989-09-30,
1989-10-31,
1989-11-30,
1989-12-31,
1990-01-31,
1990-02-28,
1990-03-31,
1990-04-30,
1990-05-31,
1990-06-30,
1990-07-31,
1990-08-31,
1990-09-30,
1990-10-31,
1990-11-30,
1990-12-31,
1991-01-31,
1991-02-28,
1991-03-31,
1991-04-30,
1991-05-31,
1991-06-30,
1991-07-31,
1991-08-31,
1991-09-30,
1991-10-31,
1991-11-30,
1991-12-31,
1992-01-31,
1992-02-29,
1992-03-31,
1992-04-30,
1992-05-31,
1992-06-30,
1992-07-31,
1992-08-31,
1992-09-30,
1992-10-31,
1992-11-30,
1992-12-31,
1993-01-31,
1993-02-28,
1993-03-31,
1993-04-30,
1993-05-31,
1993-06-30,
1993-07-31,
1993-08-31,
1993-09-30,
1993-10-31,
1993-11-30,
1993-12-31,
1994-01-31,
1994-02-28,
1994-03-31,
1994-04-30,
1994-05-31,
1994-06-30,
1994-07-31,
1994-08-31,
1994-09-30,
1994-10-31,
1994-11-30,
1994-12-31,
1995-01-31,83.82410202581316
1995-02-28,83.95627810153785
1995-03-31,84.03968822076827
1995-04-30,84.17074385377578
1995-05-31,84.17183668901339
1995-06-30,84.17183668901339
1995-07-31,84.25415635337161
1995-08-31,84.34189916539589
1995-09-30,84.42846585057141
1995-10-31,84.55635180436592
1995-11-30,84.60079667040701
1995-12-31,84.60079667040701
1996-01-31,84.7762820435086
1996-02-29,84.82070241964733
1996-03-31,84.82070241964733
1996-04-30,84.90844450915846
1996-05-31,85.03517864458777
1996-06-30,85.07295396290887
1996-07-31,84.98953446433696
1996-08-31,84.98953446433696
1996-09-30,85.07295396290887
1996-10-31,85.07295396290887
1996-11-30,85.16069828029745
1996-12-31,85.20393803849375
1997-01-31,85.29168297927485
1997-02-28,85.375104782208
1997-03-31,85.32920942876702
1997-04-30,85.54204626959257
1997-05-31,85.80098274484371
1997-06-30,85.75786450364399
1997-07-31,85.80098274484371
1997-08-31,85.88715428684418
1997-09-30,86.05991829419408
1997-10-31,86.14766703948125
1997-11-30,86.19076889190002
1997-12-31,86.14609888688256
1998-01-31,86.18915686872187
1998-02-28,86.18915686872187
1998-03-31,86.19076889190002
1998-04-30,86.2800395205847
1998-05-31,86.3692178798118
1998-06-30,86.41377254766029
1998-07-31,86.41377254766029
1998-08-31,86.37055917667888
1998-09-30,86.33286124602253
1998-10-31,86.20290052015808
1998-11-30,86.12049062384447
1998-12-31,86.12049062384447
1999-01-31,86.03274994887062
1999-02-28,85.99368656873006
1999-03-31,85.99455483662624
1999-04-30,85.95108591870112
1999-05-31,85.95108591870112
1999-06-30,85.99455483662624
1999-07-31,85.99455483662624
1999-08-31,86.03882488065854
1999-09-30,86.03882488065854
1999-10-31,86.12139783426245
1999-11-30,86.0822942033331
1999-12-31,86.0822942033331
2000-01-31,86.10916980049146
2000-02-29,86.2846473793919
2000-03-31,86.24038749067343
2000-04-30,86.23860234130449
2000-05-31,86.41305992507628
2000-06-30,86.54412816049067
2000-07-31,86.67517581510883
2000-08-31,86.6726891328302
2000-09-30,86.80363137608248
2000-10-31,86.84680652492275
2000-11-30,87.02084089890475
2000-12-31,87.10704284267497
2001-01-31,87.27919131661251
2001-02-28,87.41169073129883
2001-03-31,87.8000554921979
2001-04-30,87.88575590839581
2001-05-31,88.05690652018338
2001-06-30,88.27744135323861
2001-07-31,88.27962124875876
2001-08-31,88.3266067122614
2001-09-30,88.3266067122614
2001-10-31,88.41436508894004
2001-11-30,88.23884829009619
2001-12-31,88.23884829009619
2002-01-31,88.67763994740729
2002-02-28,88.72441463385489
2002-03-31,88.68145921393996
2002-04-30,88.72250594569766
2002-05-31,88.81216994629206
2002-06-30,88.72623652515674
2002-07-31,88.68323858876914
2002-08-31,88.72797162494986
2002-09-30,88.72797162494986
2002-10-31,88.77099125008354
2002-11-30,88.77099125008354
2002-12-31,88.77099125008354
2003-01-31,88.85315629475254
2003-02-28,88.85112042144931
2003-03-31,88.85510549143794
2003-04-30,88.89802029977984
2003-05-31,88.85510549143794
2003-06-30,88.89992521963056
2003-07-31,88.89802029977984
2003-08-31,88.94286167478762
2003-09-30,89.11643048097937
2003-10-31,89.07154685663596
2003-11-30,89.11643048097937
2003-12-31,88.98768045398617
2004-01-31,88.94286167478762
2004-02-29,88.85315629475254
2004-03-31,89.24059582849098
2004-04-30,89.28561000327203
2004-05-31,89.28780839020081
2004-06-30,89.3306014951691
2004-07-31,89.41836448517452
2004-08-31,89.42051656724722
2004-09-30,89.50827739324525
2004-10-31,89.55319999451417
2004-11-30,89.59810007253925
2004-12-31,89.98545446781863
2005-01-31,90.16542555654571
2005-02-28,90.07548496004017
2005-03-31,90.16565097185658
2005-04-30,89.98545446781863
2005-05-31,90.03048096774307
2005-06-30,90.03057126908286
2005-07-31,89.9854996410921
2005-08-31,90.07566547239585
2005-09-30,90.25581698331234
2005-10-31,90.3007987040133
2005-11-30,90.34575802903133
2005-12-31,90.43592426406293
2006-01-31,90.43592426406293
2006-02-28,90.43560962560814
2006-03-31,90.5257761732243
2006-04-30,90.70570593381613
2006-05-31,90.66038706716823
2006-06-30,90.75001673519482
2006-07-31,90.79479838940573
2006-08-31,90.83955796737189
2006-09-30,90.88496639708472
2006-10-31,91.1554703942886
2006-11-30,91.11068755179495
2006-12-31,91.1554703942886
2007-01-31,91.20139010044065
2007-02-28,91.29102293789755
2007-03-31,91.33638493967224
2007-04-30,91.38119062543791
2007-05-31,91.4707361546406
2007-06-30,91.64956474403138
2007-07-31,91.8280450781183
2007-08-31,92.09511702862808
2007-09-30,92.31853983808067
2007-10-31,92.67464158149015
2007-11-30,92.7188882498413
2007-12-31,92.80731830165314
2008-01-31,93.11616214463878
2008-02-29,93.33840386626584
2008-03-31,93.47257377171334
2008-04-30,93.51879012745283
2008-05-31,93.65517562369675
2008-06-30,93.83335007475712
2008-07-31,94.1894646674096
2008-08-31,94.4137437297398
2008-09-30,94.46005903482117
2008-10-31,94.55490009483314
2008-11-30,94.29065672743599
2008-12-31,93.97970366437796
2009-01-31,93.94029158340201
2009-02-28,93.98610494461518
2009-03-31,93.89731313930046
2009-04-30,93.94171953248478
2009-05-31,93.85154305949631
2009-06-30,93.89592780686253
2009-07-31,93.80427729423928
2009-08-31,93.80427729423928
2009-09-30,93.66975797888419
2009-10-31,93.53521903785486
2009-11-30,93.62392007157416
2009-12-31,93.66823908947488
2010-01-31,93.71253714779864
2010-02-28,93.75995052657093
2010-03-31,93.8069597802272
2010-04-30,93.90176218924209
2010-05-31,94.23277223673256
2010-06-30,94.56300073600765
2010-07-31,94.56318929689215
2010-08-31,94.7047395778489
2010-09-30,94.79916142824574
2010-10-31,94.79930249664208
2010-11-30,94.89334839775523
2010-12-31,95.17586526010597
2011-01-31,95.50610008956204
2011-02-28,95.78936925339138
2011-03-31,95.93013254645331
2011-04-30,96.21192161459581
2011-05-31,96.39989369767811
2011-06-30,96.54105968940318
2011-07-31,96.7288990946244
2011-08-31,96.7288990946244
2011-09-30,96.82222173967298
2011-10-31,96.96327858313303
2011-11-30,97.1508981355852
2011-12-31,97.2918908161851
2012-01-31,97.5751837691395
2012-02-29,97.7612186068082
2012-03-31,97.85565224735757
2012-04-30,98.09097505031497
2012-05-31,97.99804184607773
2012-06-30,98.04597437124568
2012-07-31,98.13895303070902
2012-08-31,98.37101519683317
2012-09-30,98.50999009334392
2012-10-31,98.65071226247605
2012-11-30,98.74321177858977
2012-12-31,98.74321177858977
2013-01-31,98.93588164331635
2013-02-28,98.93588164331635
2013-03-31,98.98218910274095
2013-04-30,99.07662880088976
2013-05-31,99.16918055278603
2013-06-30,99.26362197850364
