date,value
1926-01-31,16.8
1926-02-28,16.8
1926-03-31,16.6
1926-04-30,16.2
1926-05-31,16.0
1926-06-30,16.1
1926-07-31,16.5
1926-08-31,16.8
1926-09-30,16.8
1926-10-31,16.6
1926-11-30,16.4
1926-12-31,16.0
1927-01-31,15.7
1927-02-28,15.5
1927-03-31,15.8
1927-04-30,15.5
1927-05-31,15.2
1927-06-30,15.0
1927-07-31,14.9
1927-08-31,15.4
1927-09-30,15.1
1927-10-31,15.0
1927-11-30,15.1
1927-12-31,15.4
1928-01-31,15.3
1928-02-29,15.1
1928-03-31,15.0
1928-04-30,15.2
1928-05-31,15.3
1928-06-30,15.4
1928-07-31,15.4
1928-08-31,15.4
1928-09-30,15.6
1928-10-31,15.9
1928-11-30,16.2
1928-12-31,16.2
1929-01-31,16.7
1929-02-28,17.4
1929-03-31,19.3
1929-04-30,18.6
1929-05-31,17.4
1929-06-30,17.4
1929-07-31,17.4
1929-08-31,17.4
1929-09-30,17.3
1929-10-31,17.3
1929-11-30,17.0
1929-12-31,16.8
1930-01-31,16.7
1930-02-28,16.7
1930-03-31,16.4
1930-04-30,15.1
1930-05-31,13.5
1930-06-30,13.2
1930-07-31,12.4
1930-08-31,12.3
1930-09-30,12.1
1930-10-31,11.5
1930-11-30,11.6
1930-12-31,11.8
1931-01-31,11.5
1931-02-28,11.3
1931-03-31,11.4
1931-04-30,11.1
1931-05-31,10.4
1931-06-30,10.1
1931-07-31,10.1
1931-08-31,9.9
1931-09-30,9.7
1931-10-31,9.1
1931-11-30,9.0
1931-12-31,8.9
1932-01-31,9.1
1932-02-29,8.7
1932-03-31,8.3
1932-04-30,8.1
1932-05-31,7.9
1932-06-30,7.9
1932-07-31,7.7
1932-08-31,8.0
1932-09-30,8.5
1932-10-31,8.3
1932-11-30,8.1
1932-12-31,7.9
1933-01-31,7.7
1933-02-28,7.6
1933-03-31,7.9
1933-04-30,8.1
1933-05-31,9.3
1933-06-30,10.4
1933-07-31,11.2
1933-08-31,11.2
1933-09-30,11.3
1933-10-31,11.0
1933-11-30,11.2
1933-12-31,11.0
1934-01-31,10.9
1934-02-28,10.8
1934-03-31,10.9
1934-04-30,11.2
1934-05-31,11.2
