date,value
1985-01-31,35.7
1985-02-28,36.6
1985-03-31,38.7
1985-04-30,40.6
1985-05-31,38.5
1985-06-30,39.4
1985-07-31,35.0
1985-08-31,36.1
1985-09-30,32.3
1985-10-31,35.3
1985-11-30,35.4
1985-12-31,34.7
1986-01-31,31.8
1986-02-28,29.0
1986-03-31,24.9
1986-04-30,20.7
1986-05-31,16.7
1986-06-30,14.9
1986-07-31,13.4
1986-08-31,12.5
1986-09-30,12.0
1986-10-31,10.4
1986-11-30,11.8
1986-12-31,13.7
1987-01-31,12.7
1987-02-28,18.2
1987-03-31,13.5
1987-04-30,16.9
1987-05-31,20.0
1987-06-30,24.7
1987-07-31,28.4
1987-08-31,29.9
1987-09-30,29.4
1987-10-31,28.5
1987-11-30,32.1
1987-12-31,38.2
1988-01-31,35.3
1988-02-29,32.5
1988-03-31,31.4
1988-04-30,29.8
1988-05-31,33.4
1988-06-30,38.3
1988-07-31,41.1
1988-08-31,39.7
1988-09-30,33.4
1988-10-31,33.5
1988-11-30,36.2
1988-12-31,41.4
1989-01-31,41.7
1989-02-28,41.7
1989-03-31,43.5
1989-04-30,47.7
1989-05-31,43.5
1989-06-30,37.3
1989-07-31,35.2
1989-08-31,35.9
1989-09-30,37.0
1989-10-31,40.2
1989-11-30,42.6
1989-12-31,42.1
1990-01-31,46.2
1990-02-28,48.7
1990-03-31,55.4
1990-04-30,55.7
1990-05-31,56.4
1990-06-30,55.6
1990-07-31,53.6
1990-08-31,55.4
1990-09-30,61.6
1990-10-31,62.7
1990-11-30,61.6
1990-12-31,56.7
1991-01-31,67.3
1991-02-28,70.1
1991-03-31,72.7
1991-04-30,62.7
1991-05-31,66.1
1991-06-30,65.0
1991-07-31,69.2
1991-08-31,68.5
1991-09-30,62.8
1991-10-31,57.1
1991-11-30,58.1
1991-12-31,59.6
1992-01-31,57.8
1992-02-29,60.0
1992-03-31,59.8
1992-04-30,61.9
1992-05-31,63.1
1992-06-30,58.7
1992-07-31,55.2
1992-08-31,55.3
1992-09-30,56.2
1992-10-31,58.1
1992-11-30,63.6
1992-12-31,63.9
1993-01-31,65.8
1993-02-28,63.8
1993-03-31,63.9
1993-04-30,60.4
1993-05-31,57.6
1993-06-30,56.9
1993-07-31,60.3
1993-08-31,57.0
1993-09-30,56.2
1993-10-31,56.6
1993-11-30,55.3
1993-12-31,54.4
1994-01-31,55.2
1994-02-28,51.3
1994-03-31,50.4
1994-04-30,46.9
1994-05-31,47.8
1994-06-30,44.5
1994-07-31,45.0
1994-08-31,44.2
1994-09-30,46.7
1994-10-31,43.2
1994-11-30,45.2
1994-12-31,45.7
1995-01-31,47.4
1995-02-28,47.0
1995-03-31,47.7
1995-04-30,45.7
1995-05-31,44.4
1995-06-30,44.7
1995-07-31,45.7
1995-08-31,45.8
1995-09-30,43.9
1995-10-31,46.6
1995-11-30,45.0
1995-12-31,46.5
1996-01-31,49.2
1996-02-29,46.2
1996-03-31,44.1
1996-04-30,46.7
1996-05-31,46.0
1996-06-30,44.0
1996-07-31,44.2
1996-08-31,44.0
1996-09-30,42.4
1996-10-31,43.6
1996-11-30,45.1
1996-12-31,47.5
1997-01-31,45.0
1997-02-28,44.9
1997-03-31,44.4
1997-04-30,43.6
1997-05-31,44.6
1997-06-30,45.8
1997-07-31,45.7
1997-08-31,43.6
1997-09-30,46.0
1997-10-31,46.2
1997-11-30,48.0
1997-12-31,47.8
1998-01-31,51.9
1998-02-28,50.1
1998-03-31,47.7
1998-04-30,53.5
1998-05-31,43.2
1998-06-30,41.1
1998-07-31,37.2
1998-08-31,35.5
1998-09-30,34.5
1998-10-31,34.9
1998-11-30,38.2
1998-12-31,39.4
1999-01-31,33.8
1999-02-28,33.7
1999-03-31,37.2
1999-04-30,52.8
1999-05-31,45.4
1999-06-30,46.9
1999-07-31,44.2
1999-08-31,39.4
1999-09-30,43.2
1999-10-31,45.1
1999-11-30,39.8
1999-12-31,44.5
2000-01-31,48.0
2000-02-29,41.9
2000-03-31,44.4
2000-04-30,40.1
2000-05-31,40.0
2000-06-30,49.3
2000-07-31,43.3
2000-08-31,40.7
2000-09-30,45.9
2000-10-31,46.5
2000-11-30,50.2
2000-12-31,50.7
2001-01-31,48.6
2001-02-28,50.5
2001-03-31,48.7
2001-04-30,50.8
2001-05-31,57.1
2001-06-30,58.9
2001-07-31,52.8
2001-08-31,55.4
2001-09-30,53.5
2001-10-31,58.0
2001-11-30,56.4
2001-12-31,56.6
2002-01-31,46.2
2002-02-28,41.0
2002-03-31,34.6
2002-04-30,35.5
2002-05-31,29.4
2002-06-30,26.1
2002-07-31,21.4
2002-08-31,25.9
2002-09-30,23.1
2002-10-31,27.8
2002-11-30,32.4
2002-12-31,30.2
2003-01-31,29.8
2003-02-28,32.0
2003-03-31,32.8
2003-04-30,31.9
2003-05-31,23.4
2003-06-30,21.8
2003-07-31,19.0
2003-08-31,25.2
2003-09-30,28.1
2003-10-31,23.3
2003-11-30,24.7
2003-12-31,22.0
2004-01-31,24.6
2004-02-29,22.3
2004-03-31,22.1
2004-04-30,19.6
2004-05-31,25.2
2004-06-30,25.1
2004-07-31,22.3
2004-08-31,24.6
2004-09-30,23.7
2004-10-31,24.2
2004-11-30,21.5
2004-12-31,19.6
2005-01-31,21.7
2005-02-28,21.0
2005-03-31,20.8
2005-04-30,20.8
2005-05-31,20.4
2005-06-30,22.3
2005-07-31,28.6
2005-08-31,26.4
2005-09-30,31.1
2005-10-31,29.5
2005-11-30,36.3
2005-12-31,33.2
2006-01-31,27.4
2006-02-28,31.5
2006-03-31,32.5
2006-04-30,37.1
2006-05-31,44.2
2006-06-30,52.5
2006-07-31,53.5
2006-08-31,59.4
2006-09-30,61.2
2006-10-31,66.0
2006-11-30,66.7
2006-12-31,64.2
2007-01-31,49.8
2007-02-28,35.9
2007-03-31,30.0
2007-04-30,28.3
2007-05-31,29.4
2007-06-30,29.8
2007-07-31,27.9
2007-08-31,55.0
2007-09-30,53.7
2007-10-31,50.6
2007-11-30,50.1
2007-12-31,42.7
2008-01-31,43.5
2008-02-29,41.2
2008-03-31,42.7
2008-04-30,41.6
2008-05-31,46.4
2008-06-30,55.3
2008-07-31,53.3
2008-08-31,46.4
2008-09-30,41.9
2008-10-31,45.3
2008-11-30,30.4
2008-12-31,24.3
2009-01-31,26.0
2009-02-28,16.0
2009-03-31,16.8
2009-04-30,15.4
2009-05-31,9.2
2009-06-30,11.1
2009-07-31,8.5
2009-08-31,-0.1
2009-09-30,2.1
2009-10-31,3.7
2009-11-30,8.3
2009-12-31,11.9
2010-01-31,14.6
2010-02-28,13.5
2010-03-31,14.8
2010-04-30,18.2
2010-05-31,24.1
2010-06-30,29.2
2010-07-31,22.2
2010-08-31,22.3
2010-09-30,24.1
2010-10-31,20.9
2010-11-30,23.2
2010-12-31,26.7
2011-01-31,35.1
2011-02-28,37.5
2011-03-31,38.7
2011-04-30,42.2
2011-05-31,43.3
2011-06-30,41.1
2011-07-31,40.2
2011-08-31,40.0
2011-09-30,39.5
2011-10-31,40.7
2011-11-30,41.7
2011-12-31,41.6
2012-01-31,37.5
2012-02-29,39.9
2012-03-31,41.5
2012-04-30,42.9
2012-05-31,35.5
2012-06-30,36.2
2012-07-31,37.5
2012-08-31,38.1
2012-09-30,41.3
2012-10-31,43.9
2012-11-30,43.3
2012-12-31,43.4
2013-01-31,40.8
2013-02-28,38.7
2013-03-31,38.9
2013-04-30,40.3
2013-05-31,35.0
2013-06-30,35.9
