date,value
1996-01-31,69.6
1996-02-29,69.8
1996-03-31,69.8
1996-04-30,69.8
1996-05-31,69.8
1996-06-30,69.8
1996-07-31,69.9
1996-08-31,69.9
1996-09-30,70.0
1996-10-31,70.1
1996-11-30,70.1
1996-12-31,70.1
1997-01-31,70.3
1997-02-28,70.3
1997-03-31,70.2
1997-04-30,70.2
1997-05-31,70.3
1997-06-30,70.3
1997-07-31,70.5
1997-08-31,70.9
1997-09-30,71.2
1997-10-31,71.2
1997-11-30,71.2
1997-12-31,71.3
1998-01-31,71.8
1998-02-28,72.0
1998-03-31,72.0
1998-04-30,72.5
1998-05-31,72.6
1998-06-30,72.6
1998-07-31,72.9
1998-08-31,73.1
1998-09-30,73.2
1998-10-31,73.3
1998-11-30,73.3
1998-12-31,73.3
1999-01-31,73.4
1999-02-28,73.4
1999-03-31,73.4
1999-04-30,73.4
1999-05-31,73.6
1999-06-30,73.6
1999-07-31,73.7
1999-08-31,73.7
1999-09-30,73.8
1999-10-31,73.8
1999-11-30,73.8
1999-12-31,73.8
2000-01-31,73.8
2000-02-29,73.9
2000-03-31,73.9
2000-04-30,74.1
2000-05-31,74.1
2000-06-30,74.2
2000-07-31,74.3
2000-08-31,74.3
2000-09-30,74.3
2000-10-31,74.4
2000-11-30,74.4
2000-12-31,74.5
2001-01-31,74.6
2001-02-28,74.8
2001-03-31,74.8
2001-04-30,74.9
2001-05-31,75.0
2001-06-30,75.0
2001-07-31,75.1
2001-08-31,75.2
2001-09-30,75.2
2001-10-31,75.3
2001-11-30,75.4
2001-12-31,75.4
2002-01-31,75.4
2002-02-28,75.5
2002-03-31,75.5
2002-04-30,75.6
2002-05-31,75.6
2002-06-30,75.6
2002-07-31,75.5
2002-08-31,75.6
2002-09-30,75.6
2002-10-31,75.5
2002-11-30,75.6
2002-12-31,75.6
2003-01-31,75.8
2003-02-28,75.8
2003-03-31,75.8
2003-04-30,75.8
2003-05-31,75.8
2003-06-30,75.8
