observation_date,DEUPREND401IXOBM
1991-01-01,108.84740
1991-02-01,102.50760
1991-03-01,98.22160
1991-04-01,91.52467
1991-05-01,88.13155
1991-06-01,82.50614
1991-07-01,79.38091
1991-08-01,76.88072
1991-09-01,83.66694
1991-10-01,95.45353
1991-11-01,101.25750
1991-12-01,105.90070
1992-01-01,110.18680
1992-02-01,102.41830
1992-03-01,102.95410
1992-04-01,92.32830
1992-05-01,84.02411
1992-06-01,79.82737
1992-07-01,80.80959
1992-08-01,77.68435
1992-09-01,85.72066
1992-10-01,98.48947
1992-11-01,99.29310
1992-12-01,102.15050
1993-01-01,105.18640
1993-02-01,99.56098
1993-03-01,102.15050
1993-04-01,88.48872
1993-05-01,80.80959
1993-06-01,79.64878
1993-07-01,77.32718
1993-08-01,76.97001
1993-09-01,84.38128
1993-10-01,93.13193
1993-11-01,104.11490
1993-12-01,105.27570
1994-01-01,106.16860
1994-02-01,98.57877
1994-03-01,101.52540
1994-04-01,91.07821
1994-05-01,84.91703
1994-06-01,81.61321
1994-07-01,81.79180
1994-08-01,79.64878
1994-09-01,84.64915
1994-10-01,95.27495
1994-11-01,96.16787
1994-12-01,103.40060
1995-01-01,110.00820
1995-02-01,95.45353
1995-03-01,104.02560
1995-04-01,90.63174
1995-05-01,87.14934
1995-06-01,82.86331
1995-07-01,80.63100
1995-08-01,80.98817
1995-09-01,86.70288
1995-10-01,92.95335
1995-11-01,105.27570
1995-12-01,111.88330
1996-01-01,114.83000
1996-02-01,108.40090
1996-03-01,110.09750
1996-04-01,94.82848
1996-05-01,92.06042
1996-06-01,85.27420
1996-07-01,87.41722
1996-08-01,85.63137
1996-09-01,91.79254
1996-10-01,101.52540
1996-11-01,105.63290
1996-12-01,114.02630
1997-01-01,120.90190
1997-02-01,102.41830
1997-03-01,102.86480
1997-04-01,98.22160
1997-05-01,89.47094
1997-06-01,86.52429
1997-07-01,86.88146
1997-08-01,82.50614
1997-09-01,88.48872
1997-10-01,102.32900
1997-11-01,108.75810
1997-12-01,110.00820
1998-01-01,112.06190
1998-02-01,99.65027
1998-03-01,106.88290
1998-04-01,96.79292
1998-05-01,89.38165
1998-06-01,85.27420
1998-07-01,90.18528
1998-08-01,89.11378
1998-09-01,92.41759
1998-10-01,101.07890
1998-11-01,108.40090
1998-12-01,110.63320
1999-01-01,111.97260
1999-02-01,103.75770
1999-03-01,106.79370
1999-04-01,97.68584
1999-05-01,90.81033
1999-06-01,87.95297
1999-07-01,88.48872
1999-08-01,86.97076
1999-09-01,90.18528
1999-10-01,100.81110
1999-11-01,109.56170
1999-12-01,112.95480
2000-01-01,117.59800
2000-02-01,108.40090
2000-03-01,110.00820
2000-04-01,96.43575
2000-05-01,92.41759
2000-06-01,85.27420
2000-07-01,91.61396
2000-08-01,88.75661
2000-09-01,93.22122
2000-10-01,101.70400
2000-11-01,107.15080
2000-12-01,110.00820
2001-01-01,115.00860
2001-02-01,100.81110
2001-03-01,104.91850
2001-04-01,97.95372
2001-05-01,92.59618
2001-06-01,83.48836
2001-07-01,88.31014
2001-08-01,87.77439
2001-09-01,90.72104
2001-10-01,98.66805
2001-11-01,107.32940
2001-12-01,112.41910
2002-01-01,114.65140
2002-02-01,99.38239
2002-03-01,102.59690
2002-04-01,99.20381
2002-05-01,93.22122
2002-06-01,85.72066
2002-07-01,89.38165
2002-08-01,87.68510
2002-09-01,91.61396
2002-10-01,104.47210
2002-11-01,104.82920
2002-12-01,110.09750
2003-01-01,116.79440
2003-02-01,109.47240
2003-03-01,112.68700
2003-04-01,102.59690
2003-05-01,96.79292
2003-06-01,91.07821
2003-07-01,93.57839
2003-08-01,90.09599
2003-09-01,92.50688
2003-10-01,103.75770
2003-11-01,105.90070
2003-12-01,110.63320
2004-01-01,122.06270
2004-02-01,112.32980
2004-03-01,116.34790
2004-04-01,102.32900
2004-05-01,96.07858
2004-06-01,90.81033
2004-07-01,91.88184
2004-08-01,90.63174
2004-09-01,97.06079
2004-10-01,105.63290
2004-11-01,114.47280
2004-12-01,121.70550
2005-01-01,115.81220
2005-02-01,112.50840
2005-03-01,115.45500
2005-04-01,105.36500
2005-05-01,96.79292
2005-06-01,93.57839
2005-07-01,95.72141
2005-08-01,91.61396
2005-09-01,94.47131
2005-10-01,103.40060
2005-11-01,112.68700
2005-12-01,121.52690
2006-01-01,131.25980
2006-02-01,115.90150
2006-03-01,122.86630
2006-04-01,104.11490
2006-05-01,96.07858
2006-06-01,94.82848
2006-07-01,96.97150
2006-08-01,94.11414
2006-09-01,94.11414
2006-10-01,102.68620
2006-11-01,109.56170
2006-12-01,114.29420
2007-01-01,109.29380
2007-02-01,101.79330
2007-03-01,108.40090
2007-04-01,96.88221
2007-05-01,96.97150
2007-06-01,94.11414
2007-07-01,93.31052
2007-08-01,94.47131
2007-09-01,95.81070
2007-10-01,109.02600
2007-11-01,114.83000
2007-12-01,116.88370
2008-01-01,112.68700
2008-02-01,106.52580
2008-03-01,109.02600
2008-04-01,107.50800
2008-05-01,96.61433
2008-06-01,91.79254
2008-07-01,92.77476
2008-08-01,87.32793
2008-09-01,95.45353
2008-10-01,103.66840
2008-11-01,101.79330
2008-12-01,106.52580
2009-01-01,114.02630
2009-02-01,99.38239
2009-03-01,98.31088
2009-04-01,85.72066
2009-05-01,83.22047
2009-06-01,87.41722
2009-07-01,90.36387
2009-08-01,87.32793
2009-09-01,90.89962
2009-10-01,100.27530
2009-11-01,102.77550
2009-12-01,113.13340
2010-01-01,115.63360
2010-02-01,105.36500
2010-03-01,105.81140
2010-04-01,96.79292
2010-05-01,94.91778
2010-06-01,85.27420
2010-07-01,91.79254
2010-08-01,88.13155
2010-09-01,92.32830
2010-10-01,103.22200
2010-11-01,107.15080
2010-12-01,117.33020
2011-01-01,112.77620
2011-02-01,104.20420
2011-03-01,107.68660
2011-04-01,90.45316
2011-05-01,86.16712
2011-06-01,81.07746
2011-07-01,85.98854
2011-08-01,85.36349
2011-09-01,86.16712
2011-10-01,95.72141
2011-11-01,100.36460
2011-12-01,104.47210
2012-01-01,107.86520
2012-02-01,110.18680
2012-03-01,105.27570
2012-04-01,94.82848
2012-05-01,90.81033
2012-06-01,89.02448
2012-07-01,89.38165
2012-08-01,90.98891
2012-09-01,91.52467
2012-10-01,100.63250
2012-11-01,102.50760
2012-12-01,103.22200
2013-01-01,110.63320
2013-02-01,102.32900
2013-03-01,111.25830
2013-04-01,96.97150
2013-05-01,87.95297
2013-06-01,87.86368
2013-07-01,90.98891
2013-08-01,88.66731
2013-09-01,94.56061
2013-10-01,101.70400
2013-11-01,102.15050
2013-12-01,104.47210
2014-01-01,106.97220
2014-02-01,95.98929
2014-03-01,100.45390
2014-04-01,88.75661
2014-05-01,85.80996
2014-06-01,83.66694
2014-07-01,85.45279
2014-08-01,82.59543
2014-09-01,90.81033
2014-10-01,100.98970
2014-11-01,100.27530
2014-12-01,105.09710
2015-01-01,109.20460
2015-02-01,102.32900
2015-03-01,109.38310
2015-04-01,96.79292
2015-05-01,88.93519
2015-06-01,90.89962
2015-07-01,95.81070
2015-08-01,91.70325
2015-09-01,98.13230
2015-10-01,103.40060
2015-11-01,106.25790
2015-12-01,107.15080
2016-01-01,111.70470
2016-02-01,103.66840
2016-03-01,105.36500
2016-04-01,94.56061
2016-05-01,90.98891
2016-06-01,88.75661
2016-07-01,92.59618
2016-08-01,92.32830
2016-09-01,96.16787
2016-10-01,103.13270
2016-11-01,108.22230
2016-12-01,108.31160
2017-01-01,114.38350
2017-02-01,100.90040
2017-03-01,104.47210
2017-04-01,94.91778
2017-05-01,95.98929
2017-06-01,92.14971
2017-07-01,90.18528
2017-08-01,92.68547
2017-09-01,92.59618
2017-10-01,104.29350
2017-11-01,107.41870
2017-12-01,109.47240
2018-01-01,109.56170
2018-02-01,103.84700
2018-03-01,110.27610
2018-04-01,94.11414
2018-05-01,90.36387
2018-06-01,89.47094
2018-07-01,93.57839
2018-08-01,96.88221
2018-09-01,92.86405
2018-10-01,101.70400
2018-11-01,103.31130
2018-12-01,105.18640
2019-01-01,115.36570
2019-02-01,99.82886
2019-03-01,105.00780
2019-04-01,90.98891
2019-05-01,86.70288
2019-06-01,78.75586
2019-07-01,82.59543
2019-08-01,80.36312
2019-09-01,83.13119
2019-10-01,95.00707
2019-11-01,99.02522
2019-12-01,98.48947
2020-01-01,104.29350
2020-02-01,97.32867
2020-03-01,94.11414
2020-04-01,74.46983
2020-05-01,71.79105
2020-06-01,74.46983
2020-07-01,76.43426
2020-08-01,81.16676
2020-09-01,81.97038
2020-10-01,94.91778
2020-11-01,95.27495
2020-12-01,96.25716
2021-01-01,99.56098
2021-02-01,90.09599
2021-03-01,97.06079
2021-04-01,89.91740
2021-05-01,82.95260
2021-06-01,79.11303
2021-07-01,78.84515
2021-08-01,79.55949
2021-09-01,85.18491
2021-10-01,94.47131
2021-11-01,95.72141
2021-12-01,98.93594
2022-01-01,102.15050
2022-02-01,98.31088
2022-03-01,96.34645
2022-04-01,89.82811
2022-05-01,81.70251
2022-06-01,78.04152
2022-07-01,81.88110
2022-08-01,78.48798
2022-09-01,79.47020
2022-10-01,81.07746
2022-11-01,87.32793
2022-12-01,91.16750
2023-01-01,94.02486
2023-02-01,85.54208
2023-03-01,88.04227
2023-04-01,75.36275
2023-05-01,66.87997
2023-06-01,62.59394
2023-07-01,64.82625
2023-08-01,61.87960
2023-09-01,61.52243
2023-10-01,74.55912
2023-11-01,81.97038
2023-12-01,87.68510
2024-01-01,89.29236
2024-02-01,78.57728
2024-03-01,73.21973
