STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-01,395.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-02,392.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-03,389.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-04,387.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-05,386.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-06,382.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-07,380.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-08,377.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-09,372.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-10,368.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-11,364.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2000-12,361.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2001-01,357.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2001-02,354.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2001-03,351.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2001-04,349.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2001-05,347.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B,SCA,I21,DE,2001-06,344.3,i,
