STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-01,101.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-02,101.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-03,101.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-04,101.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-05,101.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-06,101.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-07,102.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-08,102.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-09,102.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-10,102.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-11,102.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2000-12,102.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-01,102.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-02,102.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-03,102.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-04,102.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-05,102.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-06,102.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-07,102.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-08,102.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-09,101.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-10,101.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-11,101.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2001-12,101.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-01,100.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-02,100.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-03,99.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-04,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-05,99.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-06,99.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-07,99.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-08,99.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-09,98.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-10,98.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-11,98.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2002-12,98.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-01,98.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-02,97.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-03,97.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-04,97.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-05,97.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-06,97.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-07,97.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-08,96.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-09,96.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-10,96.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-11,96.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2003-12,96.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-01,95.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-02,95.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-03,95.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-04,95.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-05,95.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-06,95.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-07,95.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-08,95.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-09,95.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-10,95.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-11,94.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2004-12,94.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-01,94.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-02,94.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-03,94.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-04,94.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-05,94.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-06,93.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-07,93.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-08,93.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-09,93.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-10,93.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-11,93.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,B-E36,SCA,I21,DE,2005-12,93.5,i,
