observation_date,INTGSTDEM193N
1975-07-01,5.400
1975-08-01,5.400
1975-09-01,5.400
1975-10-01,5.400
1975-11-01,5.400
1975-12-01,5.400
1976-01-01,5.400
1976-02-01,5.400
1976-03-01,5.240
1976-04-01,4.850
1976-05-01,4.850
1976-06-01,4.850
1976-07-01,5.370
1976-08-01,5.370
1976-09-01,5.370
1976-10-01,5.370
1976-11-01,5.250
1976-12-01,4.930
1977-01-01,4.930
1977-02-01,4.890
1977-03-01,4.780
1977-04-01,4.490
1977-05-01,4.440
1977-06-01,4.440
1977-07-01,4.170
1977-08-01,4.160
1977-09-01,4.000
1977-10-01,4.000
1977-11-01,4.000
1977-12-01,4.000
1978-01-01,3.730
1978-02-01,3.680
1978-03-01,3.640
1978-04-01,3.570
1978-05-01,3.570
1978-06-01,3.570
1978-07-01,3.570
1978-08-01,3.570
1978-09-01,4.230
1978-10-01,4.000
1978-11-01,4.000
1978-12-01,4.000
1979-01-01,4.040
1979-02-01,4.220
1979-03-01,4.220
1979-04-01,4.750
1979-05-01,4.770
1979-06-01,5.490
1979-07-01,5.490
1979-08-01,5.910
1979-09-01,5.990
1979-10-01,5.990
1979-11-01,6.950
1979-12-01,7.940
1980-01-01,7.870
1980-02-01,7.870
1980-03-01,8.170
1980-04-01,8.400
1980-05-01,8.400
1980-06-01,8.350
1980-07-01,8.090
1980-08-01,7.410
1980-09-01,7.410
1980-10-01,7.410
1980-11-01,7.410
1980-12-01,7.410
1981-01-01,8.480
1981-02-01,8.890
1981-03-01,9.940
1981-04-01,9.850
1981-05-01,10.600
1981-06-01,11.110
1981-07-01,11.200
1981-08-01,12.050
1981-09-01,12.050
1981-10-01,10.370
1981-11-01,10.270
1981-12-01,9.630
1982-01-01,9.800
1982-02-01,9.590
1982-03-01,9.300
1982-04-01,8.640
1982-05-01,8.460
1982-06-01,8.490
1982-07-01,8.840
1982-08-01,8.540
1982-09-01,7.819
1982-10-01,7.310
1982-11-01,6.719
1982-12-01,6.270
1983-01-01,5.640
1983-02-01,5.540
1983-03-01,5.140
1983-04-01,4.930
1983-05-01,5.120
1983-06-01,5.650
1983-07-01,5.710
1983-08-01,5.820
1983-09-01,6.100
1983-10-01,5.900
1983-11-01,5.830
1983-12-01,6.120
1984-01-01,5.990
1984-02-01,5.810
1984-03-01,5.580
1984-04-01,5.650
1984-05-01,5.710
1984-06-01,5.820
1984-07-01,5.820
1984-08-01,5.820
1984-09-01,5.630
1984-10-01,5.490
1984-11-01,5.370
1984-12-01,5.270
1985-01-01,5.250
1985-02-01,5.670
1985-03-01,6.040
1985-04-01,5.920
1985-05-01,5.670
1985-06-01,5.280
1985-07-01,5.080
1985-08-01,4.460
1985-09-01,4.050
1985-10-01,4.050
1985-11-01,4.550
1985-12-01,4.460
1986-01-01,4.200
1986-02-01,4.120
1986-03-01,3.900
1986-04-01,3.610
1986-05-01,3.500
1986-06-01,3.880
1986-07-01,3.900
1986-08-01,3.830
1986-09-01,3.800
1986-10-01,3.820
1986-11-01,3.900
1986-12-01,3.900
1987-01-01,3.870
1987-02-01,3.470
1987-03-01,3.370
1987-04-01,3.050
1987-05-01,2.970
1987-06-01,2.950
1987-07-01,2.950
1987-08-01,3.230
1987-09-01,3.350
1987-10-01,3.770
1987-11-01,3.280
1987-12-01,3.150
1988-01-01,3.150
1988-02-01,3.150
1988-03-01,3.150
1988-04-01,3.150
1988-05-01,3.150
1988-06-01,3.150
1988-07-01,3.150
1988-08-01,4.330
1988-09-01,4.410
1988-10-01,4.260
1988-11-01,4.200
1988-12-01,4.200
1989-01-01,4.420
1989-02-01,5.490
1989-03-01,6.000
1989-04-01,6.000
1989-05-01,6.180
1989-06-01,6.500
1989-07-01,6.490
1989-08-01,6.410
1989-09-01,6.570
1989-10-01,6.900
1989-11-01,7.200
1989-12-01,7.250
1990-01-01,7.250
1990-02-01,8.000
1990-03-01,8.000
1990-04-01,8.250
1990-05-01,8.250
1990-06-01,8.250
1990-07-01,8.250
1990-08-01,8.250
1990-09-01,8.250
1990-10-01,8.250
1990-11-01,8.250
1990-12-01,8.250
1991-01-01,8.250
1991-02-01,8.250
1991-03-01,8.250
1991-04-01,8.250
1991-05-01,8.250
1991-06-01,8.250
1991-07-01,8.250
1991-08-01,8.250
1991-09-01,8.250
1991-10-01,8.250
1991-11-01,8.250
1991-12-01,8.500
1992-01-01,8.500
1992-02-01,8.500
1992-03-01,8.500
1992-04-01,8.500
1992-05-01,8.500
1992-06-01,8.500
1992-07-01,8.750
1992-08-01,8.750
1992-09-01,8.600
1992-10-01,7.700
1992-11-01,7.500
1992-12-01,7.500
1993-01-01,7.350
1993-02-01,7.000
1993-03-01,6.600
1993-04-01,6.600
1993-05-01,6.600
1993-06-01,6.450
1993-07-01,6.300
1993-08-01,5.850
1993-09-01,5.700
1993-10-01,5.700
1993-11-01,5.400
1993-12-01,5.100
1994-01-01,5.100
1994-02-01,5.100
1994-03-01,5.100
1994-04-01,5.100
1994-05-01,4.800
1994-06-01,4.950
1994-07-01,4.850
1994-08-01,5.000
1994-09-01,5.100
1994-10-01,5.100
1994-11-01,5.200
1994-12-01,5.200
1995-01-01,5.200
1995-02-01,5.200
1995-03-01,4.850
1995-04-01,4.650
1995-05-01,4.300
1995-06-01,4.350
1995-07-01,4.350
1995-08-01,4.350
1995-09-01,4.100
1995-10-01,3.900
1995-11-01,3.800
1995-12-01,3.800
