observation_date,LMUNRLTTDEM647S
1956-01-01,798000
1956-02-01,1173000
1956-03-01,918000
1956-04-01,810000
1956-05-01,812000
1956-06-01,800000
1956-07-01,812000
1956-08-01,823000
1956-09-01,823000
1956-10-01,814000
1956-11-01,907000
1956-12-01,813000
1957-01-01,841000
1957-02-01,709000
1957-03-01,669000
1957-04-01,765000
1957-05-01,759000
1957-06-01,777000
1957-07-01,758000
1957-08-01,749000
1957-09-01,746000
1957-10-01,707000
1957-11-01,706000
1957-12-01,839000
1958-01-01,756000
1958-02-01,792000
1958-03-01,1053000
1958-04-01,782000
1958-05-01,750000
1958-06-01,721000
1958-07-01,714000
1958-08-01,694000
1958-09-01,674000
1958-10-01,675000
1958-11-01,641000
1958-12-01,644000
1959-01-01,675000
1959-02-01,656000
1959-03-01,614000
1959-04-01,558000
1959-05-01,537000
1959-06-01,488000
1959-07-01,445000
1959-08-01,411000
1959-09-01,383000
1959-10-01,365000
1959-11-01,352000
1959-12-01,325000
1960-01-01,318000
1960-02-01,315000
1960-03-01,274000
1960-04-01,273000
1960-05-01,262000
1960-06-01,257000
1960-07-01,241000
1960-08-01,227000
1960-09-01,220000
1960-10-01,215000
1960-11-01,201000
1960-12-01,198000
1961-01-01,196000
1961-02-01,178000
1961-03-01,168000
1961-04-01,185000
1961-05-01,186000
1961-06-01,182000
1961-07-01,181000
1961-08-01,185000
1961-09-01,178000
1961-10-01,170000
1961-11-01,162000
1961-12-01,161000
1962-01-01,119000
1962-02-01,120000
1962-03-01,162000
1962-04-01,164000
1962-05-01,159000
1962-06-01,158000
1962-07-01,159000
1962-08-01,158000
1962-09-01,159000
1962-10-01,161000
1962-11-01,172000
1962-12-01,172000
1963-01-01,215000
1963-02-01,230000
1963-03-01,171000
1963-04-01,173000
1963-05-01,175000
1963-06-01,176000
1963-07-01,175000
1963-08-01,175000
1963-09-01,175000
1963-10-01,175000
1963-11-01,170000
1963-12-01,189000
1964-01-01,168000
1964-02-01,153000
1964-03-01,179000
1964-04-01,171000
1964-05-01,173000
1964-06-01,172000
1964-07-01,172000
1964-08-01,172000
1964-09-01,171000
1964-10-01,172000
1964-11-01,162000
1964-12-01,150000
1965-01-01,133000
1965-02-01,143000
1965-03-01,153000
1965-04-01,141000
1965-05-01,142000
1965-06-01,147000
1965-07-01,149000
1965-08-01,151000
1965-09-01,155000
1965-10-01,151000
1965-11-01,153000
1965-12-01,131000
1966-01-01,116000
1966-02-01,102000
1966-03-01,95000
1966-04-01,127000
1966-05-01,139000
1966-06-01,153000
1966-07-01,165000
1966-08-01,179000
1966-09-01,195000
1966-10-01,221000
1966-11-01,262000
1966-12-01,309000
1967-01-01,382000
1967-02-01,439000
1967-03-01,482000
1967-04-01,516000
1967-05-01,533000
1967-06-01,517000
1967-07-01,509000
1967-08-01,499000
1967-09-01,486000
1967-10-01,477000
1967-11-01,456000
1967-12-01,447000
1968-01-01,423000
1968-02-01,376000
1968-03-01,374000
1968-04-01,348000
1968-05-01,324000
1968-06-01,309000
1968-07-01,289000
1968-08-01,275000
1968-09-01,263000
1968-10-01,248000
1968-11-01,234000
1968-12-01,214000
1969-01-01,195000
1969-02-01,212000
1969-03-01,183000
1969-04-01,174000
1969-05-01,168000
1969-06-01,170000
1969-07-01,168000
1969-08-01,163000
1969-09-01,160000
1969-10-01,152000
1969-11-01,143000
1969-12-01,149000
1970-01-01,142000
1970-02-01,139000
1970-03-01,150000
1970-04-01,139000
1970-05-01,144000
1970-06-01,147000
1970-07-01,150000
1970-08-01,151000
1970-09-01,150000
1970-10-01,149000
1970-11-01,147000
1970-12-01,139000
1971-01-01,152000
1971-02-01,142000
1971-03-01,163000
1971-04-01,175000
1971-05-01,184000
1971-06-01,192000
1971-07-01,198000
1971-08-01,204000
1971-09-01,209000
1971-10-01,215000
1971-11-01,227000
