STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-01,106.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-02,106.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-03,106.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-04,106.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-05,106.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-06,106.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-07,106.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-08,106.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-09,106.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-10,106.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-11,105.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2000-12,105.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-01,105.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-02,105.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-03,105.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-04,105.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-05,105.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-06,105.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-07,105.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-08,104.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-09,104.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-10,104.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-11,104.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2001-12,103.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-01,102.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-02,102.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-03,102.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-04,102.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-05,101.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-06,101.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-07,101.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-08,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-09,100.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-10,100.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-11,100.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2002-12,100.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2003-01,100.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2003-02,99.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_NDCOG,SCA,I21,DE,2003-03,99.5,i,
