STRUCTURE,STRUCTURE_ID,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1991-Q1,7756.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1991-Q2,7790.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1991-Q3,7801.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1991-Q4,7873.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1992-Q1,7896.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1992-Q2,7942.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1992-Q3,7948.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1992-Q4,7938.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1993-Q1,7944.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1993-Q2,7931.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1993-Q3,7953.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1993-Q4,7968.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1994-Q1,8016.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1994-Q2,8045.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1994-Q3,8082.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1994-Q4,8117.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1995-Q1,8130.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1995-Q2,8159.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1995-Q3,8197.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1995-Q4,8258.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1996-Q1,8298.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1996-Q2,8364.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1996-Q3,8356.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1996-Q4,8324.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1997-Q1,8349.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1997-Q2,8352.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1997-Q3,8350.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1997-Q4,8317.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1998-Q1,8324.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1998-Q2,8340.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1998-Q3,8393.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1998-Q4,8433.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1999-Q1,8457.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1999-Q2,8477.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1999-Q3,8520.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,1999-Q4,8553.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2000-Q1,8604.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2000-Q2,8636.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2000-Q3,8621.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2000-Q4,8636.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2001-Q1,8596.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2001-Q2,8625.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2001-Q3,8629.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2001-Q4,8671.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2002-Q1,8716.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2002-Q2,8747.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2002-Q3,8766.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2002-Q4,8788.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2003-Q1,8778.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2003-Q2,8749.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2003-Q3,8725.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2003-Q4,8737.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2004-Q1,8741.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2004-Q2,8728.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2004-Q3,8712.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2004-Q4,8729.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2005-Q1,8719.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2005-Q2,8745.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2005-Q3,8787.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2005-Q4,8800.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2006-Q1,8771.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2006-Q2,8793.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2006-Q3,8806.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2006-Q4,8821.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2007-Q1,8836.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2007-Q2,8841.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2007-Q3,8849.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2007-Q4,8881.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2008-Q1,8917.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2008-Q2,8948.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2008-Q3,8989.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2008-Q4,9028.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2009-Q1,9101.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2009-Q2,9151.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2009-Q3,9215.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2009-Q4,9246.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2010-Q1,9300.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2010-Q2,9326.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2010-Q3,9339.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2010-Q4,9333.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2011-Q1,9296.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2011-Q2,9292.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2011-Q3,9295.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2011-Q4,9304.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2012-Q1,9323.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2012-Q2,9364.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2012-Q3,9402.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2012-Q4,9447.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2013-Q1,9451.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2013-Q2,9485.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,O-Q,SCA,SAL_DC,DE,2013-Q3,9514.00,,
