observation_date,HOHWMN02DEM661N
1957-01-01,1.240020433481720
1957-02-01,
1957-03-01,
1957-04-01,1.223206597095530
1957-05-01,
1957-06-01,
1957-07-01,1.228460920966210
1957-08-01,
1957-09-01,
1957-10-01,1.241071298255860
1957-11-01,
1957-12-01,
1958-01-01,1.206392760709330
1958-02-01,
1958-03-01,
1958-04-01,1.206392760709330
1958-05-01,
1958-06-01,
1958-07-01,1.212697949354160
1958-08-01,
1958-09-01,
1958-10-01,1.219003137998980
1958-11-01,
1958-12-01,
1959-01-01,1.184324600452460
1959-02-01,
1959-03-01,
1959-04-01,1.208494490257610
1959-05-01,
1959-06-01,
1959-07-01,1.216901408450700
1959-08-01,
1959-09-01,
1959-10-01,1.230562650514490
1959-11-01,
1959-12-01,
1960-01-01,1.204291031161060
1960-02-01,
1960-03-01,
1960-04-01,1.215850543676570
1960-05-01,
1960-06-01,
1960-07-01,1.208494490257610
1960-08-01,
1960-09-01,
1960-10-01,1.219003137998980
1960-11-01,
1960-12-01,
1961-01-01,1.197985842516240
1961-02-01,
1961-03-01,
1961-04-01,1.197985842516240
1961-05-01,
1961-06-01,
1961-07-01,1.201138436838650
1961-08-01,
1961-09-01,
1961-10-01,1.212697949354160
1961-11-01,
1961-12-01,
1962-01-01,1.185375465226590
1962-02-01,
1962-03-01,
1962-04-01,1.184324600452460
1962-05-01,
1962-06-01,
1962-07-01,1.181172006130040
1962-08-01,
1962-09-01,
1962-10-01,1.191680653871420
1962-11-01,
1962-12-01,
1963-01-01,1.166459899292130
1963-02-01,
1963-03-01,
1963-04-01,1.168561628840400
1963-05-01,
1963-06-01,
1963-07-01,1.174866817485220
1963-08-01,
1963-09-01,
1963-10-01,1.189578924323140
1963-11-01,
1963-12-01,
1964-01-01,1.147544333357660
1964-02-01,
1964-03-01,
1964-04-01,1.167510764066260
1964-05-01,
1964-06-01,
1964-07-01,1.168561628840400
1964-08-01,
1964-09-01,
1964-10-01,1.186426330000730
1964-11-01,
1964-12-01,
1965-01-01,1.176968547033500
1965-02-01,
1965-03-01,
1965-04-01,1.170663358388670
1965-05-01,
1965-06-01,
1965-07-01,1.184324600452460
1965-08-01,
1965-09-01,
1965-10-01,1.189578924323140
1965-11-01,
1965-12-01,
1966-01-01,1.166459899292130
1966-02-01,
1966-03-01,
1966-04-01,1.167510764066260
1966-05-01,
1966-06-01,
