"",BBIM1.M.DE.B.A2A.S.R.3.2240.EUR.N,BBIM1.M.DE.B.A2A.S.R.3.2240.EUR.N_FLAGS
"",Effective interest rates of German banks / New business / Loans to non-financial corporations over EUR 0.25 million and up to EUR 1 million with an initial rate fixation of over 3 and up to 5 years / SUD146,
Comment (in english),"The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). Volume-weighted average rates of all new agreements concluded during the reporting month. (The interest rates per stratum are calculated by weighting the reported interest rates with the reported volumes of new business. Then the interest rate for Germany is aggregated by weighting the interest rates of each stratum with the grossed-up volumes of the same stratum.) The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Disagios are regarded as interest payments and included in the interest rate calculation. The annualised agreed interest rate and the narrowly defined effective rate differ in the underlying method of annualising interest rate payments. The amount category refers to the single loan transaction considered as new business.",
Decimals,2,
Time format code,P1M,
category,ZREK,
unit,% p.a.,
unit multiplier,One,
last update,2026-04-01 11:46:27,
2010-06,4.16,
2010-07,3.84,
2010-08,3.75,
2010-09,3.89,
2010-10,3.85,
2010-11,3.75,
2010-12,3.81,
2011-01,4.11,
2011-02,4.05,
2011-03,4.20,
2011-04,4.37,
2011-05,4.36,
2011-06,4.27,
2011-07,4.35,
2011-08,4.21,
2011-09,3.88,
2011-10,3.78,
2011-11,3.79,
2011-12,3.83,
2012-01,3.59,
2012-02,3.69,
2012-03,3.48,
2012-04,3.35,
2012-05,3.44,
2012-06,3.24,
2012-07,3.19,
2012-08,2.93,
2012-09,2.85,
2012-10,2.77,
2012-11,2.85,
2012-12,2.77,
2013-01,2.61,
2013-02,2.74,
2013-03,2.87,
2013-04,2.65,
2013-05,2.83,
2013-06,2.65,
2013-07,2.63,
2013-08,2.76,
2013-09,2.74,
2013-10,2.65,
2013-11,2.69,
2013-12,2.61,
2014-01,2.62,
2014-02,2.73,
2014-03,2.58,
2014-04,2.56,
2014-05,2.52,
2014-06,2.51,
2014-07,2.32,
2014-08,2.21,
2014-09,2.27,
2014-10,2.23,
2014-11,1.90,
2014-12,2.12,
2015-01,2.19,
2015-02,2.14,
2015-03,1.87,
2015-04,2.07,
2015-05,2.04,
2015-06,1.98,
2015-07,1.96,
2015-08,1.89,
2015-09,1.98,
2015-10,1.91,
2015-11,1.76,
2015-12,2.03,
2016-01,1.97,
2016-02,1.90,
2016-03,1.83,
2016-04,1.70,
2016-05,1.74,
2016-06,1.95,
2016-07,1.69,
2016-08,1.59,
2016-09,1.60,
2016-10,1.65,
2016-11,1.68,
2016-12,1.64,
2017-01,1.65,
2017-02,1.86,
2017-03,1.65,
2017-04,1.56,
2017-05,1.83,
2017-06,1.69,
2017-07,1.74,
2017-08,1.60,
2017-09,1.68,
2017-10,1.61,
2017-11,1.65,
2017-12,1.78,
2018-01,1.65,
2018-02,1.96,
2018-03,1.59,
2018-04,1.73,
2018-05,1.75,
2018-06,1.78,
2018-07,1.65,
2018-08,1.60,
2018-09,1.74,
2018-10,1.70,
2018-11,1.54,
2018-12,1.58,
2019-01,1.58,
2019-02,1.57,
2019-03,1.66,
2019-04,1.57,
2019-05,1.56,
2019-06,1.49,
2019-07,1.50,
2019-08,1.39,
2019-09,1.45,
2019-10,1.45,
2019-11,1.43,
2019-12,1.49,
2020-01,1.47,
2020-02,1.48,
2020-03,1.41,
2020-04,1.38,
2020-05,1.58,
2020-06,1.53,
2020-07,1.43,
2020-08,1.41,
2020-09,1.36,
2020-10,1.40,
2020-11,1.36,
2020-12,1.43,
2021-01,1.41,
2021-02,1.49,
2021-03,1.39,
2021-04,1.33,
2021-05,1.31,
2021-06,1.42,
2021-07,1.32,
2021-08,1.33,
2021-09,1.35,
2021-10,1.22,
2021-11,1.35,
2021-12,1.31,
2022-01,1.21,
2022-02,1.60,
2022-03,1.69,
2022-04,2.01,
2022-05,2.14,
2022-06,2.51,
2022-07,2.68,
2022-08,2.77,
2022-09,3.07,
2022-10,3.45,
2022-11,3.82,
2022-12,4.17,
2023-01,3.94,
2023-02,4.36,
2023-03,4.37,
2023-04,4.58,
2023-05,4.46,
2023-06,4.71,
2023-07,4.92,
2023-08,5.07,
2023-09,4.82,
2023-10,4.91,
2023-11,4.92,
2023-12,4.91,
2024-01,4.31,
2024-02,4.60,
2024-03,4.57,
2024-04,4.48,
2024-05,4.44,
2024-06,4.38,
2024-07,4.25,
2024-08,4.48,
2024-09,4.19,
2024-10,4.05,
2024-11,4.18,
2024-12,4.10,
2025-01,3.80,
2025-02,3.82,
2025-03,4.16,
2025-04,4.19,
2025-05,3.94,
2025-06,3.70,
2025-07,3.73,
2025-08,3.85,
2025-09,3.69,
2025-10,3.81,
2025-11,3.80,
2025-12,3.91,
2026-01,3.80,
2026-02,3.98,Provisional value
