observation_date,DEUSARTMISMEI
1955-01-01,23.94956
1955-02-01,25.36325
1955-03-01,23.61693
1955-04-01,25.61273
1955-05-01,25.36325
1955-06-01,24.36536
1955-07-01,26.19484
1955-08-01,25.11378
1955-09-01,25.52957
1955-10-01,27.19274
1955-11-01,25.77905
1955-12-01,26.02852
1956-01-01,26.86010
1956-02-01,27.35905
1956-03-01,28.35695
1956-04-01,25.44641
1956-05-01,27.19274
1956-06-01,28.52327
1956-07-01,27.35905
1956-08-01,28.68958
1956-09-01,28.44011
1956-10-01,28.19063
1956-11-01,29.10537
1956-12-01,29.27169
1957-01-01,29.27169
1957-02-01,29.52117
1957-03-01,28.19063
1957-04-01,31.68328
1957-05-01,28.85590
1957-06-01,30.85170
1957-07-01,30.18643
1957-08-01,30.76854
1957-09-01,30.60222
1957-10-01,30.18643
1957-11-01,30.35275
1957-12-01,30.10327
1958-01-01,31.18433
1958-02-01,30.93485
1958-03-01,31.01801
1958-04-01,30.85170
1958-05-01,31.10117
1958-06-01,30.43591
1958-07-01,31.68328
1958-08-01,31.43380
1958-09-01,30.85170
1958-10-01,31.43380
1958-11-01,30.85170
1958-12-01,31.43380
1959-01-01,33.09697
1959-02-01,32.51486
1959-03-01,32.93065
1959-04-01,32.59802
1959-05-01,32.68118
1959-06-01,33.59592
1959-07-01,33.09697
1959-08-01,33.34644
1959-09-01,33.26328
1959-10-01,33.26328
1959-11-01,33.18013
1959-12-01,33.84539
1960-01-01,35.50856
1960-02-01,35.00961
1960-03-01,34.17802
1960-04-01,37.50435
1960-05-01,37.00541
1960-06-01,36.92225
1960-07-01,37.17172
1960-08-01,37.00541
1960-09-01,37.33804
1960-10-01,38.83488
1960-11-01,38.00330
1960-12-01,37.92014
1961-01-01,37.42120
1961-02-01,38.41909
1961-03-01,38.66857
1961-04-01,37.50435
1961-05-01,38.16962
1961-06-01,38.16962
1961-07-01,38.33593
1961-08-01,39.58331
1961-09-01,38.91804
1961-10-01,39.50015
1961-11-01,39.91594
1961-12-01,40.33173
1962-01-01,41.66227
1962-02-01,42.57700
1962-03-01,41.57911
1962-04-01,44.07385
1962-05-01,41.41279
1962-06-01,44.15701
1962-07-01,42.41069
1962-08-01,43.07595
1962-09-01,43.40858
1962-10-01,43.24227
1962-11-01,43.74122
1962-12-01,44.40649
1963-01-01,43.90754
1963-02-01,42.32753
1963-03-01,44.07385
1963-04-01,43.57490
1963-05-01,43.74122
1963-06-01,43.32543
1963-07-01,44.07385
1963-08-01,44.57280
1963-09-01,43.90754
1963-10-01,44.82228
1963-11-01,45.07175
1963-12-01,46.23597
1964-01-01,46.06965
1964-02-01,45.65386
1964-03-01,46.56860
1964-04-01,46.31912
1964-05-01,46.98439
1964-06-01,46.48544
1964-07-01,46.90123
1964-08-01,46.73492
1964-09-01,46.90123
1964-10-01,49.06334
1964-11-01,49.39598
1964-12-01,50.22756
1965-01-01,50.06124
1965-02-01,50.14440
1965-03-01,48.98019
1965-04-01,51.47493
1965-05-01,50.06124
1965-06-01,51.39177
1965-07-01,52.05704
1965-08-01,51.39177
1965-09-01,52.05704
1965-10-01,51.97388
1965-11-01,51.72441
1965-12-01,50.80967
1966-01-01,52.63915
1966-02-01,53.47073
1966-03-01,53.55389
1966-04-01,51.72441
1966-05-01,53.72020
1966-06-01,52.80547
1966-07-01,54.05284
1966-08-01,52.88862
1966-09-01,53.13810
1966-10-01,52.88862
1966-11-01,51.89072
1966-12-01,51.30862
1967-01-01,54.88442
1967-02-01,53.38757
1967-03-01,52.05704
1967-04-01,51.89072
1967-05-01,52.14020
1967-06-01,52.72231
1967-07-01,53.22126
1967-08-01,53.63705
1967-09-01,53.63705
1967-10-01,52.38967
1967-11-01,52.14020
1967-12-01,57.21285
1968-01-01,52.05704
1968-02-01,52.72231
1968-03-01,54.13599
1968-04-01,54.88442
1968-05-01,54.30231
1968-06-01,55.88232
1968-07-01,54.63494
1968-08-01,57.12969
1968-09-01,56.46442
1968-10-01,56.13179
1968-11-01,57.37917
1968-12-01,58.04443
1969-01-01,57.79496
1969-02-01,57.37917
1969-03-01,59.12549
1969-04-01,57.21285
1969-05-01,59.95707
1969-06-01,59.87391
1969-07-01,60.45602
1969-08-01,62.11918
1969-09-01,61.28760
1969-10-01,61.70339
1969-11-01,63.03392
1969-12-01,62.95077
1970-01-01,60.12339
1970-02-01,60.78865
1970-03-01,62.20234
1970-04-01,63.36656
1970-05-01,64.78024
1970-06-01,65.02972
1970-07-01,66.19394
1970-08-01,65.61183
1970-09-01,65.19604
1970-10-01,66.52657
1970-11-01,68.68868
1970-12-01,69.68658
1971-01-01,66.85920
1971-02-01,66.11078
1971-03-01,67.19183
1971-04-01,68.02341
1971-05-01,68.27289
1971-06-01,68.43921
1971-07-01,69.02132
1971-08-01,69.10448
1971-09-01,69.52026
1971-10-01,69.93606
1971-11-01,70.10237
1971-12-01,67.52447
1972-01-01,69.76974
1972-02-01,69.27079
1972-03-01,71.76553
1972-04-01,68.85500
1972-05-01,71.26659
1972-06-01,71.01711
1972-07-01,72.09817
1972-08-01,75.67397
1972-09-01,71.76553
1972-10-01,72.26449
1972-11-01,71.01711
1972-12-01,74.17712
1973-01-01,73.09607
1973-02-01,74.42660
1973-03-01,72.18133
1973-04-01,73.09607
1973-05-01,72.01501
1973-06-01,73.42870
1973-07-01,71.18343
1973-08-01,71.68238
1973-09-01,72.84660
1973-10-01,71.84869
1973-11-01,70.26869
1973-12-01,70.10237
1974-01-01,71.10027
1974-02-01,69.93606
1974-03-01,71.18343
1974-04-01,71.26659
1974-05-01,71.26659
1974-06-01,71.59922
1974-07-01,71.76553
1974-08-01,71.43291
1974-09-01,71.18343
1974-10-01,72.51396
1974-11-01,69.76974
1974-12-01,69.85290
1975-01-01,71.51606
1975-02-01,72.43080
1975-03-01,71.84869
1975-04-01,73.42870
1975-05-01,73.26238
1975-06-01,73.51186
1975-07-01,72.84660
1975-08-01,73.76134
1975-09-01,73.92765
1975-10-01,75.59081
1975-11-01,75.25818
1975-12-01,74.34344
1976-01-01,74.92554
1976-02-01,75.84029
1976-03-01,73.84449
1976-04-01,75.34134
1976-05-01,73.84449
1976-06-01,75.59081
1976-07-01,75.34134
1976-08-01,76.08976
1976-09-01,76.67187
1976-10-01,75.67397
1976-11-01,77.42030
1976-12-01,77.75293
1977-01-01,77.17082
1977-02-01,77.42030
1977-03-01,77.75293
1977-04-01,74.17712
1977-05-01,79.49925
1977-06-01,79.49925
1977-07-01,80.08136
1977-08-01,78.50135
1977-09-01,79.00030
1977-10-01,77.58661
1977-11-01,79.41609
1977-12-01,82.57610
1978-01-01,80.66347
1978-02-01,79.58241
1978-03-01,78.91714
1978-04-01,80.99610
1978-05-01,79.91504
1978-06-01,80.41399
1978-07-01,80.49715
1978-08-01,81.32873
1978-09-01,82.24347
1978-10-01,81.57821
1978-11-01,81.07925
1978-12-01,83.98979
1979-01-01,81.41189
1979-02-01,80.91294
1979-03-01,82.49294
1979-04-01,83.49084
1979-05-01,83.98979
1979-06-01,85.40348
1979-07-01,81.66136
1979-08-01,83.32453
1979-09-01,82.32663
1979-10-01,82.57610
1979-11-01,82.65926
1979-12-01,82.74242
1980-01-01,86.65086
1980-02-01,82.99190
1980-03-01,83.90663
1980-04-01,81.16241
1980-05-01,81.91084
1980-06-01,82.07716
1980-07-01,83.65716
1980-08-01,82.57610
1980-09-01,82.90874
1980-10-01,83.57401
1980-11-01,83.57401
1980-12-01,81.66136
1981-01-01,82.07716
1981-02-01,85.73611
1981-03-01,82.82558
1981-04-01,81.32873
1981-05-01,81.32873
1981-06-01,80.99610
1981-07-01,82.32663
1981-08-01,82.07716
1981-09-01,80.08136
1981-10-01,81.41189
1981-11-01,81.82768
1981-12-01,81.74452
1982-01-01,80.49715
1982-02-01,80.99610
1982-03-01,81.99400
1982-04-01,79.49925
1982-05-01,77.75293
1982-06-01,78.00240
1982-07-01,76.67187
1982-08-01,79.00030
1982-09-01,76.58871
1982-10-01,77.66977
1982-11-01,77.66977
1982-12-01,79.00030
1983-01-01,78.41819
1983-02-01,79.49925
1983-03-01,82.24347
1983-04-01,76.58871
1983-05-01,80.49715
1983-06-01,84.48874
1983-07-01,75.75713
1983-08-01,77.50346
1983-09-01,80.33083
1983-10-01,79.74873
1983-11-01,79.24978
1983-12-01,79.00030
1984-01-01,81.16241
1984-02-01,81.24557
1984-03-01,78.25188
1984-04-01,80.82978
1984-05-01,79.74873
1984-06-01,78.08556
1984-07-01,79.33293
1984-08-01,80.16451
