observation_date,LMJVTTUVDEM647S
1955-01-01,151580.90
1955-02-01,142832.60
1955-03-01,171368.90
1955-04-01,178244.70
1955-05-01,176760.80
1955-06-01,177045.00
1955-07-01,184704.40
1955-08-01,186200.80
1955-09-01,187583.70
1955-10-01,184647.90
1955-11-01,189105.50
1955-12-01,186301.50
1956-01-01,191790.80
1956-02-01,157762.50
1956-03-01,217643.50
1956-04-01,204006.00
1956-05-01,205038.90
1956-06-01,202137.50
1956-07-01,190644.30
1956-08-01,191273.30
1956-09-01,185790.00
1956-10-01,184560.70
1956-11-01,180187.10
1956-12-01,184655.60
1957-01-01,186269.30
1957-02-01,191101.00
1957-03-01,192523.10
1957-04-01,188958.90
1957-05-01,187309.80
1957-06-01,186234.70
1957-07-01,191734.40
1957-08-01,190134.60
1957-09-01,197016.50
1957-10-01,205069.70
1957-11-01,195558.80
1957-12-01,180559.10
1958-01-01,193434.10
1958-02-01,189962.10
1958-03-01,174830.70
1958-04-01,182637.90
1958-05-01,185391.80
1958-06-01,192964.60
1958-07-01,196994.60
1958-08-01,200490.00
1958-09-01,206080.70
1958-10-01,197780.90
1958-11-01,192693.30
1958-12-01,165058.70
1959-01-01,188005.00
1959-02-01,210755.30
1959-03-01,219643.30
1959-04-01,231219.20
1959-05-01,242415.50
1959-06-01,254269.20
1959-07-01,263488.00
1959-08-01,271604.60
1959-09-01,280595.40
1959-10-01,286657.70
1959-11-01,305249.30
1959-12-01,320984.10
1960-01-01,339954.70
1960-02-01,349051.30
1960-03-01,363804.50
1960-04-01,378908.80
1960-05-01,397797.40
1960-06-01,402904.10
1960-07-01,413807.80
1960-08-01,421745.90
1960-09-01,427396.60
1960-10-01,445907.00
1960-11-01,464416.70
1960-12-01,487506.60
1961-01-01,481417.60
1961-02-01,492392.10
1961-03-01,469110.60
1961-04-01,471335.50
1961-05-01,457836.70
1961-06-01,458002.80
1961-07-01,456837.00
1961-08-01,470918.20
1961-09-01,477246.90
1961-10-01,486717.10
1961-11-01,500147.80
1961-12-01,542361.10
1962-01-01,533151.60
1962-02-01,526250.00
1962-03-01,501231.60
1962-04-01,499506.20
1962-05-01,502957.00
1962-06-01,496918.00
1962-07-01,491741.80
1962-08-01,485702.90
1962-09-01,478801.20
1962-10-01,477938.50
1962-11-01,470174.20
1962-12-01,471036.90
1963-01-01,459821.70
1963-02-01,454645.50
1963-03-01,476213.10
1963-04-01,475350.40
1963-05-01,472762.30
1963-06-01,473625.00
1963-07-01,477938.50
1963-08-01,483977.50
1963-09-01,492604.50
1963-10-01,494329.90
1963-11-01,497780.80
1963-12-01,491741.80
1964-01-01,507270.50
1964-02-01,629774.60
1964-03-01,520211.10
1964-04-01,520211.10
1964-05-01,516760.30
1964-06-01,522799.20
1964-07-01,519348.40
1964-08-01,521936.50
1964-09-01,526250.00
1964-10-01,534014.40
1964-11-01,554719.30
1964-12-01,562483.60
1965-01-01,575424.20
1965-02-01,564209.00
1965-03-01,560758.20
1965-04-01,562483.60
1965-05-01,560758.20
1965-06-01,550405.80
1965-07-01,552993.90
1965-08-01,544366.80
1965-09-01,546092.20
1965-10-01,561620.90
1965-11-01,574561.50
1965-12-01,591815.60
1966-01-01,566797.10
1966-02-01,551268.40
1966-03-01,528838.10
1966-04-01,508133.20
1966-05-01,494329.90
1966-06-01,480526.60
1966-07-01,464135.30
1966-08-01,444293.00
1966-09-01,415823.80
1966-10-01,372688.50
1966-11-01,319200.80
1966-12-01,289868.80
1967-01-01,267438.50
1967-02-01,257948.80
1967-03-01,257948.80
1967-04-01,251047.10
1967-05-01,248459.00
1967-06-01,250184.40
1967-07-01,251909.80
1967-08-01,259674.20
1967-09-01,262262.30
1967-10-01,267438.50
1967-11-01,280379.10
1967-12-01,287280.80
1968-01-01,316612.70
1968-02-01,340768.40
