"",BBIM1.M.DE.B.A2A.S.R.1.2240.EUR.N,BBIM1.M.DE.B.A2A.S.R.1.2240.EUR.N_FLAGS
"",Effective interest rates of German banks / New business / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 3 and up to 5 years / SUD152,
Comment (in english),"The MFI interest rate statistics gathered on a harmonised basis in the euro area are collected in Germany on a sample basis (stratified sample). Volume-weighted average rates of all new agreements concluded during the reporting month. (The interest rates per stratum are calculated by weighting the reported interest rates with the reported volumes of new business. Then the interest rate for Germany is aggregated by weighting the interest rates of each stratum with the grossed-up volumes of the same stratum.) The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Disagios are regarded as interest payments and included in the interest rate calculation. The annualised agreed interest rate and the narrowly defined effective rate differ in the underlying method of annualising interest rate payments. The amount category refers to the single loan transaction considered as new business.",
Decimals,2,
Time format code,P1M,
category,ZREK,
unit,% p.a.,
unit multiplier,One,
last update,2026-04-01 11:46:27,
2010-06,3.61,
2010-07,3.01,
2010-08,3.23,
2010-09,3.24,
2010-10,3.34,
2010-11,3.47,
2010-12,3.29,
2011-01,3.75,
2011-02,4.14,
2011-03,4.02,
2011-04,3.86,
2011-05,3.85,
2011-06,3.66,
2011-07,4.03,
2011-08,4.10,
2011-09,3.45,
2011-10,3.84,
2011-11,3.82,
2011-12,3.99,
2012-01,3.29,
2012-02,3.53,
2012-03,2.83,
2012-04,2.95,
2012-05,3.08,
2012-06,2.63,
2012-07,2.74,
2012-08,2.84,
2012-09,2.69,
2012-10,2.68,
2012-11,3.20,
2012-12,2.67,
2013-01,3.57,
2013-02,3.32,
2013-03,2.58,
2013-04,2.80,
2013-05,2.91,
2013-06,2.53,
2013-07,2.97,
2013-08,2.49,
2013-09,3.01,
2013-10,2.81,
2013-11,2.44,
2013-12,2.62,
2014-01,2.49,
2014-02,2.18,
2014-03,2.62,
2014-04,2.41,
2014-05,2.53,
2014-06,2.37,
2014-07,2.36,
2014-08,2.24,
2014-09,2.40,
2014-10,2.31,
2014-11,2.12,
2014-12,2.04,
2015-01,1.96,
2015-02,1.47,
2015-03,1.57,
2015-04,1.60,
2015-05,1.72,
2015-06,1.69,
2015-07,1.74,
2015-08,1.97,
2015-09,1.62,
2015-10,1.63,
2015-11,1.97,
2015-12,1.75,
2016-01,2.21,
2016-02,1.33,
2016-03,1.64,
2016-04,1.68,
2016-05,1.36,
2016-06,1.37,
2016-07,1.57,
2016-08,1.49,
2016-09,1.31,
2016-10,1.49,
2016-11,1.14,
2016-12,1.47,
2017-01,1.21,
2017-02,1.11,
2017-03,1.37,
2017-04,1.74,
2017-05,1.26,
2017-06,1.12,
2017-07,1.17,
2017-08,1.10,
2017-09,1.22,
2017-10,1.15,
2017-11,1.23,
2017-12,1.24,
2018-01,1.40,
2018-02,1.51,
2018-03,1.49,
2018-04,1.48,
2018-05,1.48,
2018-06,1.50,
2018-07,1.31,
2018-08,1.47,
2018-09,1.61,
2018-10,1.56,
2018-11,1.55,
2018-12,1.71,
2019-01,1.18,
2019-02,1.37,
2019-03,1.48,
2019-04,1.19,
2019-05,1.63,
2019-06,1.13,
2019-07,1.32,
2019-08,1.18,
2019-09,1.48,
2019-10,1.44,
2019-11,1.37,
2019-12,1.35,
2020-01,1.16,
2020-02,1.24,
2020-03,1.15,
2020-04,1.24,
2020-05,1.08,
2020-06,1.45,
2020-07,1.41,
2020-08,1.57,
2020-09,1.31,
2020-10,1.33,
2020-11,1.60,
2020-12,1.30,
2021-01,1.57,
2021-02,1.30,
2021-03,1.22,
2021-04,1.33,
2021-05,1.13,
2021-06,1.16,
2021-07,1.21,
2021-08,1.35,
2021-09,1.41,
2021-10,1.34,
2021-11,1.17,
2021-12,1.41,
2022-01,1.15,
2022-02,1.84,
2022-03,1.67,
2022-04,1.83,
2022-05,2.77,
2022-06,2.32,
2022-07,2.62,
2022-08,2.62,
2022-09,3.05,
2022-10,3.72,
2022-11,3.33,
2022-12,3.69,
2023-01,3.69,
2023-02,4.17,
2023-03,4.34,
2023-04,4.02,
2023-05,4.23,
2023-06,4.60,
2023-07,5.16,
2023-08,4.42,
2023-09,5.12,
2023-10,4.86,
2023-11,4.54,
2023-12,4.13,
2024-01,4.88,
2024-02,4.30,
2024-03,3.96,
2024-04,4.48,
2024-05,4.62,
2024-06,4.39,
2024-07,4.11,
2024-08,4.04,
2024-09,4.03,
2024-10,3.67,
2024-11,3.72,
2024-12,3.56,
2025-01,3.92,
2025-02,3.73,
2025-03,4.49,
2025-04,4.00,
2025-05,3.92,
2025-06,4.04,
2025-07,3.33,
2025-08,3.70,
2025-09,3.55,
2025-10,3.54,
2025-11,3.59,
2025-12,3.41,
2026-01,3.65,
2026-02,3.58,Provisional value
