period,Manufacturing – Germany – Local units – Hours worked (DESTATIS/42111BM001/WZ08-C.DG.BETRIEBE.ARBST1)
2005-01,642570.0
2005-02,639344.0
2005-03,665753.0
2005-04,680296.0
2005-05,616844.0
2005-06,687223.0
2005-07,638799.0
2005-08,612187.0
2005-09,667698.0
2005-10,641840.0
2005-11,687318.0
2005-12,601725.0
2006-01,659642.0
2006-02,644714.0
2006-03,715227.0
2006-04,609853.0
2006-05,668275.0
2006-06,639244.0
2006-07,638866.0
2006-08,628530.0
2006-09,657771.0
2006-10,665100.0
2006-11,696347.0
2006-12,585579.0
2007-01,682658.0
2007-02,655029.0
2007-03,708839.0
2007-04,634237.0
2007-05,660204.0
2007-06,659197.0
2007-07,672043.0
2007-08,648214.0
2007-09,654802.0
2007-10,706961.0
2007-11,708617.0
2007-12,578434.0
2008-01,697627.0
2008-02,695168.0
2008-03,656730.0
2008-04,735156.0
2008-05,648857.0
2008-06,694401.0
2008-07,702817.0
2008-08,625358.0
2008-09,704643.0
2008-10,716990.0
2008-11,678911.0
2008-12,580344.0
2009-01,622074.0
2009-02,617329.0
2009-03,670820.0
2009-04,610498.0
2009-05,588630.0
2009-06,607461.0
2009-07,632677.0
2009-08,559517.0
2009-09,643937.0
2009-10,654101.0
2009-11,648352.0
2009-12,558880.0
2010-01,591621.0
2010-02,614164.0
2010-03,696451.0
2010-04,632741.0
2010-05,601844.0
2010-06,647367.0
2010-07,635710.0
2010-08,601444.0
2010-09,667332.0
2010-10,660881.0
2010-11,685413.0
2010-12,600305.0
2011-01,641118.0
2011-02,658313.0
2011-03,724797.0
2011-04,635057.0
2011-05,712802.0
2011-06,620915.0
2011-07,649321.0
2011-08,647570.0
2011-09,692721.0
2011-10,662179.0
2011-11,708416.0
2011-12,609632.0
2012-01,685534.0
2012-02,693303.0
2012-03,727116.0
2012-04,641845.0
2012-05,667326.0
2012-06,663917.0
2012-07,681999.0
2012-08,653873.0
2012-09,657212.0
2012-10,707217.0
2012-11,708661.0
2012-12,563829.0
2013-01,696079.0
2013-02,666069.0
2013-03,674667.0
2013-04,704579.0
2013-05,637756.0
2013-06,671447.0
2013-07,705773.0
2013-08,635678.0
2013-09,684044.0
2013-10,710154.0
2013-11,700940.0
2013-12,580116.0
2014-01,698051.0
2014-02,687423.0
2014-03,707187.0
2014-04,680210.0
2014-05,672734.0
2014-06,645965.0
2014-07,723576.0
2014-08,610367.0
2014-09,706944.0
2014-10,723658.0
2014-11,696472.0
2014-12,602087.0
2015-01,676191.0
2015-02,676090.0
2015-03,740431.0
2015-04,689536.0
2015-05,631064.0
2015-06,700457.0
2015-07,722582.0
2015-08,625796.0
2015-09,715615.0
2015-10,730069.0
2015-11,724340.0
2015-12,614572.0
2016-01,665991.0
2016-02,715856.0
2016-03,717300.0
2016-04,723402.0
2016-05,650814.0
2016-06,731415.0
2016-07,671640.0
2016-08,671507.0
2016-09,716109.0
2016-10,680486.0
2016-11,735540.0
2016-12,622715.0
2017-01,706739.0
2017-02,693620.0
2017-03,780332.0
2017-04,649769.0
2017-05,721872.0
2017-06,684336.0
2017-07,682974.0
2017-08,690549.0
2017-09,706872.0
2017-10,688435.0
2017-11,750337.0
2017-12,611022.0
2018-01,742084.0
2018-02,702269.0
2018-03,735937.0
2018-04,710733.0
2018-05,686235.0
2018-06,724399.0
2018-07,716729.0
2018-08,702014.0
2018-09,698983.0
2018-10,753535.0
2018-11,757186.0
2018-12,600922.0
2019-01,752632.0
2019-02,722552.0
2019-03,742047.0
2019-04,710439.0
2019-05,732406.0
2019-06,646156.0
2019-07,733706.0
2019-08,673157.0
2019-09,710975.0
2019-10,733924.0
2019-11,723813.0
2019-12,595463.0
2020-01,725565.0
2020-02,703025.0
2020-03,717250.0
2020-04,582926.0
2020-05,587668.0
2020-06,622910.0
2020-07,672606.0
2020-08,596435.0
2020-09,685069.0
2020-10,698996.0
2020-11,700285.0
2020-12,589742.0
2021-01,651099.0
2021-02,681574.0
2021-03,756729.0
2021-04,676706.0
2021-05,636557.0
2021-06,688072.0
2021-07,676715.0
2021-08,615667.0
2021-09,685281.0
2021-10,678039.0
2021-11,704897.0
2021-12,603791.0
2022-01,670835.0
2022-02,681304.0
2022-03,744541.0
2022-04,642167.0
2022-05,694361.0
2022-06,661804.0
2022-07,653162.0
2022-08,653282.0
2022-09,702179.0
2022-10,659929.0
2022-11,723071.0
2022-12,597118.0
2023-01,709516.0
2023-02,689301.0
2023-03,768678.0
2023-04,635382.0
2023-05,681113.0
2023-06,690635.0
2023-07,666014.0
2023-08,667717.0
2023-09,682530.0
2023-10,680395.0
2023-11,720636.0
2023-12,573824.0
2024-01,715050.0
2024-02,710803.0
2024-03,685710.0
2024-04,710169.0
2024-05,634012.0
2024-06,665132.0
2024-07,698328.0
2024-08,635968.0
2024-09,674210.0
2024-10,690580.0
2024-11,687746.0
2024-12,562729.0
2025-01,690889.0
2025-02,672059.0
2025-03,696205.0
2025-04,662929.0
2025-05,654362.0
2025-06,623965.0
2025-07,695593.0
2025-08,600935.0
2025-09,682668.0
2025-10,692797.0
2025-11,667349.0
2025-12,569392.0
2026-01,670435.0
