period,"Germany – Industry, except construction – Unadjusted values – Hours worked per employee (domestic concept) (DESTATIS/81000BV003/DG.WZ08-B-18.WERTORG.STD008)"
1991-Q1,380.8
1991-Q2,348.2
1991-Q3,378.0
1991-Q4,371.3
1992-Q1,397.4
1992-Q2,359.0
1992-Q3,388.3
1992-Q4,385.1
1993-Q1,384.8
1993-Q2,348.7
1993-Q3,378.5
1993-Q4,378.6
1994-Q1,386.3
1994-Q2,352.0
1994-Q3,380.5
1994-Q4,376.5
1995-Q1,394.8
1995-Q2,352.2
1995-Q3,381.2
1995-Q4,373.5
1996-Q1,389.3
1996-Q2,349.1
1996-Q3,379.0
1996-Q4,375.1
1997-Q1,373.8
1997-Q2,358.0
1997-Q3,379.9
1997-Q4,378.6
1998-Q1,384.2
1998-Q2,349.3
1998-Q3,379.8
1998-Q4,386.7
1999-Q1,383.0
1999-Q2,351.9
1999-Q3,376.8
1999-Q4,386.3
2000-Q1,388.6
2000-Q2,345.0
2000-Q3,370.5
2000-Q4,371.2
2001-Q1,384.1
2001-Q2,343.9
2001-Q3,369.1
2001-Q4,368.5
2002-Q1,374.0
2002-Q2,347.3
2002-Q3,373.3
2002-Q4,369.1
2003-Q1,377.2
2003-Q2,343.1
2003-Q3,374.1
2003-Q4,372.2
2004-Q1,383.4
2004-Q2,346.7
2004-Q3,373.1
2004-Q4,381.9
2005-Q1,369.2
2005-Q2,354.7
2005-Q3,371.8
2005-Q4,374.5
2006-Q1,389.8
2006-Q2,347.8
2006-Q3,371.7
2006-Q4,376.5
2007-Q1,388.8
2007-Q2,349.7
2007-Q3,372.6
2007-Q4,376.4
2008-Q1,380.2
2008-Q2,362.3
2008-Q3,375.8
2008-Q4,364.0
2009-Q1,359.2
2009-Q2,319.9
2009-Q3,350.3
2009-Q4,357.9
2010-Q1,359.7
2010-Q2,336.0
2010-Q3,365.7
2010-Q4,378.8
2011-Q1,376.9
2011-Q2,343.5
2011-Q3,370.5
2011-Q4,371.2
2012-Q1,379.4
2012-Q2,334.5
2012-Q3,359.4
2012-Q4,362.3
2013-Q1,362.7
2013-Q2,340.6
2013-Q3,369.3
2013-Q4,365.4
2014-Q1,374.6
2014-Q2,340.8
2014-Q3,369.8
2014-Q4,369.3
2015-Q1,373.6
2015-Q2,341.9
2015-Q3,370.0
2015-Q4,375.8
2016-Q1,367.9
2016-Q2,350.3
2016-Q3,369.1
2016-Q4,367.4
2017-Q1,379.4
2017-Q2,340.0
2017-Q3,365.2
2017-Q4,361.2
2018-Q1,368.8
2018-Q2,344.0
2018-Q3,362.9
2018-Q4,363.3
2019-Q1,370.2
2019-Q2,334.2
2019-Q3,365.7
2019-Q4,356.3
2020-Q1,364.8
2020-Q2,308.7
2020-Q3,340.9
2020-Q4,358.4
2021-Q1,366.1
2021-Q2,338.4
2021-Q3,350.0
2021-Q4,361.0
2022-Q1,365.3
2022-Q2,329.8
2022-Q3,356.7
2022-Q4,350.2
2023-Q1,368.4
2023-Q2,328.0
2023-Q3,352.7
2023-Q4,346.0
2024-Q1,358.3
2024-Q2,329.8
2024-Q3,353.8
2024-Q4,346.9
2025-Q1,358.8
2025-Q2,324.3
2025-Q3,353.0
2025-Q4,351.8
