STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-01,122.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-02,122.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-03,122.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-04,122.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-05,122.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-06,122.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-07,122.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-08,123.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-09,123.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-10,123.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-11,123.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2000-12,123.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-01,124.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-02,123.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-03,123.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-04,123.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-05,123.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-06,123.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-07,123.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-08,122.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-09,121.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-10,121.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-11,121.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2001-12,120.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-01,119.4,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-02,118.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-03,118.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-04,117.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-05,116.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-06,116.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-07,115.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-08,114.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-09,114.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-10,113.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-11,112.9,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2002-12,112.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-01,111.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-02,111.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-03,110.6,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-04,110.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-05,109.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-06,108.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-07,108.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-08,107.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-09,106.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-10,105.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-11,105.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2003-12,105.3,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-01,105.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-02,104.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-03,104.5,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-04,104.1,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-05,103.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-06,103.8,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-07,103.2,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-08,103.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-09,102.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-10,102.0,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-11,101.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2004-12,101.7,i,
dataflow,ESTAT:STS_INLB_M(1.0),M,EMP,MIG_DCOG,SCA,I21,DE,2005-01,101.6,i,
