STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-01,99.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-02,99.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-03,99.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-04,100.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-05,100.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-06,100.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-07,99.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-08,99.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-09,100.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-10,100.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-11,100.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1994-12,100.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-01,100.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-02,100.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-03,100.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-04,100.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-05,100.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-06,100.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-07,100.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-08,100.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-09,99.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-10,99.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-11,99.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1995-12,100.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-01,99.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-02,99.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-03,99.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-04,99.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-05,99.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-06,99.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-07,99.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-08,99.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-09,99.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-10,99.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-11,99.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1996-12,99.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-01,98.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-02,98.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-03,98.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-04,99.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-05,98.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-06,98.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-07,98.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-08,98.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-09,98.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-10,98.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-11,97.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1997-12,97.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-01,97.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-02,97.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-03,97.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-04,97.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-05,97.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-06,97.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-07,98.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-08,98.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-09,98.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-10,98.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-11,98.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1998-12,98.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1999-01,97.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G47,SCA,I21,DE,1999-02,97.2,i,
