STRUCTURE,STRUCTURE_ID,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1991-Q1,1085.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1991-Q2,1093.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1991-Q3,1099.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1991-Q4,1111.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1992-Q1,1123.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1992-Q2,1128.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1992-Q3,1138.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1992-Q4,1141.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1993-Q1,1152.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1993-Q2,1151.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1993-Q3,1153.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1993-Q4,1157.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1994-Q1,1163.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1994-Q2,1160.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1994-Q3,1158.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1994-Q4,1156.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1995-Q1,1149.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1995-Q2,1146.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1995-Q3,1144.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1995-Q4,1139.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1996-Q1,1139.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1996-Q2,1136.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1996-Q3,1130.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1996-Q4,1127.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1997-Q1,1125.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1997-Q2,1124.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1997-Q3,1125.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1997-Q4,1126.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1998-Q1,1119.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1998-Q2,1129.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1998-Q3,1129.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1998-Q4,1132.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1999-Q1,1126.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1999-Q2,1128.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1999-Q3,1135.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,1999-Q4,1144.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2000-Q1,1150.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2000-Q2,1158.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2000-Q3,1160.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2000-Q4,1158.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2001-Q1,1157.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2001-Q2,1160.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2001-Q3,1160.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2001-Q4,1164.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2002-Q1,1166.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2002-Q2,1165.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2002-Q3,1161.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2002-Q4,1154.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2003-Q1,1146.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2003-Q2,1138.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2003-Q3,1130.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2003-Q4,1123.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2004-Q1,1118.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2004-Q2,1116.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2004-Q3,1114.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2004-Q4,1113.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2005-Q1,1109.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2005-Q2,1105.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2005-Q3,1102.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2005-Q4,1097.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2006-Q1,1097.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2006-Q2,1095.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2006-Q3,1092.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2006-Q4,1086.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2007-Q1,1079.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2007-Q2,1076.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2007-Q3,1068.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2007-Q4,1068.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2008-Q1,1064.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2008-Q2,1064.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2008-Q3,1065.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2008-Q4,1072.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2009-Q1,1072.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2009-Q2,1073.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2009-Q3,1072.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2009-Q4,1069.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2010-Q1,1066.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2010-Q2,1065.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2010-Q3,1062.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2010-Q4,1058.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2011-Q1,1055.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2011-Q2,1052.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2011-Q3,1052.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2011-Q4,1050.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2012-Q1,1054.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2012-Q2,1052.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2012-Q3,1051.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2012-Q4,1051.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2013-Q1,1052.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2013-Q2,1050.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2013-Q3,1049.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2013-Q4,1048.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2014-Q1,1046.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2014-Q2,1044.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2014-Q3,1042.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2014-Q4,1042.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2015-Q1,1044.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2015-Q2,1042.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2015-Q3,1039.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2015-Q4,1035.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2016-Q1,1030.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2016-Q2,1025.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2016-Q3,1017.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2016-Q4,1008.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2017-Q1,997.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2017-Q2,993.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2017-Q3,987.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2017-Q4,983.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2018-Q1,977.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2018-Q2,974.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2018-Q3,971.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2018-Q4,968.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2019-Q1,965.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2019-Q2,964.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2019-Q3,963.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2019-Q4,961.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2020-Q1,961.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2020-Q2,960.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2020-Q3,959.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,K,SCA,SAL_DC,DE,2020-Q4,962.00,,
