observation_date,DEUPCEDEFQISNAQ
1991-01-01,68.953310408
1991-04-01,69.902351108
1991-07-01,71.039075551
1991-10-01,72.457134106
1992-01-01,72.581688437
1992-04-01,73.446414346
1992-07-01,73.906288183
1992-10-01,74.387777276
1993-01-01,75.788192102
1993-04-01,76.436570617
1993-07-01,76.667350529
1993-10-01,77.138310566
1994-01-01,77.998125777
1994-04-01,77.866230676
1994-07-01,78.329755337
1994-10-01,78.518723008
1995-01-01,78.709886484
1995-04-01,79.038376036
1995-07-01,79.449831275
1995-10-01,79.715664630
1996-01-01,79.520894496
1996-04-01,79.584410859
1996-07-01,79.810080218
1996-10-01,80.083232744
1997-01-01,80.305874655
1997-04-01,80.245562014
1997-07-01,80.964128307
1997-10-01,81.005890475
1998-01-01,80.567115183
1998-04-01,80.753143657
1998-07-01,80.985577513
1998-10-01,81.118183896
1999-01-01,81.100051940
1999-04-01,81.474742873
1999-07-01,81.473368359
1999-10-01,81.387606830
2000-01-01,81.724890046
2000-04-01,81.731898884
2000-07-01,82.219983959
2000-10-01,82.795266078
2001-01-01,83.192051312
2001-04-01,83.712766085
2001-07-01,84.019122723
2001-10-01,84.413578233
2002-01-01,84.685902697
2002-04-01,84.843907581
2002-07-01,84.962336610
2002-10-01,85.153719599
2003-01-01,86.169695100
2003-04-01,85.977509537
2003-07-01,86.156746911
2003-10-01,86.372060946
2004-01-01,86.629351438
2004-04-01,87.081294817
2004-07-01,87.246600723
2004-10-01,87.432016451
2005-01-01,87.625686028
2005-04-01,87.740694564
2005-07-01,88.295949439
2005-10-01,88.509257823
2006-01-01,88.835375548
2006-04-01,89.072921504
2006-07-01,89.271406810
2006-10-01,89.526448729
2007-01-01,90.144344425
2007-04-01,90.518110856
2007-07-01,90.990060346
2007-10-01,91.725171454
2008-01-01,92.061087715
2008-04-01,92.534403724
2008-07-01,93.211633260
2008-10-01,92.703534232
2009-01-01,92.049079601
2009-04-01,92.548808811
2009-07-01,92.846536117
2009-10-01,93.310768051
2010-01-01,93.613103248
2010-04-01,94.040901224
2010-07-01,94.442140107
2010-10-01,94.782728878
2011-01-01,95.405865259
2011-04-01,95.901574189
2011-07-01,95.923541340
2011-10-01,96.326105573
2012-01-01,96.863002634
2012-04-01,96.917913307
2012-07-01,97.263096865
2012-10-01,97.805944874
2013-01-01,98.248769182
2013-04-01,98.321302189
2013-07-01,98.683027018
2013-10-01,98.992254126
2014-01-01,99.346094879
2014-04-01,99.305207703
2014-07-01,99.563941627
2014-10-01,99.590179588
2015-01-01,99.631052114
2015-04-01,100.067188883
2015-07-01,100.053549466
2015-10-01,100.243082441
2016-01-01,99.918959563
2016-04-01,100.571830975
2016-07-01,101.002310140
2016-10-01,101.311123564
2017-01-01,101.681592711
2017-04-01,102.090675062
2017-07-01,102.567915419
2017-10-01,102.545514831
2018-01-01,102.904042967
2018-04-01,103.543672801
2018-07-01,104.136598470
2018-10-01,104.327189259
2019-01-01,104.012868710
2019-04-01,105.169366539
2019-07-01,105.559795375
2019-10-01,105.587592652
2020-01-01,105.659585664
2020-04-01,106.523523859
2020-07-01,105.165955248
2020-10-01,105.503081379
2021-01-01,107.514797862
2021-04-01,108.303199769
2021-07-01,109.086586193
2021-10-01,110.219148598
2022-01-01,112.503607583
2022-04-01,115.284774033
2022-07-01,117.148911562
2022-10-01,119.357778275
2023-01-01,121.706470471
2023-04-01,123.273813760
2023-07-01,124.239486433
2023-10-01,124.647122151
2024-01-01,125.160760328
