STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-01,119.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-02,119.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-03,119.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-04,119.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-05,119.3,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-06,119.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-07,119.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-08,119.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-09,119.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-10,119.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-11,119.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1994-12,119.5,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-01,118.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-02,119.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-03,119.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-04,119.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-05,119.1,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-06,118.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-07,118.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,1995-08,118.6,i,
