observation_date,DEUCOMPQDSNAQ
1991-01-01,205247000000
1991-04-01,214281000000
1991-07-01,215397000000
1991-10-01,218532000000
1992-01-01,225096000000
1992-04-01,229590000000
1992-07-01,236738000000
1992-10-01,235005000000
1993-01-01,233639000000
1993-04-01,237010000000
1993-07-01,238330000000
1993-10-01,239875000000
1994-01-01,242413000000
1994-04-01,241538000000
1994-07-01,243693000000
1994-10-01,247018000000
1995-01-01,249335000000
1995-04-01,252068000000
1995-07-01,254069000000
1995-10-01,255915000000
1996-01-01,254546000000
1996-04-01,253952000000
1996-07-01,255836000000
1996-10-01,256329000000
1997-01-01,255883000000
1997-04-01,255515000000
1997-07-01,255772000000
1997-10-01,257570000000
1998-01-01,258351000000
1998-04-01,260851000000
1998-07-01,262729000000
1998-10-01,264954000000
1999-01-01,265029000000
1999-04-01,268835000000
1999-07-01,270505000000
1999-10-01,272713000000
2000-01-01,276927000000
2000-04-01,279060000000
2000-07-01,281466000000
2000-10-01,282896000000
2001-01-01,283598000000
2001-04-01,284032000000
2001-07-01,284098000000
2001-10-01,286645000000
2002-01-01,285279000000
2002-04-01,285316000000
2002-07-01,287025000000
2002-10-01,287446000000
2003-01-01,286690000000
2003-04-01,286057000000
2003-07-01,288212000000
2003-10-01,287755000000
2004-01-01,288465000000
2004-04-01,288142000000
2004-07-01,287921000000
2004-10-01,287768000000
2005-01-01,287855000000
2005-04-01,287422000000
2005-07-01,287336000000
2005-10-01,288150000000
2006-01-01,289282000000
2006-04-01,291383000000
2006-07-01,294649000000
2006-10-01,295411000000
2007-01-01,297783000000
2007-04-01,300015000000
2007-07-01,301934000000
2007-10-01,304548000000
2008-01-01,308815000000
2008-04-01,311763000000
2008-07-01,313690000000
2008-10-01,316438000000
2009-01-01,313635000000
2009-04-01,312783000000
2009-07-01,314634000000
2009-10-01,315862000000
2010-01-01,318851000000
2010-04-01,321658000000
2010-07-01,324987000000
2010-10-01,328109000000
2011-01-01,332793000000
2011-04-01,336798000000
2011-07-01,338829000000
2011-10-01,341424000000
2012-01-01,345770000000
2012-04-01,350406000000
2012-07-01,352392000000
2012-10-01,354946000000
2013-01-01,356195000000
2013-04-01,359544000000
2013-07-01,362836000000
2013-10-01,365597000000
2014-01-01,370977000000
2014-04-01,373790000000
2014-07-01,376982000000
2014-10-01,380022000000
2015-01-01,383645000000
2015-04-01,389360000000
2015-07-01,392519000000
2015-10-01,396452000000
2016-01-01,400043000000
2016-04-01,403182000000
2016-07-01,407277000000
2016-10-01,412229000000
2017-01-01,416549000000
2017-04-01,421206000000
2017-07-01,424916000000
2017-10-01,430424000000
2018-01-01,435306000000
2018-04-01,440651000000
2018-07-01,445843000000
2018-10-01,449463000000
2019-01-01,456350000000
2019-04-01,462732000000
2019-07-01,467368000000
2019-10-01,466986000000
2020-01-01,468929000000
2020-04-01,448475000000
2020-07-01,462660000000
2020-10-01,468518000000
2021-01-01,465570000000
2021-04-01,472366000000
2021-07-01,484814000000
2021-10-01,491028000000
2022-01-01,496800000000
2022-04-01,498807000000
2022-07-01,505775000000
2022-10-01,518369000000
2023-01-01,529510000000
2023-04-01,534110000000
2023-07-01,541783000000
2023-10-01,550122000000
2024-01-01,561457000000
