STRUCTURE,STRUCTURE_ID,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1991-Q1,7793.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1991-Q2,7790.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1991-Q3,7771.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1991-Q4,7790.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1992-Q1,7811.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1992-Q2,7796.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1992-Q3,7772.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1992-Q4,7755.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1993-Q1,7772.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1993-Q2,7758.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1993-Q3,7741.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1993-Q4,7712.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1994-Q1,7711.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1994-Q2,7693.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1994-Q3,7688.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1994-Q4,7675.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1995-Q1,7647.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1995-Q2,7653.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1995-Q3,7659.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1995-Q4,7666.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1996-Q1,7663.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1996-Q2,7676.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1996-Q3,7649.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1996-Q4,7658.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1997-Q1,7673.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1997-Q2,7672.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1997-Q3,7691.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1997-Q4,7693.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1998-Q1,7700.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1998-Q2,7784.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1998-Q3,7815.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1998-Q4,7854.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1999-Q1,7880.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1999-Q2,7880.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1999-Q3,8005.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,1999-Q4,8043.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2000-Q1,8141.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2000-Q2,8192.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2000-Q3,8217.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2000-Q4,8185.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2001-Q1,8153.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2001-Q2,8162.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2001-Q3,8149.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2001-Q4,8159.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2002-Q1,8174.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2002-Q2,8157.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2002-Q3,8108.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2002-Q4,8049.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2003-Q1,8009.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2003-Q2,7980.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2003-Q3,7992.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2003-Q4,7983.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2004-Q1,8036.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2004-Q2,8069.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2004-Q3,8067.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2004-Q4,8054.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2005-Q1,8024.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2005-Q2,7991.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2005-Q3,8010.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2005-Q4,8035.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2006-Q1,8013.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2006-Q2,8048.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2006-Q3,8089.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2006-Q4,8111.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2007-Q1,8143.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2007-Q2,8185.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2007-Q3,8220.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2007-Q4,8256.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2008-Q1,8285.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2008-Q2,8288.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2008-Q3,8304.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2008-Q4,8339.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2009-Q1,8368.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2009-Q2,8371.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2009-Q3,8346.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2009-Q4,8337.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2010-Q1,8306.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2010-Q2,8348.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2010-Q3,8383.00,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Q,THS_PER,G-I,SCA,SAL_DC,DE,2010-Q4,8420.00,,
