observation_date,DEUPFCEQDSNAQ
1991-01-01,314212000000
1991-04-01,317137300000
1991-07-01,311567200000
1991-10-01,317818600000
1992-01-01,321325100000
1992-04-01,320804100000
1992-07-01,321365200000
1992-10-01,330823000000
1993-01-01,321635700000
1993-04-01,321796000000
1993-07-01,324801600000
1993-10-01,328368200000
1994-01-01,327636900000
1994-04-01,325112300000
1994-07-01,329119600000
1994-10-01,331964800000
1995-01-01,330702400000
1995-04-01,334950400000
1995-07-01,334750000000
1995-10-01,335431300000
1996-01-01,337435000000
1996-04-01,339078000000
1996-07-01,339639100000
1996-10-01,340160100000
1997-01-01,341182000000
1997-04-01,342143700000
1997-07-01,340741200000
1997-10-01,344267600000
1998-01-01,345039100000
1998-04-01,343836800000
1998-07-01,347603800000
1998-10-01,350208700000
1999-01-01,354166000000
1999-04-01,355087700000
1999-07-01,354646900000
1999-10-01,357131400000
2000-01-01,359976800000
2000-04-01,363262800000
2000-07-01,362541500000
2000-10-01,359936700000
2001-01-01,367290300000
2001-04-01,365567100000
2001-07-01,366048000000
2001-10-01,365326600000
2002-01-01,361379300000
2002-04-01,358333800000
2002-07-01,361379300000
2002-10-01,363423100000
2003-01-01,362150800000
2003-04-01,361710000000
2003-07-01,363433100000
2003-10-01,363593400000
2004-01-01,363703700000
2004-04-01,363222800000
2004-07-01,362621700000
2004-10-01,365426800000
2005-01-01,367049900000
2005-04-01,366528800000
2005-07-01,366609000000
2005-10-01,368051700000
2006-01-01,369795000000
2006-04-01,371037300000
2006-07-01,371478100000
2006-10-01,377489100000
2007-01-01,367991700000
2007-04-01,372159300000
2007-07-01,373161100000
2007-10-01,373201200000
2008-01-01,371598300000
2008-04-01,372159300000
2008-07-01,372560100000
2008-10-01,372840500000
2009-01-01,376136700000
2009-04-01,374012800000
2009-07-01,370446100000
2009-10-01,369043600000
2010-01-01,371007200000
2010-04-01,374493600000
2010-07-01,375455400000
2010-10-01,377459100000
2011-01-01,379753300000
2011-04-01,378871700000
2011-07-01,383199800000
2011-10-01,384482200000
2012-01-01,385914800000
2012-04-01,387397500000
2012-07-01,387918500000
2012-10-01,388359300000
2013-01-01,387768200000
2013-04-01,389531500000
2013-07-01,390693700000
2013-10-01,389731900000
2014-01-01,391244700000
2014-04-01,391445000000
2014-07-01,394610900000
2014-10-01,397095500000
2015-01-01,397225700000
2015-04-01,399750400000
2015-07-01,402435400000
2015-10-01,403878100000
2016-01-01,407705200000
2016-04-01,408386500000
2016-07-01,410149700000
2016-10-01,412714300000
2017-01-01,413726300000
2017-04-01,414888400000
2017-07-01,417172700000
2017-10-01,421140000000
2018-01-01,422111800000
2018-04-01,422111800000
2018-07-01,421190100000
2018-10-01,425999100000
2019-01-01,428834300000
2019-04-01,428954500000
2019-07-01,430036500000
2019-10-01,431238800000
2020-01-01,420098100000
2020-04-01,373692200000
2020-07-01,414527800000
2020-10-01,406312600000
2021-01-01,390714100000
2021-04-01,402736100000
2021-07-01,422612400000
2021-10-01,422732700000
2022-01-01,424957100000
2022-04-01,423554500000
2022-07-01,429686000000
2022-10-01,424957100000
2023-01-01,422151900000
2023-04-01,423274000000
2023-07-01,423193800000
2023-10-01,424997200000
2024-01-01,423233900000
