maturity,row,adj_r2,nobs,b_F1,t_F1,b_F1_cu,t_F1_cu,b_F2,t_F2,b_F3,t_F3,b_F4,t_F4,b_F8,t_F8,b_CP_t,t_CP_t,b_F5,t_F5,b_F6,t_F6
2,a,0.1336681657122034,211,,,,,,,,,,,,,0.5727141642177855,2.9701409664916487,,,,
2,b,0.2326518063760148,211,0.002832953802996848,2.536089583453829,-1.8431608994950738e-05,-1.1876288822630514,-0.0013776301902345578,-1.049775451542371,-0.00046812884126450375,-1.0495371245086573,0.004565234309048782,2.682493694599873,-3.835899813875249e-05,-0.08113274615528498,,,,,,
2,c,0.23224044801376675,211,0.002747639707754143,2.449804525841487,-1.835172720008406e-05,-1.2332651844560907,-0.001243102812884838,-0.9260646105778128,-0.00047245630559176923,-1.0416243207610183,0.003995130434382719,1.8216143255042099,-1.860695573416888e-05,-0.037105801396798796,0.12184874277820612,0.6282856279294688,,,,
2,d,0.22122560473581288,211,0.0031774147838793724,2.2917103137625294,-3.097983526981832e-05,-1.6344429346901586,,,-0.0005345644538830609,-1.1182510647435808,0.00445837767147202,2.6221268665989723,-3.519202233409929e-05,-0.07900502830110195,,,,,,
2,e,0.22410788256370173,211,0.0030127810330965966,2.281395604710728,-2.917333495151287e-05,-1.6564326678529564,,,-0.0005315748343589315,-1.0958677163506392,0.0036837703522672634,1.7561775909033268,-8.282336227041691e-06,-0.017734305374385573,0.168644139224278,0.9301066708076493,,,,
2,f,0.007589036899767088,211,,,,,,,,,,,,,,,-0.0011972657776075295,-1.7782754548640536,,
2,g,-0.004434107729959669,211,,,,,,,,,,,,,,,,,-0.00020144519941079776,-0.32423237663601895
2,h,0.1296142644143562,211,,,,,,,,,,,,,0.5681429085047234,3.0630948504980484,-0.0001176313540211352,-0.26287138818892036,,
3,a,0.17039063471397697,211,,,,,,,,,,,,,1.2302734651950133,3.1020444792876165,,,,
3,b,0.2332064594514479,211,0.004928729992056258,1.985717043463434,-2.8012385807742188e-05,-0.8822953738540774,-0.002767994635934369,-1.0513739923799568,-0.0007658461690646678,-0.9912404322281785,0.008916419041596457,2.8326061124394646,-0.00013817819251599192,-0.15696365960773215,,,,,,
3,c,0.24325386638704627,211,0.004598666795591823,1.9457531466678506,-2.770333909655234e-05,-0.9520708770300712,-0.002247535079354432,-0.8383428626158698,-0.0007825882643114109,-1.0209194244460797,0.006710801005634419,1.7925964153795553,-6.176148512183308e-05,-0.06301441128011054,0.4714084514656774,1.318599742024388,,,,
3,d,0.22015593386159305,211,0.005620836011603623,1.8389043686324391,-5.322482907846524e-05,-1.2993638074141136,,,-0.0008993314981948807,-1.0844117882894113,0.008701718026967783,2.819113042737912,-0.0001318149666651408,-0.1516958739365096,,,,,,
