maturity,row,forecast_start,forecast_end,oos_n,mse_u_over_mse_r,clark_west_z
2,b,2015-01-31,2022-07-31,91,1.4567391541393744,2.5792901145341323
2,c,2015-01-31,2022-07-31,91,1.9378781869177382,2.7779957437247633
2,d,2015-01-31,2022-07-31,91,1.5083867889813398,2.3745621519657676
2,e,2015-01-31,2022-07-31,91,1.834262650370578,2.7417611316442323
2,f,2015-01-31,2022-07-31,91,1.2924374215650323,-3.1076958719587835
2,g,2015-01-31,2022-07-31,91,1.3316487986272674,-3.61418371252084
2,h,2015-01-31,2022-07-31,91,1.01602681666705,-1.4308818622340735
3,b,2015-01-31,2022-07-31,91,1.3261558482507372,2.280044552033392
3,c,2015-01-31,2022-07-31,91,2.0648716507277216,2.510058675109966
3,d,2015-01-31,2022-07-31,91,1.3787531474234787,1.9889291306641117
3,e,2015-01-31,2022-07-31,91,1.9418771013483935,2.521468100261471
3,f,2015-01-31,2022-07-31,91,1.3432683633704479,-2.9681419999593484
3,g,2015-01-31,2022-07-31,91,1.3875206034588357,-3.4036950345089445
3,h,2015-01-31,2022-07-31,91,1.0146943477702923,-1.3105875135561622
4,b,2015-01-31,2022-07-31,91,1.2679475079976759,1.9719832462745
4,c,2015-01-31,2022-07-31,91,2.2180266625039553,2.294055125323462
4,d,2015-01-31,2022-07-31,91,1.3169658932026755,1.6400838562453774
4,e,2015-01-31,2022-07-31,91,2.0655781016462744,2.4123330549828226
4,f,2015-01-31,2022-07-31,91,1.3837257632518298,-2.9634640142939874
4,g,2015-01-31,2022-07-31,91,1.4294079888150755,-3.343549724839663
4,h,2015-01-31,2022-07-31,91,1.0146944716380768,-1.1480785860542673
5,b,2015-01-31,2022-07-31,91,1.2356095160353817,1.6364925015053444
5,c,2015-01-31,2022-07-31,91,2.299771458370929,2.072611324976048
5,d,2015-01-31,2022-07-31,91,1.279458958678668,1.2864881001103763
5,e,2015-01-31,2022-07-31,91,2.1257243961955243,2.3448630514684705
5,f,2015-01-31,2022-07-31,91,1.4034240541122287,-3.0157423750856585
5,g,2015-01-31,2022-07-31,91,1.4468455670006835,-3.3480038019812373
5,h,2015-01-31,2022-07-31,91,1.0150079406947414,-0.9911525506167682
